"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","class","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","year","month","day","continentOcean","country","locality","occurrenceRemarks","barcode","imagecode","typeStatus","fieldNumber","preparationType","recordNumber","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","identifiedBy","yearIdentified","monthIdentified","phylum","coordinatePrecision","geoFlag"
"1","2020-02-08 09:19:52-03","NBC","NL-BOTANY","U.1102129","PreservedSpecimen","Plantae","Magnoliopsidae","Gentianales","Asclepiadaceae","Hemipogon","abietoides","Hemipogon abietoides","E.Fourn.","Irwin HS","1969","03","14","Southern America","Brazil","Plants of the Planalto do Brasil. Estado de Goias. Chapada doe Veadeiros, Campo, 35km north of Veadeiros.","<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1102129 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1102129","NL-U1102129",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-02-08 09:19:52-03","NBC","NL-BOTANY","U.1102130","PreservedSpecimen","Plantae","Magnoliopsidae","Gentianales","Asclepiadaceae","Hemipogon","abietoides","Hemipogon abietoides","E.Fourn.","Irwin HS; Harley RM; Smith GL","1971","03","20","Southern America","Brazil","Plants of the Planalto do Brasil. Estado de Goiás. Chapada dos Veadeiros, Cerrado on steep rocky slopes, surrounded by campo, ca. 19km N. of Alto do Paraíso.","<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1102130 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1102130","NL-U1102130",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2016-02-09 14:50:59-02","MNHN","RECOLNAT_MNHN_P","P00252582","PreservedSpecimen",NA,NA,NA,"Apocynaceae","Hemipogon","abietoides","Hemipogon abietoides","Fourn.","Riedel, L.","1825","1",NA,NA,"Brésil","Sierra da Lapa","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00252582' target='other'> <mi>dwc_moreinfo</mi></a>","P00252582","P00252582_01","holotype","1342","hb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-06-10 10:10:05-03","FZB-BH","BHZB","9902","S","Plantae",NA,NA,"Apocynaceae","Hemipogon","abietoides","Hemipogon abietoides",NA,"Ordones, J. et al.","2013","01","31",NA,"Brasil","RPPN Brumas do Espinhaço e Ermo do Gerais","Ponto 91: 636413 7893668 1409 m ,Doação de duplicata para Herbário HUEFS em setembro de 2014",NA,NA,NA,NA,NA,"2184","MG","Santana do Riacho","-43.703611","-19.045278","43W 42' 13","19S 02' 43","1409","1409",NA,NA,NA,NA,NA,NA
"5","2019-06-10 10:10:05-03","FZB-BH","BHZB","8638","S","Plantae",NA,NA,"Apocynaceae","Hemipogon","abietoides","Hemipogon abietoides",NA,"Andrade, I.R. et al.","2012","05","16",NA,"Brasil","RPPN Brumas do Espinhaço e Ermo dos Gerais,","Ponto 85 : 635786 /7894395 1341m",NA,NA,NA,NA,NA,"384","MG","Santana do Riacho","-43.709722","-19.038611","43W 42' 35","19S 02' 19","1341","1341","confirmada por A. Rapini","2012","09",NA,NA,NA
"6","2021-03-15 18:24:41-03","USP","SPF","179006","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Hemipogon","abietoides","Hemipogon abietoides","E.Fourn.","Pirani, JR","2007","01","20",NA,"Brasil","Serra Talhada, (Setor nordeste da Serra do Cipó), 9 km S de Congonhas do Norte na estrada para Conceição do Mato Dentro, entrada para Extrema seguindo ca. 11 km - Estrada para Lapinha. Campo rupestre e mata ciliar.","Arbusto ereto, muito delgado, em solo pedregoso entre grandes rochas, ao sol. Flores ureceoladas acastanhadas com corona e cabeça estigmática creme.","SPF00179006","SPF00179006",NA,NA,NA,"5608","Minas Gerais","Congonhas do Norte","-43.685028","-18.937444","-43.685028","-18.937444","1250","1250","Rapini, A","2008",NA,NA,NA,NA
"7","2021-03-15 18:24:41-03","USP","SPF","209702","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Hemipogon","abietoides","Hemipogon abietoides","E.Fourn.","Zappi, DC","2009","03","09",NA,"Brasil","Serra do Cipó, Trilha da Senhorinha, primeiro platô.","Ervas eretas latescentes, flores vináceas, fruto verde.; Campo com solo de cascalho quartzítico.","SPF00209702",NA,NA,NA,NA,"1949","Minas Gerais","Santana de Pirapama","-43.743075","-18.945079","-43.743075","-18.945079",NA,NA,"Devecchi, MF","2009","08",NA,NA,NA
"8","2019-10-07 09:13:23-03","UEFS","HUEFS","241249","PreservedSpecimen","Plantae","Asteranae","Gentianales","Apocynaceae","Hemipogon","abietoides","Hemipogon abietoides","E.Fourn.","Bitencourt, C.","2016","01","12",NA,"BR","Estrada subindo a Se Em campo rupestre com afloramentos e solo quartzítico.",NA,"HUEFS0241249",NA,NA,NA,NA,"268","Minas Gerais","Santana do Riacho","-43.7144012451172","-19.1688995361328",NA,NA,"1266","1266",NA,NA,NA,"Angiospermae","26557","auto"
"9","2019-10-07 09:13:23-03","UEFS","HUEFS","162776","PreservedSpecimen","Plantae","Asteranae","Gentianales","Apocynaceae","Hemipogon","abietoides","Hemipogon abietoides","E.Fourn.","Ribeiro, P.L.","2008","01","29",NA,"Brasil","Serra do Cipó, estrada à esquerda da lapinha, caminho para o Rio de Pedras.","Campo rupestre.","HUEFS0162776","HUEFS0162776",NA,NA,NA,"283","Minas Gerais","Santana do Riacho","-43.713611","-19.054444","43W42'49''","19S3'16''","1253","1253","A.Rapini","2010","11","Angiospermae",NA,NA
"10","2019-10-07 09:13:23-03","UEFS","HUEFS","220985","PreservedSpecimen","Plantae","Asteranae","Gentianales","Apocynaceae","Hemipogon","abietoides","Hemipogon abietoides","E.Fourn.","Ribeiro, P.L.","2012","09","08",NA,"Brasil","Serra da Cangalha Quebrada ou Santa Cruz Maria Lopes.",NA,"HUEFS0220985","HUEFS0220985",NA,NA,NA,"518","Minas Gerais","Congonhas do Norte","-43.758611","-18.805278","43W45'31''","18S48'19''",NA,NA,"A.Rapini","2019","04","Angiospermae",NA,NA
