"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","recordedBy","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","individualCount","occurrenceRemarks","geoFlag","recordNumber","year","month","day","continentOcean","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","class","verbatimLongitude","verbatimLatitude","dayIdentified","relatedCatalogItem"
"1","2019-06-10 10:10:43-03","FZB-BH","CVJBFZB","3576","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Canistrum","camacaense","Canistrum camacaense","Martinelli & Leme","Elton. C. M. Leme","2009","05","Jardim ;","Brasil","Bahia","Una","Estrada Santa Luzia-Uma, km 11,3 a E da sede do município. Serra da Onça, 4,5 km do ramal da estrada","-39.0752983093262","-15.2932996749878","36070","1","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-06-10 10:10:43-03","FZB-BH","CVJBFZB","418","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Canistrum","camacaense","Canistrum camacaense","Martinelli & Leme","Elton. C. M. Leme","2011","08","Jardim;","Brasil","Bahia","Una","Serra do onça, ca. 4,5km doda ramal da estrada. Km 11,3 a E. Sede do Município","-39.0752983093262","-15.2932996749878","36070",NA,"254","auto","Jardim828",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-12-21 16:19:23-03","MBM","MBM","321104","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Canistrum","camacaense","Canistrum camacaense","Martinelli & Leme","Forzza, R.C.","2006",NA,"Jardim, J.G.; Sant'Ana, S.C.; Brito, H.S.; Santos, J.A.L.; Oliveira, S.; Sant'Ana, S.C.; Brito, H.S.; Santos, J.A.L.; Oliveira, S.","Brazil","Bahia","Santa Luzia","Estrada Santa Luzia/Una. Entrada a 11,3 Km a E da sede do município. Serra da Onça, ca 4,5 Km da entrada","-39.3342018127441","-15.4294004440308","33804",NA,"Planta terrestre, ocorrendo também como epífita. Folhas concolores verdes. Inflorescência com brácteass vermelha, flores com corola amarela.","auto","828","1996","07","23","Southern America","510","510","MBM321104","MBM321104",NA,NA,NA,NA,NA
"4","2020-11-05 18:09:18-03","UESC","UESC","10968","S","Plantae","Angiospermae","Florideophycidae","Bromeliaceae","Canistrum","camacaense","Canistrum camacaense","Martinelli & Leme",NA,NA,NA,"Fontoura, T.","Brasil","Bahia","Jussari",NA,"-39.543333","-15.163611",NA,NA,"Erva rupícula;",NA,"459","2002","03","31",NA,NA,NA,"UESC0010968",NA,"Monocotyledoneae","39W32'36''","15S9'49''",NA,NA
"5","2020-11-05 18:09:18-03","UESC","UESC","278","S","Plantae","Angiospermae","Florideophycidae","Bromeliaceae","Canistrum","camacaense","Canistrum camacaense","Martinelli & Leme",NA,NA,NA,"L.A.Mattos Silva","Brasil","Bahia","Una",NA,"-39.0752983093262","-15.2932996749878","36070",NA,"Mata nebulosa a 2-3 km da entrada. Solo argiloso.; Epífita.; Frequente.","auto","3100","1995","04","07",NA,"600","600","UESC0000278",NA,"Monocotyledoneae",NA,NA,NA,NA
"6","2021-03-04 11:04:40-03","UFRB","HURB","23990","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Canistrum","camacaense","Canistrum camacaense","Martinelli & Leme",NA,NA,NA,"Souza, E.H.; Cavalcante, B.P.; Resende-Silva, K.; Martins, J.","Brasil","Bahia","Camacam","RPPN Serra Bonita; 9,7km W de Camacan, na estrada para Jacareci, 6km na estrada para a RPPN e Torre da EMBRATEL","-39.565222","-15.391611",NA,NA,"Acesso Incorporado ao BGB 875 Embrapa Mandioca e Fruticultura. Planta terrestre, inflorescência vermelhas e flores arroxeadas",NA,"163","2019","06","18",NA,NA,NA,"HURB000023990","HURB000023990",NA,"39º33'54,8W","15º23'29,8S",NA,NA
"7","2021-03-04 11:04:40-03","UFRB","HURB","17474","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Canistrum","camacaense","Canistrum camacaense","Martinelli & Leme","E.Leme","2019","02","Souza, B.","Brasil","Bahia","Ubaíra","Alto da Lagoinha;","-39.6627998352051","-13.2680997848511","29816",NA,NA,"auto",NA,"2016","03","06",NA,NA,NA,"HURB000017474",NA,NA,NA,NA,NA,NA
"8","2020-09-25 10:42:45-03","UFPE","UFP","18757","PreservedSpecimen","Plantae",NA,"Pales","Bromeliaceae","Canistrum","camacaense","Canistrum camacaense","Martinelli & Leme","Amorim, A","1997","03","Siqueira-Filho, JA","Brasil","Bahia",NA,NA,NA,NA,NA,NA,"Indivíduo cedido pelo bromeliário do André Amorim. Localidade original desconhecida. Folhas desarmadas, ca. 62cm, bainha 6,0x6,0cm. Escapo floral ca. 25cm, 20cm até o início da inflorescência. Escapo e infloresc. laranja-esverdeados, s",NA,"518","1997","04","19",NA,NA,NA,"UFP018757",NA,NA,NA,NA,"02",NA
"9","2020-07-23 12:00:48-03","CEPLAC","CEPEC","96071","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Canistrum","camacaense","Canistrum camacaense",NA,"Igor M. Kessous",NA,NA,"S. C. de Sant'Ana","Brasil","Bahia","BOA NOVA","Fazenda São José, a 8,8Km da cidade, na estrada para Dário Meira, a 1,4Km do ramal a esquerda..","-40.154444","-14.403889",NA,NA,NA,NA,"1084","2010","03","09",NA,NA,NA,NA,NA,NA,"40W9'16","14S24'14",NA,"23/03/2015"
"10","2020-07-23 12:00:48-03","CEPLAC","CEPEC","70252","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Canistrum","camacaense","Canistrum camacaense",NA,"G. M. Sousa",NA,NA,"J. G. Jardim","Brasil","Bahia","santa luzia","Estrada Sta. Luzia/Una, entrada a 11,3Km a E da sede do município. Serra da Onça.","-39.3342018127441","-15.4294004440308","33804",NA,NA,"auto","828","1996","07","23",NA,NA,NA,NA,NA,NA,NA,NA,NA,"30/08/2005"
