"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","phylum","continentOcean","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","imagecode","coordinatePrecision","geoFlag","dayIdentified","class","order","relatedCatalogItem"
"1","2021-02-18 09:29:03-03","UNESP-IBB","BOTU","1163","PreservedSpecimen","Plantae","Cactaceae","Pilosocereus","glaucochrous","Pilosocereus glaucochrous","(Werderm.) Byles & G.D. Rowley","Aona, A.Y.S.","2015","08","Gottsberger, I.S.","16-3273","1973","02","03","Brasil","Bahia","Morro do Chapéu","A 5 km leste da cidade","9999","9999","Árvore de 2,50 m de altura, flor cor de rosa escuro, murcho de dia","BOTU001163",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-10-09 11:12:21-03","UFBA","ALCB","75761","PreservedSpecimen","Plantae","Cactaceae","Pilosocereus","glaucochrous","Pilosocereus glaucochrous","(Werderm.) Byles & G.D.Rowley","Guedes, ML","2007","03","Guedes, ML; Santos, JS; Valadão, RM; Carvalho, G","13115","2006","12","22","Brasil","Bahia","Miguel Calmon","Piemonte da Diamantina, Entorno do Parque Sete Passagens. Ponto 06","-40.548333","-11.3525","Áfilo. Flores passadas, botões verdes. Frutos imaturos.",NA,"Dicotyledon","Southern America","-40.548333","-11.3525",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-01 16:27:17-03","UNICAMP","UEC","114883","S","Plantae","Cactaceae","Pilosocereus","glaucochrous","Pilosocereus glaucochrous","(Werderm.) Byles & G.D.Rowley","Aona, LYS",NA,NA,"Aona, LYS; Belinello, R","762","2000","08","22","Brazil","Bahia","Morro do Chapéu","Cachoeira do Ferro Doido.","-41.370833","-11.483056","6m de altura, flor e botão floral vináceos, fruto azulado, polpa vermelha. Flor 9-9,5x6-7cm, antese +/- 19:30, perianto externo verde com ápice vinácio, p. int. branco a creme.","UEC041068","Magnoliopsida",NA,"-41.370833","-11.483056","620","620","UEC041068",NA,NA,NA,NA,NA,NA
"4","2021-03-01 16:27:17-03","UNICAMP","UEC","116764","S","Plantae","Cactaceae","Pilosocereus","glaucochrous","Pilosocereus glaucochrous","(Werderm.) Byles & G.D.Rowley","Zappi, DC","1999","01","Queiroz, LP; Nascimento, NS","4014","1994","06","18","Brazil","Bahia","Morro do Chapéu","Rodeador, localidade a ca. 3 Km S da BA-052 (estrada do feijão), entrando a ca. 4 Km de Morro do Chapéu. Cerrado degradado com pastagens.",NA,NA,"Cacto arbustivo, colunar, de ca. 1,5m. Cladódio verde-azulado glauco. Flores com pericarpelo purpúreo e tépalas sofrendo gradação desde carnosas e purpúreas as basais até róseas e brancas as internas. As flores exalam forte odor de ce","UEC041065","Magnoliopsida",NA,"-41.1561012268066","-11.5500001907349",NA,NA,"UEC041065","98143","auto",NA,NA,NA,NA
"5","2021-03-21 19:33:26-03","UFC","EAC","53735","PreservedSpecimen","Plantae","Cactaceae","Pilosocereus","glaucochrous","Pilosocereus glaucochrous","(Werderm.) Byles & Rowley","Machado, M.C.","2013",NA,"Machado, M.C.","s.n.","2013","04",NA,"Brasil","Bahia","Umburanas","Distrito de Delfino","-41.195556","-10.363611","Planta mantida em cultivo na casa de vegetação da UEFS.","EAC0053735","Dicotyledon","Southern America","-41.195556","-10.363611","925","925","EAC0053735",NA,NA,NA,NA,NA,NA
"6","2021-03-21 19:33:26-03","UFC","EAC","53728","PreservedSpecimen","Plantae","Cactaceae","Pilosocereus","glaucochrous","Pilosocereus glaucochrous","(Werderm.) Byles & Rowley","Menezes, M.O.T.","2013","03","Menezes, M.O.T.","317","2013","03","25","Brasil","Bahia","Morro do Chapéu","Substrato arenoso.","-41.265833","-11.520833","Fanerófito.","EAC0053728","Dicotyledon","Southern America","-41.265833","-11.520833",NA,NA,"EAC0053728",NA,NA,"25",NA,NA,NA
"7","2021-03-04 11:04:46-03","UFRB","HURB","16616","PreservedSpecimen","Plantae","Cactaceae","Pilosocereus","glaucochrous","Pilosocereus glaucochrous","(Werderm.) Byles & G.D.Rowley",NA,NA,NA,"Mendes, D.B.","111","2016","12","22","Brasil","Bahia","Seabra",NA,"41º59'41,3W","12º25'37,4S",NA,"HURB000016616",NA,NA,"-41.994806","-12.427056","1200","1200","HURB000016616",NA,NA,NA,NA,NA,NA
"8","2020-06-15 15:29:45-03","UNESP-RC","HRCB","12022","PreservedSpecimen","Plantae","Cactaceae","Pilosocereus","glaucochrous","Pilosocereus glaucochrous","(Werderm.) Byles & G.D.Rowley",NA,NA,NA,"Zappi, D.C.","132","1989","07","16","Brasil","Bahia","Jacobina",NA,NA,NA,"Arbusto pouco ramificado até 5 m alt., apoado nas outras plantas, ramos 5,2 cm diâm., 8 coste. 1 x 1,2 cm. Flores vermelho-violáceas externamente, zigomorfas, 52 x 25 mm, constritas acima da c. nectar",NA,NA,NA,"-40.5182991027832","-11.1806001663208",NA,NA,NA,"62396","auto",NA,NA,NA,NA
"9","2020-06-15 15:29:45-03","UNESP-RC","HRCB","14173","PreservedSpecimen","Plantae","Cactaceae","Pilosocereus","glaucochrous","Pilosocereus glaucochrous","(Werderm.) Byles & G.D.Rowley",NA,NA,NA,"Taylor, N. P.","1412","1991","01","13","Brasil","Bahia","Souto Soares",NA,NA,NA,NA,NA,NA,NA,"-41.6377983093262","-12.0886001586914",NA,NA,NA,"52664","auto",NA,NA,NA,NA
"10","2020-06-15 15:29:45-03","UNESP-RC","HRCB","14174","PreservedSpecimen","Plantae","Cactaceae","Pilosocereus","glaucochrous","Pilosocereus glaucochrous","(Werderm.) Byles & G.D.Rowley",NA,NA,NA,"Taylor, N. P.","1402","1991","01","12","Brasil","Bahia","Morro do Chapéu",NA,NA,NA,NA,NA,NA,NA,"-41.1561012268066","-11.5500001907349","740","740",NA,"98143","auto",NA,NA,NA,NA
