"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","order","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","minimumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","decimalLongitude","decimalLatitude","phylum","scientificNameAuthorship","maximumElevationInMeters","fieldNumber","identifiedBy","individualCount","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","coordinatePrecision","geoFlag","class","typeStatus"
"1","2016-09-19 15:24:00-03","NY","NYBG","02323607","PreservedSpecimen","Plantae","Arecales","Arecaceae","Wettinia","drudei","Wettinia drudei","S. T. McDaniel","29635","1987","12","08","South America","Peru","Loreto","Maynas","Dtto. Iquitos. Carretera Iquitos-Nauta, km 10 de Quisto Cocha, upland rainforest, over clay near quebrada.","200","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2544440' target='other'> <mi>dwc_moreinfo</mi></a>","NY02323607","NY02323607_01 NY02323607_02 NY02323607_03 NY02323607_04 NY02323607_05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2016-09-19 15:24:00-03","NY","NYBG","02323517","PreservedSpecimen","Plantae","Arecales","Arecaceae","Wettinia","drudei","Wettinia drudei","A. S. Barfod","60189","1987","02","09","South America","Ecuador","Pichincha",NA,"Alluriquin- Quito road (old Santo Domingo road) km 28. Pastures on steep slope.","1500","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2544155' target='other'> <mi>dwc_moreinfo</mi></a>","NY02323517","NY02323517_01","-78.87","-0.28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","02323729","PreservedSpecimen","Plantae","Arecales","Arecaceae","Wettinia","drudei","Wettinia drudei","M. J. Balick","1001","1978","02",NA,"South America","Peru","Loreto","Maynas","Río Yaguasyacu, affluent of Río Ampiyacu. Brillo Nuevo and vicinity",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2544953' target='other'> <mi>dwc_moreinfo</mi></a>","NY02323729","NY02323729_01 NY02323729_02 NY02323729_03 NY02323729_04 NY02323729_05","-72","-2.67","Magnoliophyta","(O.F.Cook & Doyle) Hend.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","02323518","PreservedSpecimen","Plantae","Arecales","Arecaceae","Wettinia","drudei","Wettinia drudei","M. J. Balick","1001",NA,NA,NA,"South America","Peru","Loreto","Maynas","Río Yaguasyacu, affluent of Río Ampiyacu. Brillo Nuevo and vicinity",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2544156' target='other'> <mi>dwc_moreinfo</mi></a>","NY02323518","NY02323518_01","-72","-2.67","Magnoliophyta","(O.F.Cook & Doyle) Hend.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","01137383","PreservedSpecimen","Plantae","Arecales","Arecaceae","Wettinia","drudei","Wettinia drudei","A. J. Henderson","830","1989","01","05","South America","Brazil","Amazonas","Atalaia do Norte","Rio Javari, frontier between Brasil and Peru, Paumari or Natividad.","75","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1283326' target='other'> <mi>dwc_moreinfo</mi></a>","NY01137383","NY01137383_01 NY01137383_02","-70.30503","-4.2873106","Magnoliophyta","(O.F.Cook & Doyle) Hend.","75",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2016-09-19 15:24:00-03","NY","NYBG","02323608","PreservedSpecimen","Plantae","Arecales","Arecaceae","Wettinia","drudei","Wettinia drudei","R. Vásquez Martínez","3075","1982","03","25","South America","Peru","Loreto","Alto Amazonas","Capahuari Sur (Campamento Petrolero).","200","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2544441' target='other'> <mi>dwc_moreinfo</mi></a>","NY02323608","NY02323608_01 NY02323608_02 NY02323608_03 NY02323608_04","-76.33","-2.85",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2015-09-03 22:52:29-03","MNHN","RECOLNAT_MNHN_P","P01921459","PreservedSpecimen",NA,NA,"Arecaceae","Wettinia","drudei","Wettinia drudei","Trail, J.W.H.",NA,NA,NA,NA,NA,"Brasil","Amazonas",NA,"Upper Amazon and tributaries",NA,"hb","Donné par la Direction du Jardin Royal de Kew 1877 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01921459' target='other'> <mi>dwc_moreinfo</mi></a>","P01921459","P01921459_01",NA,NA,NA,"(O.F.Cook & Doyle) A.J.Hend.",NA,"1058",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2009-04-21 03:32:00-03","MO","MOBOT","294149","PreservedSpecimen","Plantae",NA,"Arecaceae","Catoblastus","drudei","Catoblastus drudei","Robin B. Foster","Foster 9727","1984","7","29","South America","Peru","Madre de Dios","Manu","Parque Nacional del Manu. Rio Manu, Cocha Cashu Station. Floodplain forest. High old floodplain and hilly uplands.","350.00000000",NA,NA,NA,NA,"-71.41666","-11.83333",NA,"O.F. Cook & Doyle",NA,"84-38","A. Henderson","3",NA,NA,NA,NA,NA,NA,NA,NA
"9","2014-04-04 05:44:00-03","MO","MOBOT","294352","PreservedSpecimen","Plantae",NA,"Arecaceae","Catoblastus","drudei","Catoblastus drudei","Rodolfo Vásquez|Nestor Jaramillo","Vásquez Martínez 16505","1991","5","25","South America","Peru","Loreto","Maynas","Dtto. Iquitos, Allpahuayo. Estación Experimental del Instituto de Investigaciones de la Amazonía Peruana (IIAP). Bosque inundable solo con agua de escorrentia (Quebrada Brashico). Muestreo de 1000 m2, en subparcelas de 50 m X 2 m. Individuos >|_ de 2.5 cm de diámetro. TRANSECTO No. 7","150.00000000",NA,NA,NA,NA,"-73.5","-4.16666",NA,"O.F. Cook & Doyle","180.00000000","306","R. Vasquez (MO)","12",NA,NA,NA,NA,NA,NA,NA,NA
"10","2009-01-14 03:35:00-02","MO","MOBOT","1241467","PreservedSpecimen","Plantae",NA,"Arecaceae","Wettinia","drudei","Wettinia drudei","Camilo Díaz S.","Díaz Santibáñez 8622","1996","11","20","South America","Peru","Amazonas","Bagua","Dtto. Imaza. Comunidad Aguaruna de Kusú-Listra. Cerro Apág, margen derecha Quebrada Kusú. Ambas márgens Quebrada Kusú. Subtransecto VI.","550.00000000",NA,NA,NA,NA,NA,NA,NA,"(O.F. Cook & Doyle) A.J. Hend.",NA,"287","R. Vasquez (MO)","6",NA,NA,NA,NA,NA,NA,NA,NA
