"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","minimumElevationInMeters","maximumElevationInMeters","typeStatus","yearIdentified","coordinatePrecision","geoFlag","fieldNumber","individualCount","class"
"1","2021-03-15 16:37:00-03","NY","NYBG","00972474","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Ochnaceae","Luxemburgia","flexuosa","Luxemburgia flexuosa","Sastre","G. M. Magalhaes","18934","1963","03","17","South America","Brazil","Minas Gerais","Serro","Serra do Sêrro.","-43.3792","-18.6047","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1095020' target='other'> <mi>dwc_moreinfo</mi></a>","NY00972474","NY00972474_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","02282319","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Ochnaceae","Luxemburgia","flexuosa","Luxemburgia flexuosa","Sastre","W. R. Anderson","36099","1972","02","17","South America","Brazil","Minas Gerais",NA,"Serra do Espinhaço, Serra do Cipó","-43.565347","-19.391335","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2250307' target='other'> <mi>dwc_moreinfo</mi></a>","NY02282319",NA,"C. H. L. Sastre","1200","1300",NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","688550","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Ochnaceae","Luxemburgia","flexuosa","Luxemburgia flexuosa","Sastre","H. S. Irwin","20732","1968","02","23","South America","Brazil","Minas Gerais",NA,"Serra do Espinhaço at Lapinha, Minas Gerais, ca. 18 km. North of Serro on road (MG 2) to Diamantina.","-43.55","-18.55","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=862838' target='other'> <mi>dwc_moreinfo</mi></a>","NY00688550","NY00688550_01",NA,"1200","1200","isotype",NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","02282315","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Ochnaceae","Luxemburgia","flexuosa","Luxemburgia flexuosa","Sastre","W. R. Anderson","35956","1972","02","13","South America","Brazil","Minas Gerais",NA,"Serra do Espinhaço, eastern slopes of Pico do Itambé","-43.3919444","-18.43185","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2293373' target='other'> <mi>dwc_moreinfo</mi></a>","NY02282315",NA,"C. H. L. Sastre","1310","1310",NA,NA,NA,NA,NA,NA,NA
"5","2021-03-01 16:37:10-03","UNICAMP","UEC","181707","S","Plantae","Magnoliopsida",NA,"Ochnaceae","Luxemburgia","flexuosa","Luxemburgia flexuosa","Sastre","Anderson, WR; Stieber, M; Kirkbride Jr, JH","36099","1972","02","17",NA,"Brazil","Minas Gerais",NA,"Serra do Cipó; forest along stream, adjacent rocky and grassy hillsides, and grassy campo on top of hills; sandy soil and sandstone.",NA,NA,NA,"Shrub by stream, 2m tall; fruit brown.","UEC082560","UEC082560","Sastre, C","1200","1300","paratypus","1981",NA,NA,NA,NA,NA
"6","2021-03-01 16:37:10-03","UNICAMP","UEC","181710","S","Plantae","Magnoliopsida",NA,"Ochnaceae","Luxemburgia","flexuosa","Luxemburgia flexuosa","Sastre","Anderson, WR; Stieber, M; Kirkbride Jr, JH","35956","1972","02","13",NA,"Brazil","Minas Gerais",NA,"Eastern slopes of Pico do Itambé; steep-sided grassy, shrubby, or wooded slopes with sandstone outcrops, sloping down to a deep, shaded box canyon with vertical walls and subterranean drainage.",NA,NA,NA,"Shrub 2m tall; sepals green to yellow; petals brigth yellow; pistil green; between sandstone blocks.","UEC082552","UEC082552","Sastre, C","1310","1310","paratypus","1981",NA,NA,NA,NA,NA
"7","2020-12-21 16:37:52-03","MBM","MBM","105613","PreservedSpecimen","Plantae",NA,NA,"Ochnaceae","Luxemburgia","flexuosa","Luxemburgia flexuosa","Sastre","Hatschbach, G.; Zelma, F.J.; Zelma, F.J.","50229",NA,NA,NA,"Southern America","Brazil","Minas Gerais","Serro","Rod. BR-359, 5-10km de Serro","-43.3793983459473","-18.604700088501",NA,NA,"MBM105613","MBM105613","Feres, F.",NA,NA,NA,NA,"37754","auto",NA,NA,NA
"8","2020-12-21 16:37:52-03","MBM","MBM","20635","PreservedSpecimen","Plantae",NA,NA,"Ochnaceae","Luxemburgia","flexuosa","Luxemburgia flexuosa","Sastre","Hatschbach, G.; Smith, L.B.; Ayensu, E.; Smith, L.B.; Ayensu, E.","28903",NA,NA,NA,"Southern America","Brazil","Minas Gerais","Serro","Rod. MG-2, entre Serro e Datas","-43.3793983459473","-18.604700088501",NA,NA,"MBM020635","MBM020635","Sastre, C.",NA,NA,NA,NA,"37754","auto",NA,NA,NA
"9","2015-09-04 12:59:33-03","MNHN","RECOLNAT_MNHN_P","P00542227","PreservedSpecimen",NA,NA,NA,"Ochnaceae","Luxemburgia","flexuosa","Luxemburgia flexuosa","Sastre","Irwin, H.S.|Maxwell, H.|Wasshausen, D.C.",NA,"1968","2","23",NA,"Brésil",NA,NA,"Serra do Espinhaço at Lapinha, Minas Geraes, ca. 18 km N of Sêrro on road (MG 2) to Diamantina",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00542227' target='other'> <mi>dwc_moreinfo</mi></a>","P00542227","P00542227_01","Sastre","1200",NA,"holotype",NA,NA,NA,"20732",NA,NA
"10","2015-09-05 08:43:22-03","MNHN","RECOLNAT_MNHN_P","P04875538","PreservedSpecimen",NA,NA,NA,"Ochnaceae","Luxemburgia","flexuosa","Luxemburgia flexuosa","Sastre","Hatschbach, G.|Zelma, F.J.",NA,"1985","11","27",NA,"Brasil","Minas Gerais",NA,"Rod. BR-259, 5-10km de Serro.",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p04875538' target='other'> <mi>dwc_moreinfo</mi></a>","P04875538","P04875538_01",NA,NA,NA,NA,NA,NA,NA,"50229",NA,NA
"11","2015-09-05 08:43:22-03","MNHN","RECOLNAT_MNHN_P","P04875539","PreservedSpecimen",NA,NA,NA,"Ochnaceae","Luxemburgia","flexuosa","Luxemburgia flexuosa","Sastre","Anderson, W.R.|Stieber, M.",NA,"1972","2","13",NA,"Brasil","Minas Gerais",NA,"Serra do Espinhaço. Eastern slopes of Pico do Itambé.",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p04875539' target='other'> <mi>dwc_moreinfo</mi></a>","P04875539","P04875539_01",NA,"1310",NA,NA,NA,NA,NA,"35956",NA,NA
"12","2015-09-05 08:43:22-03","MNHN","RECOLNAT_MNHN_P","P04875537","PreservedSpecimen",NA,NA,NA,"Ochnaceae","Luxemburgia","flexuosa","Luxemburgia flexuosa","Sastre","Magalhães, M.",NA,"1963","3","17",NA,"Brasil","Minas Gerais","Serro","Serra do Sêrro.","-43.3793983459473","-18.604700088501","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p04875537' target='other'> <mi>dwc_moreinfo</mi></a>","P04875537","P04875537_01",NA,NA,NA,NA,NA,"37754","auto","18934",NA,NA
"13","2015-04-21 09:16:00-03","MO","MOBOT","100810253","PreservedSpecimen","Plantae",NA,NA,"Ochnaceae","Luxemburgia","flexuosa","Luxemburgia flexuosa","Sastre","William R. Anderson|M.T. Stieber|Joseph H. Kirkbride, Jr.","Anderson 36099","1972","2","17","South America","Brazil","Minas Gerais",NA,"Serra do Cipó, forest along stream, adjacent rocky and grassy hillsides, and grassy campo on top of hills; sandy soil and sandstone.",NA,NA,NA,NA,NA,NA,"C. Sastre","1200.00000000","1300.00000000",NA,NA,NA,NA,NA,"1",NA
"14","2015-06-30 09:38:00-03","MO","MOBOT","100828370","PreservedSpecimen","Plantae",NA,NA,"Ochnaceae","Luxemburgia","flexuosa","Luxemburgia flexuosa","Sastre","William R. Anderson|M.T. Stieber|Joseph H. Kirkbride, Jr.","Anderson 35956","1972","2","13","South America","Brazil","Minas Gerais",NA,"Eastern slopes of Pico do Itambé.",NA,NA,NA,NA,NA,NA,"C. Sastre","1310.00000000",NA,NA,NA,NA,NA,NA,"1",NA
"15","2020-09-12 05:00:02-03","US","US","3207154","PreservedSpecimen","Plantae",NA,"Theales","Ochnaceae","Luxemburgia","flexuosa","Luxemburgia flexuosa","Sastre","G. Hatschbach & F. J. Zelma","50229",NA,NA,NA,"South America - Neotropics","Brazil","Minas Gerais","Serro","Rodovia BR-259. 5-10 km de Serro","-43.3793983459473","-18.604700088501",NA,NA,"US01879639","US01879639_01 US01879639_02",NA,NA,NA,NA,NA,"37754","auto",NA,"1","Dicotyledonae"
"16","2020-09-12 05:00:02-03","US","US","2737037","PreservedSpecimen","Plantae",NA,"Theales","Ochnaceae","Luxemburgia","flexuosa","Luxemburgia flexuosa","Sastre","H. S. Irwin, H. Maxwell & D. C. Wasshausen","20732","1968","2","23","South America - Neotropics","Brazil","Minas Gerais",NA,"Espinhaco at Lapinha, N of Serro on road to Diamantina.",NA,NA,NA,NA,"US00611089","US00611089_01",NA,NA,NA,"Isotype",NA,NA,NA,NA,"1","Dicotyledonae"
"17","2019-10-07 09:32:14-03","UEFS","HUEFS","218488","PreservedSpecimen","Plantae","Angiospermae","Malpighiales","Ochnaceae","Luxemburgia","flexuosa","Luxemburgia flexuosa","Sastre","Anderson, W.R.","35956","1972","02","13",NA,"Brasil","Minas Gerais","Santo Antônio do Imbé","Eastern slopes of Pico do Itambé; steep-sided grassy, shrubby, or wooded slopes with sandstone outcrops, sloping down to a deep, shaded box canyon with vertical walls and subterranean drainage.",NA,NA,NA,"Cerrado.","HUEFS0218488","HUEFS0218488",NA,"1310","1310","Parátipo",NA,NA,NA,NA,NA,"Rosanae"
"18","2019-09-04 17:51:14-03","F","FMNH-SEEDPLANTS","V0066149F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Ochnaceae","Luxemburgia","flexuosa","Luxemburgia flexuosa",NA,"H. S. Irwin et al.","20732","1968","2","23","South America","Brazil",NA,NA,"Serra do Espinhaço, Lapinha",NA,NA,NA,NA,"V0066149F","V0066149F_01",NA,NA,NA,"Isotype",NA,NA,NA,NA,NA,"Dicotyledoneae"
"19","2019-11-01 15:07:06-03","UnB","UB","11699","PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Ochnaceae","Luxemburgia","flexuosa","Luxemburgia flexuosa","Sastre","Anderson, WR; Stieber, M; Kirkbride Junior, JH","36099","1972","02","17","Southern America","Brasil","Minas Gerais",NA,"Serra do Cipó",NA,NA,NA,"Shrub 2m. Fruto brown.; Forest along stream, rocky, grassy hillsides. Solo: sandy with sandstone.","UB0040111","UB0040111","Feres, F","1200","1300","paratype",NA,NA,NA,NA,NA,NA
"20","2019-11-01 15:07:06-03","UnB","UB","11703","PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Ochnaceae","Luxemburgia","flexuosa","Luxemburgia flexuosa","Sastre","Anderson, WR; Stieber, M; Kirkbride Junior, JH","35956","1972","02","13","Southern America","Brasil","Minas Gerais",NA,"Serra do Espinhaço. Eastern slopes of Pico do Itambé",NA,NA,NA,"Shrub 2m. Sepals green to yellow; petals bright yellow, pistil green.; Shrub 2m. Flor bright yellow; Wooded slopes with sandstone outcrops. Solo: sandstone blocks.","UB0040112","UB0040112","Feres, F","1310","1310","paratype",NA,NA,NA,NA,NA,NA
"21","2019-11-01 15:07:06-03","UnB","UB","2005","PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Ochnaceae","Luxemburgia","flexuosa","Luxemburgia flexuosa","Sastre","Irwin, HS; Maxwell, HH; Wasshausen, DC","20732","1968","02","23","Southern America","Brasil","Minas Gerais",NA,"Ca. 18 km N de Serro na estrada para Diamantina",NA,NA,NA,"Tipo.; Arbusto 2m. Flor amarela. Fruto verde.; Floresta de galeria.","UB0040113","UB0040113","Incógnito","1200","1200","isotype",NA,NA,NA,NA,NA,NA
