"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","typeStatus","minimumElevationInMeters","verbatimLongitude","verbatimLatitude","class","maximumElevationInMeters"
"1","2021-03-15 16:37:00-03","NY","NYBG","971704","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Ditassa","oberdanii","Ditassa oberdanii","Fontella & M.C.Alvarez","T. U. P. Konno","R. P. Belém","3773","1968","06","27","South America","Brazil","Minas Gerais","Ao lado da Rodovia BR 4, Km 777.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1092184' target='other'> <mi>dwc_moreinfo</mi></a>","NY00971704","NY00971704_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-01-14 15:20:56-03","MN","R","206714","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Ditassa","oberdanii","Ditassa oberdanii","Fontella & M. Alvarez","Góes, M.B.","Góes, M.B. 106; Barros, E.M.",NA,"2006","04","09",NA,"Brasil","Espírito Santo",NA,NA,NA,NA,NA,"2006","04","09","Santa Teresa","-40.6002998352051","-19.9356002807617","23813","auto",NA,NA,NA,NA,NA,NA
"3","2021-01-14 15:20:56-03","MN","R","203677","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Ditassa","oberdanii","Ditassa oberdanii","Fontella & M. Alvarez","Kollmann, L.","Kollmann, L.","5665","2002","03","26",NA,"Brasil","Espírito Santo","Penha",NA,NA,NA,NA,"2002","03","26","Santa Teresa","-40.6002998352051","-19.9356002807617","23813","auto",NA,NA,NA,NA,NA,NA
"4","2011-02-22 09:59:00-03","MO","MOBOT","1381203","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Ditassa","oberdanii","Ditassa oberdanii","Fontella & M. Alvarez",NA,"R.M. Pizziolo","Pizziolo 22","1984","4","26","South America","Brazil","Espírito Santo","Santa Teresa, Rio Saltinho",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Isotype","500.00000000",NA,NA,NA,NA
"5","2013-12-01 05:44:00-02","MO","MOBOT","2826438","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Ditassa","oberdanii","Ditassa oberdanii","Fontella & M. Alvarez",NA,"Romeu P. Belém","Belém 3773","1968","6","27","South America","Brazil","Minas Gerais","Ao lado da Rodovia BR 4, km 777 Rocha calcárea.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-07-10 09:43:41-03","MBML","MBML-HERBARIO","16618",NA,"Plantae",NA,NA,"Asclepiadaceae","Ditassa","oberdanii","Ditassa oberdanii","Fontella & Alvarez","L. Kollmann/26-03-2002","L. Kollmann","5665","2002","03","26",NA,"Brasil","Espírito Santo","Penha",NA,"Trepadeira no barranco. Sol. Pétalas brancas, sépalas verdes. Folhas verde claras, face abaxial com a nervura central esbranquiçada. Caule com pêlos ferrugíneos.","MBML016618","MBML016618",NA,NA,NA,"Santa Teresa","-40.552778","-19.953333",NA,NA,NA,NA,"40W33'10","19S57'12",NA,NA
"7","2020-07-10 09:43:41-03","MBML","MBML-HERBARIO","28066",NA,"Plantae",NA,NA,"Asclepiadaceae","Ditassa","oberdanii","Ditassa oberdanii","Fontella & Alvarez","L. Kollmann/28-12-2006","L. Kollmann","9293","2006","09","04",NA,"Brasil","Espírito Santo","Penha, Sítio do R. Pizziolo",NA,"Liana no sol. Frutos secos.","MBML028066","MBML028066",NA,NA,NA,"Santa Teresa","-40.555833","-19.935",NA,NA,NA,NA,"40W33'21","19S56'6",NA,NA
"8","2020-07-10 09:43:41-03","MBML","MBML-HERBARIO","39417",NA,"Plantae",NA,NA,"Asclepiadaceae","Ditassa","oberdanii","Ditassa oberdanii","Fontella & Alvarez","A. Rapini/10-06-2010","L. Kollmann; & E. Leme","11833","2009","09","12",NA,"Brasil","Espírito Santo","Pedra da Botelha",NA,"Liana ao sol, frutos verdes.","MBML039417","MBML039417",NA,NA,NA,"Boa Esperança","-40.368889","-18.448056",NA,NA,NA,NA,"40W22'8","18S26'53",NA,NA
"9","2020-07-10 09:43:41-03","MBML","MBML-HERBARIO","39913",NA,"Plantae",NA,NA,"Asclepiadaceae","Ditassa","oberdanii","Ditassa oberdanii","Fontella & Alvarez","M.B. Goes/09-04-2006","M. Goes; E.M. Barros","106","2006","04","09",NA,"Brasil","Espírito Santo","Estrada de terra de Sta. Teresa p/ Sta Leopoldina, lado direito, em frente ao terreno da Aracruz, ca 600m da igreja da Penha",NA,"Planta volúvel. Látex alvo abundante, folhas discolores, margens não revolutas, flores alvas, leve aroma adocicado, em barranco de solo avermelhado","MBML039913","MBML039913",NA,NA,NA,"Santa Teresa","-40.548889","-19.955833",NA,NA,NA,NA,"40W32'56","19S57'21",NA,NA
"10","2020-07-10 09:43:41-03","MBML","MBML-HERBARIO","4005",NA,"Plantae",NA,NA,"Asclepiadaceae","Ditassa","oberdanii","Ditassa oberdanii","Fontella & Alvarez","Fontella/07-IX-1990","R. M. Pizziolo","22","1984","04","26",NA,"Brasil","Espírito Santo","Rio Saltinho",NA,"Trepadeira, flor branca, perfumada, solo barro amarelado, altitude de +/- 500m. (isotipo em HB) in Novon 8:239-240.1998.","MBML004005","MBML004005",NA,NA,NA,"Santa Teresa","-40.506944","-19.936111",NA,NA,"HOLOTIPO",NA,"40W30'25","19S56'10",NA,NA
"11","2019-10-07 09:13:20-03","UEFS","HUEFS","100075","PreservedSpecimen","Plantae","Angiospermae","Gentianales","Apocynaceae","Ditassa","oberdanii","Ditassa oberdanii","Fontella & M.C.Alvarez","A.Rapini","Konno, T.","811","2002","03","01",NA,"Brasil","Espírito Santo","Estrada de terra para a Reserva santa Lúcia.",NA,NA,"HUEFS0100075","HUEFS0100075","2005","11",NA,"Santa Teresa","-40","-19.956389",NA,NA,NA,"700","40W","19S57'23''","Asteranae","700"
"12","2020-11-12 16:59:50-03","UEL","FUEL","39582","PreservedSpecimen","Plantae","Tracheophyta","Gentianales","Apocynaceae","Ditassa","oberdanii","Ditassa oberdanii","Fontella & M.Alvarez",NA,"Konno, T; Sousa, GM","811","2002","03","01",NA,"Brasil","Espírito Santo","estrada de terra para Reserva Santa Lúcia",NA,NA,"FUEL019421",NA,NA,NA,NA,"Santa Tereza","-40.6002998352051","-19.9356002807617","23813","auto",NA,NA,NA,NA,NA,NA
"13","2019-12-05 09:46:14-03","IBt","SP","374448","S","Plantae",NA,NA,"Apocynaceae","Ditassa","oberdanii","Ditassa oberdanii","Fontella & M.Alvarez","Konno, T","Konno, T; Sousa, GM","811","2002","03","01",NA,"Brasil","Espírito Santo","Estrada de terra para a Reserva Santa Lúcia",NA,NA,NA,NA,"2002",NA,NA,"Santa Teresa","-40","-19.956389",NA,NA,NA,NA,"-40","-19.956389",NA,NA
"14","2020-10-08 08:52:32-03","IBt","SP","359020","S","Plantae",NA,NA,"Apocynaceae","Ditassa","oberdanii","Ditassa oberdanii","Fontella & M.Alvarez","Kollmann, L","Kollmann, L","5665","2002","03","26",NA,"Brasil","Espírito Santo","Penha, estrada de Santa Leopoldina",NA,NA,NA,NA,"2002","03","26","Santa Teresa","-40.6002998352051","-19.9356002807617","23813","auto",NA,NA,NA,NA,NA,NA
