"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","typeStatus","yearIdentified","coordinatePrecision","geoFlag","monthIdentified","verbatimLongitude","verbatimLatitude","dayIdentified","class","minimumElevationInMeters","maximumElevationInMeters","individualCount","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","378405","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Chrysobalanaceae","Licania","belemii","Licania belemii","Prance","G. T. Prance","D. A. Folli","6179","1979","01","11","South America","Brazil","Espírito Santo","Linhares","Reserva Florestal da CVRD, Est. 142 km 1,250 lado esquerdo","-40.0719","-19.3911","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=721746' target='other'> <mi>dwc_moreinfo</mi></a>","NY00378405","NY00378405_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","378406","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Chrysobalanaceae","Licania","belemii","Licania belemii","Prance","G. T. Prance","T. S. dos Santos","1444","1971","01","28","South America","Brazil","Bahia","Camacan","Estrada a Rio Branco","-39.49","-15.41","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=721742' target='other'> <mi>dwc_moreinfo</mi></a>","NY00378406","NY00378406_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","822621","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Chrysobalanaceae","Licania","belemii","Licania belemii","Prance","G. T. Prance","S. A. Mori","10241","1978","07","15","South America","Brazil","Bahia","Uruçuca","Nova estrada que liga Uruçuca a Serra Grande, a 28-30 km de Uruçuca. Regiao de Mata Higrófila Sul Baiana","-39.1028872","-14.4796443","separate fruit","Frutos separados, fotos <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=918085' target='other'> <mi>dwc_moreinfo</mi></a>","NY00822621","NY00822621_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","378409","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Chrysobalanaceae","Licania","belemii","Licania belemii","Prance","G. T. Prance","S. A. Mori","10241","1978","07","15","South America","Brazil","Bahia","Uruçuca","Nova estrada que liga Uruçuca a Serra Grande, a 28-30 km de Uruçuca. Regiao de Mata Higrófila Sul Baiana","-39.1028872","-14.4796443","sheet","Frutos separados, fotos <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=721744' target='other'> <mi>dwc_moreinfo</mi></a>","NY00378409","NY00378409_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","378408","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Chrysobalanaceae","Licania","belemii","Licania belemii","Prance","G. T. Prance","M. Kuhlmann","208","1934","04","14","South America","Brazil","Espírito Santo","Linhares","Rio Doce, Lagoa do Durao","-40.0719","-19.3911","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=721743' target='other'> <mi>dwc_moreinfo</mi></a>","NY00378408","NY00378408_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","378717","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Chrysobalanaceae","Licania","belemii","Licania belemii","Prance","G. T. Prance","S. A. Mori","10241","1978","07","15","South America","Brazil","Bahia","Uruçuca","Nova estrada que liga Uruçuca a Serra Grande, a 28-30 km de Uruçuca. Regiao de Mata Higrófila Sul Baiana","-39.1028872","-14.4796443","sheet","Frutos separados, fotos <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=721747' target='other'> <mi>dwc_moreinfo</mi></a>","NY00378717","NY00378717_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","378404","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Chrysobalanaceae","Licania","belemii","Licania belemii","Prance","G. T. Prance","S. A. Mori","11033","1978","10","29","South America","Brazil","Bahia","Una","Estrada que liga a Rod BR 101 (Sao José) com a BA 265 (Núcleo colonial de Una). Regiao de Mata Higrofila","-39.2458785","-15.1517001","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=721745' target='other'> <mi>dwc_moreinfo</mi></a>","NY00378404","NY00378404_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","428343","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Chrysobalanaceae","Licania","belemii","Licania belemii","Prance",NA,"R. P. Belém","3211","1967","01","30","South America","Brazil","Bahia","Belmonte","Mata costeira","-38.88","-15.86","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=721749' target='other'> <mi>dwc_moreinfo</mi></a>","NY00428343","NY00428343_01","isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","378407","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Chrysobalanaceae","Licania","belemii","Licania belemii","Prance","G. T. Prance","S. A. Mori","10252","1978","07","16","South America","Brazil","Bahia","Uruçuca","Nova estrada que liga Uruçuca a Serra Grande, a 28-30 km de Uruçuca. Regiao de mata higrófila Sul Baiana. Folha SD-24 (15-39a).","-39.1028872","-14.4796443","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=721748' target='other'> <mi>dwc_moreinfo</mi></a>","NY00378407","NY00378407_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","378403","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Chrysobalanaceae","Licania","belemii","Licania belemii","Prance","G. T. Prance","T. S. dos Santos","320","1968","12","16","South America","Brazil","Bahia","Una","Fazenda Sao Rafael","-39.2481074","-15.2189248","sheet","Coleçao de madeira <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=721741' target='other'> <mi>dwc_moreinfo</mi></a>","NY00378403","NY00378403_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
