"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","typeStatus","continentOcean","preparationType","previousCatalogNumber","phylum","order","coordinatePrecision","geoFlag","infraspecificEpithet","class","relatedCatalogItem","fieldNumber","individualCount","relationshipType","sex"
"1","2021-04-05 14:33:37-03","UNESC","CRI","1513","PreservedSpecimen","Plantae","Lauraceae","Ocotea","aciphylla","Ocotea aciphylla","(Nees & Mart.) Mez","R. Negrelle","R. R. B. Negrelle","483","1992","10","15","Brasil","Santa Catarina","Itapoá","Reserva Volta Velha.","-48.616389","-26.1175","48º36'59''W","26º7'3''S","9","9","Habito: árvore","CRI003657","CRI003657",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:33:35-03","UNESC","CRI","1512","PreservedSpecimen","Plantae","Lauraceae","Ocotea","aciphylla","Ocotea aciphylla","(Nees & Mart.) Mez","R. R. Negrelle","R. Negrelle; C. Londero",NA,"1992","11","07","Brasil","Santa Catarina","Itapoá","Reserva Volta Velha.","-48.616389","-26.1175","48º36'59''W","26º7'3''S","9","9","Habito: arbórea","CRI003659","CRI003659",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:33:35-03","UNESC","CRI","1511","PreservedSpecimen","Plantae","Lauraceae","Ocotea","aciphylla","Ocotea aciphylla","(Nees & Mart.) Mez","J. B. Baitello","R. R. B. Negrelle; et al.","239","1992","06","27","Brasil","Santa Catarina","Itapoá","Reserva Volta Velha.","-48.616389","-26.1175","48º36'59''W","26º7'3''S","9","9",NA,"CRI003661","CRI003661",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:25:24-03","UNESC","CRI","9438","PreservedSpecimen","Plantae","Lauraceae","Ocotea","aciphylla","Ocotea aciphylla","(Nees & Mart.) Mez","A. A. de Oliveira","A. Korte","5023","2010","11","18","Brasil","Santa Catarina","Itapoá","Saí Mirim.","-48.69","-26.1","48º41'24''W","26º6'0''S","18","18","Floresta Ombrófila Densa","CRI003667","CRI003667","2011","01","17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:33:37-03","UNESC","CRI","1514","PreservedSpecimen","Plantae","Lauraceae","Ocotea","aciphylla","Ocotea aciphylla","(Nees & Mart.) Mez","R. R. Negrelle","R. Negrelle; et al.",NA,"1992","10","10","Brasil","Santa Catarina","Itapoá","Reserva Volta Velha.","-48.616389","-26.1175","48º36'59''W","26º7'3''S","9","9","Habito: arbórea","CRI003665","CRI003665",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-09-23 10:40:18-03","E","E","259424","PreservedSpecimen","Plantae","Lauraceae","Ocotea","aciphylla","Ocotea aciphylla",NA,NA,"Schomburgk, Robert Hermann","974","1905","01","10","GY",NA,NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00259424 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00259424",NA,NA,NA,NA,"unspecified kind of","E. Tropical South America","herbarium specimen of unspecif","BGBASE:270563",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-09-23 10:40:18-03","E","E","293778","PreservedSpecimen","Plantae","Lauraceae","Ocotea","rhynchophylla","Ocotea rhynchophylla",NA,NA,"Assuncao, P.A.C.L.","8","1994","04","19","BR",NA,NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00293778 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00293778",NA,NA,NA,NA,NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:308374",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","355500","PreservedSpecimen","Plantae","Lauraceae","Nectandra","regnellii","Nectandra regnellii","Meisn.",NA,"A. F. Regnell","111.84",NA,NA,NA,"Brazil","Minas Gerais","Caldas","Caldas","-46.3858","-21.9236",NA,NA,NA,NA,"Frag. ex Hb. Mart. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=586814' target='other'> <mi>dwc_moreinfo</mi></a>","NY00355500","NY00355500_01",NA,NA,NA,"isotype","South America","sheet",NA,"Magnoliophyta","Laurales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","162370","PreservedSpecimen","Plantae","Lauraceae","Nectandra","rhynchophylla","Nectandra rhynchophylla","Meisn.",NA,"R. Schomburgk","974",NA,NA,NA,"Guyana",NA,NA,NA,NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=201212' target='other'> <mi>dwc_moreinfo</mi></a>","NY00162370",NA,NA,NA,NA,"syntype fragment","South America","sheet",NA,"Magnoliophyta","Laurales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","469319","PreservedSpecimen","Plantae","Lauraceae","Ocotea","aciphylla","Ocotea aciphylla","(Nees) Mez","G. G. Hatschbach","G. G. Hatschbach","24028","1970","03","16","Brazil","Paraná","Morretes","Col. Floresta","-48.8342","-25.4769",NA,NA,"50","50","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=82485' target='other'> <mi>dwc_moreinfo</mi></a>","NY00469319","NY00469319_01",NA,NA,NA,NA,"South America","sheet",NA,"Magnoliophyta","Laurales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","469329","PreservedSpecimen","Plantae","Lauraceae","Ocotea","aciphylla","Ocotea aciphylla","(Nees) Mez","G. G. Hatschbach","A. P. Duarte","5336","1960","07","26","Brazil","Paraná","Guaratuba","Rio da Praia","-48.5744","-25.8831",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=82491' target='other'> <mi>dwc_moreinfo</mi></a>","NY00469329","NY00469329_01",NA,NA,NA,NA,"South America","sheet",NA,"Magnoliophyta","Laurales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2016-09-30 07:33:00-03","NY","NYBG","1550406","PreservedSpecimen","Plantae","Lauraceae","Ocotea","aciphylla","Ocotea aciphylla",NA,"H. H. van der Werff","A. C. Londoño","1318","1989","11","09","Colombia","Amazonas",NA,"Araracuara. Villazul, Río Caquetá, margen izquierda frente isla Sumaeta.","-72.13","-0.65",NA,NA,"200","300","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1817020' target='other'> <mi>dwc_moreinfo</mi></a>","NY01550406","NY01550406_01",NA,NA,NA,NA,"South America","sheet",NA,"Magnoliophyta","Laurales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","469340","PreservedSpecimen","Plantae","Lauraceae","Ocotea","aciphylla","Ocotea aciphylla","(Nees) Mez","J. G. Kuhlmann","J. G. Kuhlmann","414","1930","09","29","Brazil","Espírito Santo","Linhares","Corrego do Durao, Linhares, Rio Doce","-40.0719","-19.3911",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=82484' target='other'> <mi>dwc_moreinfo</mi></a>","NY00469340","NY00469340_01",NA,NA,NA,NA,"South America","sheet",NA,"Magnoliophyta","Laurales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","469323","PreservedSpecimen","Plantae","Lauraceae","Ocotea","aciphylla","Ocotea aciphylla","(Nees) Mez",NA,"G. G. Hatschbach","46835","1983","10","06","Brazil","Paraná","Antonina","Bairro Alto","-48.7117","-25.4286",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=82498' target='other'> <mi>dwc_moreinfo</mi></a>","NY00469323","NY00469323_01",NA,NA,NA,NA,"South America","sheet",NA,"Magnoliophyta","Laurales",NA,NA,NA,NA,NA,NA,NA,NA,NA
