"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","infraspecificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","typeStatus","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","class","coordinatePrecision","geoFlag","individualCount","fieldNumber"
"1","2021-03-15 16:37:00-03","NY","NYBG","00863164","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Leersia","ligularis","glabriflora","Leersia ligularis glabriflora","Pyrah","G. L. Pyrah","M. A. Chase","9446","1925","04","11","South America","Brazil","Minas Gerais","Viçosa","Viçosa","-42.8817","-20.7542","640","640","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=950722' target='other'> <mi>dwc_moreinfo</mi></a>","NY00863164","NY00863164_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00863163","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Leersia","ligularis","glabriflora","Leersia ligularis glabriflora","Pyrah","G. L. Pyrah","M. A. Chase","9532","1925","04","19","South America","Brazil","Minas Gerais",NA,"East of Araponga, Serra da Gramma",NA,NA,"1100","1100","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=950721' target='other'> <mi>dwc_moreinfo</mi></a>","NY00863163","NY00863163_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","381285","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Leersia","ligularis","glabriflora","Leersia ligularis glabriflora","Pyrah",NA,"M. A. Chase","12418","1940","03","11","South America","Venezuela","Distrito Capital",NA,"Cotiza",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=78530' target='other'> <mi>dwc_moreinfo</mi></a>","NY00381285","NY00381285_01","isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","1066132","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Leersia","ligularis","grandiflora","Leersia ligularis grandiflora","(Döll) Pyrah","G. L. Pyrah","P. K. H. Dusén","13857","1912","02","27","South America","Brazil","Paraná",NA,"in altoplanitie: Rio Branco.",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1266879' target='other'> <mi>dwc_moreinfo</mi></a>","NY01066132","NY01066132_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","1066131","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Leersia","ligularis","grandiflora","Leersia ligularis grandiflora","(Döll) Pyrah","G. Davidse","H. S. Irwin","27334","1970","03","10","South America","Brazil","Minas Gerais","Joaquim Felício","Ca. 2 km N. of Joaquim Felício","-44.1708333","-17.7588","650","650","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1266877' target='other'> <mi>dwc_moreinfo</mi></a>","NY01066131","NY01066131_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-02 16:29:10-03","CPAN-UFMS","COR","8345","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Leersia","ligularis",NA,"Leersia ligularis","Trin.","Guglieri, A.","Damasceno-Júnior, G. A.; Silva, R. R.; Silva, P. C. & Garcia, M. M.","1846","2000","02","24",NA,"Brasil","Mato Grosso do Sul","Bonito","Interior da Gruta do Lago Azul; vegetação da entrada da gruta; zona de influência da luz","-56.590556","-21.141944","425","425",NA,"Erva, 40 cm de altura Habito: Erva",NA,NA,NA,"2009","05","21","56º35'26''W","21º8'31''S",NA,NA,NA,NA,NA
"7","2021-03-02 16:29:10-03","CPAN-UFMS","COR","8352","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Leersia","ligularis",NA,"Leersia ligularis","Trin.","Guglieri, A.","Damasceno-Júnior, G. A.; Lima, M. S.; Gonçalves, P. V. & Luis e Fernanda (guias de Bonito)","2134","2000","12","16",NA,"Brasil","Mato Grosso do Sul","Bonito","Fazenda Da Almira; mata ciliar do córrego Taquaral","-56.592222","-21.165556","425","425",NA,"Erva ereta, 40 cm de altura Habito: Erva ereta",NA,NA,NA,"2009","05","24","56º35'32''W","21º9'56''S",NA,NA,NA,NA,NA
"8","2020-02-08 10:18:07-03","NBC","NL-BOTANY","U.1499623","PreservedSpecimen","Plantae",NA,"Poales","Gramineae","Leersia","ligularis",NA,"Leersia ligularis","Trin.",NA,"Woolston AL",NA,"1953","01","01","Southern America","Paraguay",NA,NA,"Depto. San Pedro, Alto Paraguay, Primavera, Picarda.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1499623 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1499623","NL-U1499623",NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA
"9","2020-02-08 10:18:07-03","NBC","NL-BOTANY","U.1499632","PreservedSpecimen","Plantae",NA,"Poales","Gramineae","Leersia","ligularis",NA,"Leersia ligularis","Trin.",NA,"Steyermark JA",NA,"1961","02","01","Southern America","Venezuela",NA,NA,"Estado Bolivar, On rocky slope in wooded quebrada east of carrizal covered south-facing slope, southeast of Cerro Pichacho, N. of Las Nieves, 45 kms N of Tumeremo.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1499632 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1499632","NL-U1499632",NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA
"10","2019-11-21 14:42:40-03","UFJF","CESJ","49039","PreservedSpecimen","Plantae","Angiosperma",NA,"Poaceae","Leersia","ligularis",NA,"Leersia ligularis","Trin.","P.L. Viana","N.F.O. Mota; P.L. Viana","585","2006","03","25","América do Sul","Brasil","Minas Gerais","Carandaí","Pedra do Sino Hotel Fazenda, BR 040 Km 6, Trilha da Matinha.","-43.8064002990723","-20.9535999298096",NA,NA,NA,"Erva terrestre no interior de mata em borda de trilha.","CESJ049039",NA,NA,"2006",NA,NA,NA,NA,NA,"23079","auto",NA,NA
