"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","dayIdentified","typeStatus","class","order","relatedCatalogItem","imagecode","minimumElevationInMeters","maximumElevationInMeters","individualCount"
"1","2021-03-30 12:45:22-03","EAO","IAN","185418","PreservedSpecimen","Plantae","Dicotiledônea","Moraceae","Ficus","roraimensis","Ficus roraimensis","C.C.Berg","Ribeiro, JELS","1998","05","Assunção, PACL; Pereira, EC; Silva, CF da","504","1997","05","26","Southern America","Brasil","Amazonas","Manaus","Reserva Florestal Ducke, Manaus-Itacoatiara, KM 26. Campina. Solo arenoso.","-59.966667","-2.883333","-59.966667","-2.883333","Hemiepífita. Dossel. Árvore suporte já morta. Raíz marrom, rugosa, com bordas das lâminas cortantes. Látex café-com-leite, abundante. Casca viva avermelhada, com estrias mais escuras. Alburno esbranquiçado. Frutos imaturos verdes, pint","IAN185418",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-30 12:45:22-03","EAO","IAN","70708","PreservedSpecimen","Plantae","Dicotiledônea","Moraceae","Ficus","roraimensis","Ficus roraimensis","C.C.Berg","Berg, CC","1985","09","Black, GA; Magalhães, D","12915","1951","08","25","Southern America","Brasil","Roraima",NA,"Rio Mucajaí, pedras perto da Colônia Fernando Costa.","-59.254167","0.737222","-59.254167","0.737222","Árvore debruçada em pedra, flor verde.","IAN070708","02","holotipo",NA,NA,NA,NA,NA,NA,NA
"3","2020-02-08 10:24:14-03","NBC","NL-BOTANY","U.1433140","PreservedSpecimen","Plantae",NA,"Moraceae","Ficus","roraimensis","Ficus roraimensis","C.C.Berg","Berg CC",NA,NA,"Hoffman B",NA,"1992","02","27","Southern America","Guyana",NA,NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1433140 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1433140",NA,NA,"Magnoliopsidae","Rosales","U 0023698","NL-U1433140",NA,NA,NA
"4","2020-02-08 10:24:14-03","NBC","NL-BOTANY","U.1433141","PreservedSpecimen","Plantae",NA,"Moraceae","Ficus","roraimensis","Ficus roraimensis","C.C.Berg","Berg CC",NA,NA,"Henkel TW; James R",NA,"1994","04","27","Southern America","Guyana","Upper Takutu-Upper Essequibo",NA,"Region U. Takutu-U.Essequibo; South Rupununi; Toot river, 25 km SE of Aishalton village.","-59.166667","2.2","-59.166667","2.2","<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1433141 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1433141",NA,NA,"Magnoliopsidae","Rosales","U 0158937","NL-U1433141",NA,NA,NA
"5","2020-02-08 10:24:14-03","NBC","NL-BOTANY","U.1433139","PreservedSpecimen","Plantae",NA,"Moraceae","Ficus","roraimensis","Ficus roraimensis","C.C.Berg","Berg CC","1999","08","Andel TR van; Bröker K; Huyskens P; Daniels E",NA,"1997","11","22","Southern America","Guyana","North West District",NA,NA,"-59.083333","7.75","-59.083333","7.75","<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1433139 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1433139","01",NA,"Magnoliopsidae","Rosales","U 0065803","NL-U1433139",NA,NA,NA
"6","2014-09-25 12:32:37-03","FEMACT","MIRR","668","S","Plantae",NA,"Moraceae","Ficus","roraimensis","Ficus roraimensis","C.C.Berg",NA,NA,NA,"Ratter, J.A.; Milliken, W.; Coelho, L.F.; Carvalho, E.P.; Sousa, Raimundo C de","5449V","1987","02","25",NA,"Brasil","Roraima","Alto Alegre","Ilha de Maracá, SEMA Estação., On road to Santa Rosa, C. 0,5 km from the station.","-61.416667","3.366667","-61.416667","3.366667","[BARCODE = *MIRR 00668*]On road to Santa Rosa, C. 0,5 km from the station, in tall evergreen forest with trees to 27m and more.&nf;&nf;Tall strangler on a tree of Glycoxylon.&nf;&nf;Vegetative ecological voucher.; In tall evergreen forest with trees to 27m and m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2014-03-01 19:37:00-03","MO","MOBOT","3406802","PreservedSpecimen","Plantae",NA,"Moraceae","Ficus","roraimensis","Ficus roraimensis","C.C. Berg","Berg",NA,NA,"Terry W. Henkel|R. James","Henkel 3821","1994","4","27","South America","Guyana","Essequibo",NA,"Region: U. Takutu-U. Essequibo. South Rupununi; Toot River, 25km SE of Aishalton village. Tall mesic forest.","-59.16666","2.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"250.00000000",NA,NA
"8","2021-01-10 20:50:44-03","INPA","INPA","183571","S","Plantae","Dicotyledon Rosids","Moraceae","Ficus","roraimensis","Ficus roraimensis","C.C.Berg","Berg, CC","1998","05","Ribeiro, JELS","1772","1995","11","27","Southern America","Brasil","Amazonas","Manaus","Reserva Florestal Adolfo Ducke","-59.966667","-2.883333","-59.966667","-2.883333",NA,"INPA0183571",NA,NA,NA,"Rosales",NA,NA,NA,NA,NA
"9","2020-08-31 09:17:09-03","INPA","INPA","237084","S","Plantae","Dicotyledon Rosids","Moraceae","Ficus","roraimensis","Ficus roraimensis","C.C.Berg","Santos, OA dos","2011","06","Siniscalchi, CM","81","2010","09","17","Southern America","Brasil","Roraima","Caracaraí","Parque Nacional do Viruá, Igarapé Aliança, acesso pelo Rio Branco, margem esquerda do rio.","-61.241389","1.476972","-61.241389","1.476972",NA,"INPA0237084","16",NA,NA,"Rosales",NA,"INPA0237084 INPA0237084_e INPA0237084_nd1","58","58",NA
"10","2020-08-31 09:17:09-03","INPA","INPA","96907","S","Plantae","Dicotyledon Rosids","Moraceae","Ficus","roraimensis","Ficus roraimensis","C.C.Berg","Berg, CC","1995","11","Ferreira, CAC","2480","1980","09","14","Southern America","Brasil","Pará","Oriximiná","Estrada Oriximiná-Óbidos, Estrada Oriximiná - Óbidos Km 12 margem esquerda.","-56.057286","-2.569008","-56.057286","-2.569008",NA,"INPA0096907","27",NA,NA,"Rosales",NA,"INPA0096907 INPA0096907_e",NA,NA,NA
"11","2020-09-12 05:00:02-03","US","US","3368741","PreservedSpecimen","Plantae",NA,"Moraceae","Ficus","roraimensis","Ficus roraimensis","C.C. Berg","Berg, C. C.",NA,NA,"B. Hoffman & H. Jacobs","1070","1992","2","27","South America - Neotropics","Guyana","U. Takutu-U. Essequibo",NA,"S Pakaraima Mts, at Corona Falls, ±20 km NW of Karasabai village","-59.6867","4.155",NA,NA,NA,"US00588227",NA,NA,"Dicotyledonae","Urticales",NA,NA,"150",NA,"1"
"12","2020-09-12 05:00:02-03","US","US","3344281","PreservedSpecimen","Plantae",NA,"Moraceae","Ficus","roraimensis","Ficus roraimensis","C.C. Berg","Berg, C. C.",NA,NA,"T. Henkel & R. James","3821","1994","4","27","South America - Neotropics","Guyana","U. Takutu-U. Essequibo",NA,"South Rupununi; Toot River, 25 km SE of Aishalton village","-59.1667","2.2",NA,NA,NA,"US00529305",NA,NA,"Dicotyledonae","Urticales",NA,NA,"250",NA,"1"
