"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","preparationType","occurrenceRemarks","barcode","imagecode","locality","decimalLongitude","decimalLatitude","county","coordinatePrecision","geoFlag","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","class","verbatimLongitude","verbatimLatitude","relatedCatalogItem","monthIdentified","typeStatus","fieldNumber","individualCount","dayIdentified"
"1","2021-03-15 16:37:00-03","NY","NYBG","01200466","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Micropholis","splendens","Micropholis splendens","Gilly ex Aubrév.","T. D. Pennington","R. de Lemos Fróes","449","1941","12","19","South America","Brazil","Amazonas","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1443026' target='other'> <mi>dwc_moreinfo</mi></a>","NY01200466","NY01200466_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","01200469","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Micropholis","splendens","Micropholis splendens","Gilly ex Aubrév.","T. D. Pennington","R. de Lemos Fróes","820","1942","03","23","South America","Brazil","Amazonas","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1443030' target='other'> <mi>dwc_moreinfo</mi></a>","NY01200469","NY01200469_01 NY01200469_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","01200460","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Micropholis","splendens","Micropholis splendens","Gilly ex Aubrév.","T. D. Pennington","S. S. da Silva","s.n.","1989","06","26","South America","Brazil","Amazonas","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1442880' target='other'> <mi>dwc_moreinfo</mi></a>","NY01200460","NY01200460_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","01200467","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Micropholis","splendens","Micropholis splendens","Gilly ex Aubrév.","T. D. Pennington","R. de Lemos Fróes","26226","1950","06","12","South America","Brazil","Amazonas","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1443028' target='other'> <mi>dwc_moreinfo</mi></a>","NY01200467","NY01200467_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2016-09-30 01:40:00-03","NY","NYBG","01200471","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Micropholis","splendens","Micropholis splendens",NA,"T. D. Pennington","P. A. C. L. Assunção","13","1994","04","19","South America","Brazil","Amazonas","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1328626' target='other'> <mi>dwc_moreinfo</mi></a>","NY01200471","NY01200471_01 NY01200471_02 NY01200471_03","Igarapé do Barro Branco, próximo à piscina.","-59.966667","-2.883333",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2016-09-30 01:40:00-03","NY","NYBG","01200464","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Micropholis","splendens","Micropholis splendens",NA,"T. D. Pennington","P. A. C. L. Assunção","671","1997","09","21","South America","Brazil","Amazonas","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1328270' target='other'> <mi>dwc_moreinfo</mi></a>","NY01200464","NY01200464_01","Reserva Florestal Ducke, Manaus-Itacoatiara, Km 26. Floresta de Vertente.","-60.0250015258789","-3.10193991661072","Manaus","138090","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","01200468","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Micropholis","splendens","Micropholis splendens","Gilly ex Aubrév.","T. D. Pennington","R. de Lemos Fróes","23284","1948","06","24","South America","Brazil","Amazonas","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1443029' target='other'> <mi>dwc_moreinfo</mi></a>","NY01200468","NY01200468_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2016-09-30 01:40:00-03","NY","NYBG","01200470","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Micropholis","splendens","Micropholis splendens",NA,"T. D. Pennington","M. Pacheco","26","1988","11","02","South America","Brazil","Amazonas","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1329266' target='other'> <mi>dwc_moreinfo</mi></a>","NY01200470","NY01200470_01","Manaus. Fazenda Dimona of the WWF/INPA MCS project, ca 72 km N of Manaus","-60","-2.316667",NA,NA,NA,"50","50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","01200463","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Micropholis","splendens","Micropholis splendens","Gilly ex Aubrév.","T. D. Pennington","R. de Lemos Fróes","820","1942","03","23","South America","Brazil","Amazonas","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1443020' target='other'> <mi>dwc_moreinfo</mi></a>","NY01200463","NY01200463_01 NY01200463_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","01200465","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Micropholis","splendens","Micropholis splendens","Gilly ex Aubrév.","T. D. Pennington","R. de Lemos Fróes","447","1941","12","19","South America","Brazil","Amazonas","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1443023' target='other'> <mi>dwc_moreinfo</mi></a>","NY01200465","NY01200465_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
