"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","recordedBy","year","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","imagecode","recordNumber","month","day","continentOcean","preparationType","previousCatalogNumber","phylum","order","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","monthIdentified","dayIdentified","class","relatedCatalogItem","typeStatus","fieldNumber","individualCount","sex"
"1","2021-04-05 14:33:41-03","UNESC","CRI","2949","PreservedSpecimen","Plantae","Melastomataceae","Miconia","calvescens","Miconia calvescens","DC.","A. C. Brade","1957","A. P. Duarte","1951","Brasil","Rio de Janeiro","Rio de Janeiro","Fundos da Pedreira, Gávea.","-43.207778","-22.903333","43º12'28''W","22º54'12''S","Habito: arbusto","CRI004383","CRI004383",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:41:32-03","E","E","83908","PreservedSpecimen","Plantae","Melastomataceae","Miconia","calvescens","Miconia calvescens",NA,NA,NA,"Munhoz, C., Alvarenga, D. & Silva, S.R.","1995","BR",NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00083908 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00083908",NA,"299","09","21","E. Tropical South America","herbarium specimen of unspecif","BGBASE:92797",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","521272","PreservedSpecimen","Plantae","Melastomataceae","Miconia","calvescens","Miconia calvescens","DC.",NA,NA,"L. A. Mattos Silva","1979","Brazil","Bahia","Ilhéus","Area do CEPEC (Centro de Pesq. do Cacau), km 22 rodovia Ilhéus/Itabuna - BR 415. Regiao de Mata Higrófila Sul Baiana. Quadra D, Reserva Zoobotanica","-39.22095","-14.7739696",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=118112' target='other'> <mi>dwc_moreinfo</mi></a>","NY00521272","NY00521272_01","406","05","31","South America","sheet",NA,"Magnoliophyta","Myrtales","50","50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","3270423","PreservedSpecimen","Plantae","Melastomataceae","Miconia","calvescens","Miconia calvescens","DC.",NA,NA,"K. von Sneidern","1938","Colombia","Cauca",NA,"In silva primaeva ad La Costa",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3581853' target='other'> <mi>dwc_moreinfo</mi></a>","NY03270423",NA,"1636","03","19","South America","sheet",NA,"Magnoliophyta","Myrtales","800","800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","02540561","PreservedSpecimen","Plantae","Melastomataceae","Miconia","calvescens","Miconia calvescens","DC.","F. A. Michelangeli",NA,"F. A. Michelangeli","2012","Peru","Cusco","Paucartambo","Dto. Konispata. Carretera Paucartambo-Pillcopata. Cerca de Patria.","-71.41342","-12.94567",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=126197' target='other'> <mi>dwc_moreinfo</mi></a>","NY02540561","NY02540561_01","1925","06","15","South America","sheet",NA,"Magnoliophyta","Myrtales",NA,"650",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","3270486","PreservedSpecimen","Plantae","Melastomataceae","Miconia","calvescens","Miconia calvescens","DC.",NA,NA,"E. P. Killip","1929","Peru","Ayacucho",NA,"Estrella, between Huanta and Río Apurimac",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3582009' target='other'> <mi>dwc_moreinfo</mi></a>","NY03270486",NA,"22653","05","08","South America","sheet",NA,"Magnoliophyta","Myrtales","500","500",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","3677571","PreservedSpecimen","Plantae","Melastomataceae","Miconia","calvescens","Miconia calvescens","DC.","F. A. Michelangeli",NA,"R. Vásquez Martínez","2007","Peru","Pasco","Oxapampa","Distrito Villa Rica. Bosque de Protección San Matías-San Carlos, Sector Yulculmas. Bosque primario.","-75.5608333","-10.5608333",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3914987' target='other'> <mi>dwc_moreinfo</mi></a>","NY03677571","NY03677571_01","32509","06","27","South America","Sheet",NA,"Magnoliophyta","Myrtales","1006","1006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","3270417","PreservedSpecimen","Plantae","Melastomataceae","Miconia","calvescens","Miconia calvescens","DC.",NA,NA,"C. E. O. Kuntze","1892","Bolivia",NA,NA,"Yapacaui",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3581847' target='other'> <mi>dwc_moreinfo</mi></a>","NY03270417",NA,"s.n.","06","01","South America","sheet",NA,"Magnoliophyta","Myrtales","400","400",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","00916924","PreservedSpecimen","Plantae","Melastomataceae","Miconia","calvescens","Miconia calvescens","DC.","H. A. Gleason",NA,"Y. E. J. Mexia","1930","Brazil","Minas Gerais",NA,"Districto Ilheu. Fazenda da Tabunha.",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=988163' target='other'> <mi>dwc_moreinfo</mi></a>","NY00916924","NY00916924_01","4974","08","18","South America","sheet",NA,"Magnoliophyta","Myrtales","300","300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","3270385","PreservedSpecimen","Plantae","Melastomataceae","Miconia","calvescens","Miconia calvescens","DC.",NA,NA,"K. D. Janni","2004","Bolivia","La Paz","Nor Yungas","Community of Carmen Pampa",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3581815' target='other'> <mi>dwc_moreinfo</mi></a>","NY03270385",NA,"438","10","27","South America","sheet",NA,"Magnoliophyta","Myrtales","1800","1800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
