"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","class","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","barcode","geoFlag","identifiedBy","yearIdentified","monthIdentified","continentOcean","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","imagecode","dayIdentified","typeStatus","individualCount","preparationType"
"1","2019-11-19 15:43:25-03","UNEB","HUNEB","11758","PreservedSpecimen","Plantae","Angiospermae","Dicotyledoneae","Florideophycidae","Asteraceae","Richterago","petiolata","Richterago petiolata","Roque & Nakajima","Almeida, G.S.S.","213","2005","12","03","Brasil","Minas Gerais","Ouro Preto","Parque Estadual do Itacolomi: Trilha do Pico do Itacolomi.","-43.5080986022949","-20.2875003814697","44599","HUNEB0011758","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-02-14 14:09:53-03","UFBA","ALCB","120862","PreservedSpecimen","Plantae","Dicotyledon",NA,NA,"Asteraceae","Richterago","petiolata","Richterago petiolata","N.Roque & J.N.Nakaj","Roque, N; Alves, M; Campos, L; Barres, L","4688","2015","09","24","Brasil","Minas Gerais","São Thomé das Letras","Estrada com acesso a Sobradinho, entrada próximo a quadra. Serra do Cantagalo.","-44.947778","-21.721944",NA,"ALCB007960",NA,"Roque, N","2015","09","Southern America","-44.947778","-21.721944","1141","1141","a subarbusto ca. 1 m alt., folhas discolores. Brácteas involucrais verdes, corola alva.","ALCB007960",NA,NA,NA,NA
"3","2020-02-14 14:09:53-03","UFBA","ALCB","126746","PreservedSpecimen","Plantae","Dicotyledon",NA,NA,"Asteraceae","Richterago","petiolata","Richterago petiolata","N.Roque & J.N.Nakaj","Roque, N; Ribeiro, RN; Amaral, EA; Zoccoli, JP","4863","2016","12","10","Brasil","Goiás","Alto Paraíso de Goiás","Cauda da Baleia.","-47.6425","-14.116944",NA,"ALCB039360",NA,"Roque, N","2016","12","Southern America","-47.6425","-14.116944","1254","1254","ca. 40 cm alt., folhas concolores. Brácteas involucrais castanhas. Capítulos passados.; em afloramento rochoso.",NA,NA,NA,NA,NA
"4","2020-02-14 14:09:53-03","UFBA","ALCB","129528","PreservedSpecimen","Plantae","Dicotyledon",NA,NA,"Asteraceae","Richterago","petiolata","Richterago petiolata","N.Roque & J.N.Nakaj","Ferreira, PL; Barosela, JR; Ferreira, CG; Afonso, M; Groppo, M","75","2016","10","30","Brasil","Minas Gerais","São Roque de Minas","Parque Nacional da Serra da Canastra, subida pra a trilha da Casca D'anta.","-46.528333","-20.301389",NA,"ALCB047136",NA,"Roque, N","2017","01","Southern America","-46.528333","-20.301389","1061","1061","ca. de 40 cm. Folhas cariáceas, não discolores. Escapo branco com idumento alvo. Brácteas involucrais verdes com o ápice vináceo. Flores do raio e ramos do estilete branco. Flores do disco, anteras e estilete amarelos.; Cerrado, campo","ALCB047136",NA,NA,NA,NA
"5","2020-02-14 14:09:53-03","UFBA","ALCB","50447","PreservedSpecimen","Plantae","Dicotyledon",NA,NA,"Asteraceae","Richterago","petiolata","Richterago petiolata","N.Roque & J.N.Nakaj","Roque, N; Ribeiro, RN; Amaral, EA; Zoccoli, JP","4856","2016","12","09","Brasil","Goiás","Alto Paraiso de Goiás","Jardim Maytreia, em frente à Baleia.","-47.686389","-14.118889",NA,"ALCB039353",NA,"Roque, N","2016","12","Southern America","-47.686389","-14.118889","1190","1190","em solo areno-pedregoso. Botão com brácteas involucrais verdes ou capítulos passados.; População no afloramento rochoso.",NA,NA,NA,NA,NA
"6","2020-11-04 11:02:11-03","ESALQ","ESA","67261","PreservedSpecimen","Plantae","Magnoliophyta",NA,NA,"Asteraceae","Richterago","petiolata","Richterago petiolata","Roque","Souza, V.C. et al.","24721.0","2000","07","31","Brasil","Goiás","Teresina de Goiás",NA,"-47.2647018432617","-13.7763996124268","42211","ESA067261","auto","Roque, N.","2016","07",NA,NA,NA,NA,NA,NA,"ESA067261","06",NA,NA,NA
"7","2020-12-20 21:15:59-03","UFV","VIC","21862","PreservedSpecimen","Plantae",NA,NA,NA,"Asteraceae","Richterago","petiolata","Richterago petiolata","Roque & J.N. Nakaj.","Almeida, G.S.S.; et al.","213","2005","12","03","Brasil","Minas Gerais","Ouro Preto","Parque Estadual do Itacolomi, Trilha dos Calais","-43.5080986022949","-20.2875003814697","44599","VIC021862","auto","Almeida, G.S.S.","2006","01",NA,NA,NA,NA,NA,"Trilha do Pico do Itacolomi",NA,NA,NA,NA,NA
"8","2020-12-21 16:17:05-03","MBM","MBM","423428","PreservedSpecimen","Plantae",NA,NA,NA,"Asteraceae","Richterago","petiolata","Richterago petiolata","Roque & J.N. Nakaj.","Chacon, R.G.; Oliveira, J.A.S.; Mercadante, M.; Oliveira, J.A.S.; Mercadante, M.","1583","2017","09","27","Brazil","Goiás","Alto Paraíso de Goiás","Parque Nacional da Chapada dos Veadeiros, Estrada para Sete Quedas, na bifurcação à direita até o final da estrada","-47","-14.113056",NA,"MBM423428",NA,"Chacon, R.G.","2017","10","Southern America","-47","-14.113056",NA,NA,"Subarbusto, flor creme, brácteas verdes.; Campo rupestre, areia quartizoza.",NA,"10",NA,NA,NA
"9","2021-03-04 11:04:32-03","UFRB","HURB","19498","PreservedSpecimen","Plantae",NA,NA,NA,"Asteraceae","Richterago","petiolata","Richterago petiolata","Roque & J.N.Nakaj.","Roque, N.; Alves, M.; Campos,L. & Barres, L.","4688","2015","09","24","Brasil","Minas Gerais","São Tomé das Letras","Estrada com acesso a Sobradinho; Entrada próximo a quadra. Serra do Cantagalo","-44.947778","-21.721944",NA,"HURB000019498",NA,"N.Roque","2015","09",NA,"44º56'52W","21º43'19S","1141","1141","ALCB 120862.",NA,NA,NA,NA,NA
"10","2020-09-12 05:00:02-03","US","US","3491995","PreservedSpecimen","Plantae",NA,"Dicotyledonae","Asterales","Asteraceae","Richterago","petiolata","Richterago petiolata","Roque & J.N. Nakaj.","R. Romero, J. N. Nakajima, E. Zanini & D. Simao","s.n.","1995","11","18","Brazil","Minas Gerais",NA,"Guarita de Sacramento, Sao Roque de Minas",NA,NA,NA,"US01117572",NA,NA,NA,NA,"South America - Neotropics",NA,NA,NA,NA,NA,"US01117572_01",NA,"Isotype","1",NA
"11","2020-09-12 05:00:02-03","US","US","3332306","PreservedSpecimen","Plantae",NA,"Dicotyledonae","Asterales","Asteraceae","Richterago","petiolata","Richterago petiolata","Roque & J.N. Nakaj.","M. Fonseca & M. Pereira Neto","649","1995","9","28","Brazil","Goias",NA,"Parque Nacional Chapada dos Veadeiros. Mun. Alto Paraiso. Local do parque em frente a mata Funda","-47.72","-14.14",NA,"US01209186",NA,NA,NA,NA,"South America - Neotropics",NA,NA,"1126",NA,NA,"US01209186_01",NA,NA,"1",NA
"12","2020-09-12 05:00:02-03","US","US","3314791","PreservedSpecimen","Plantae",NA,"Dicotyledonae","Asterales","Asteraceae","Richterago","petiolata","Richterago petiolata","Roque & J.N. Nakaj.","M. A. Silva, D. Alvarenga, T. S. Filgueiras & F. C. A. Oliveira","2394","1994","11","24","Brazil","Goias",NA,"Chapada dos Veadeiros. 27 km Alto Paraizo/Colinas",NA,NA,NA,"US01209187",NA,NA,NA,NA,"South America - Neotropics",NA,NA,NA,NA,NA,"US01209187_01",NA,NA,"1",NA
"13","2020-09-12 05:00:02-03","US","US","3347677","PreservedSpecimen","Plantae",NA,"Dicotyledonae","Asterales","Asteraceae","Richterago","petiolata","Richterago petiolata","Roque & J.N. Nakaj.","M. A. Silva & A. J. V. dos Santos","3283","1996","11","14","Brazil","Goias",NA,"Parque Nacional da Chapada dos Veadeiros. 14 km de Alto Paraiso/Sao Jorge. Mulungu a 07km a direita da estrada de terra","-47.6433","-14.115",NA,"US01209188",NA,NA,NA,NA,"South America - Neotropics",NA,NA,"1240",NA,NA,"US01209188_01",NA,NA,"1",NA
