"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","individualCount","verbatimLongitude","verbatimLatitude","yearIdentified","relatedCatalogItem","monthIdentified","dayIdentified"
"1","2021-03-15 16:37:00-03","NY","NYBG","1085919","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Rutaceae","Neoraputia","micrantha","Neoraputia micrantha","Kallunki","J. A. Kallunki","isotype","J. G. Jardim","1027","1997","02","28","South America","Brazil","Bahia","Almadina","Bahia Rod. Almadina/Ibitupa, entrada a 7 km. Serra do Sete Paus. Ca. 12 km. da entrada, Fazenda Cruzeiro do Sul","-39.6961","-14.735","578","578","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1257804' target='other'> <mi>dwc_moreinfo</mi></a>","NY01085919","NY01085919_01",NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00924563","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Rutaceae","Neoraputia","micrantha","Neoraputia micrantha","Kallunki","J. A. Kallunki",NA,"P. Fiaschi","2732","2005","03","03","South America","Brazil","Bahia","Almadina","Serra do Sete-Paus. Rodovia de Almadina para Ibitupa, entrada à esquerda ca. 5 km. Fazenda Cruceiro do Sul, ca. 8 km da entrada do ramal","-39.6961111","-14.735",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1004299' target='other'> <mi>dwc_moreinfo</mi></a>","NY00924563","NY00924563_01",NA,NA,NA,NA,NA,NA,NA
"3","2009-12-09 09:40:00-02","MO","MOBOT","100233872","PreservedSpecimen","Plantae",NA,NA,"Rutaceae","Neoraputia","micrantha","Neoraputia micrantha","Kallunki","J. Kallunki","Holotype","Jomar G. Jardim","Jardim 1027","1997","2","28","South America","Brazil","Bahia","Almadina","Rod. Almadina/Ibitupã, entrada a 7 km Serra do Sete Paus. Ca. 12 km da entrada. Faz. Cruzeiro do Sul. Mata Higrófila Sul Baiana.","-39.6961111","-14.735","578.00000000",NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA
"4","2019-11-13 11:30:59-03","USP","SPF","154218","PreservedSpecimen","Plantae",NA,NA,"Rutaceae","Neoraputia","micrantha","Neoraputia micrantha","Kallunki","Pirani, JR","isotype","Jardim, JG","1027","1997","02","28",NA,"Brasil","Bahia","Almadina","Rod. Almadina/Ibitupã, entrada a 7km Serra do Sete Paus. Ca. 12km da entrada Faz. Cruzeiro do Sul. Mata higrófila sul baiana.","-39.696111","-14.735","578","578",NA,"Árvore nº205, ca. 10m altura. Folhas verdes pouco discolores. Flores cremes. Frutos passados. Planta do Inventário Fitossociológico da Bacia do Rio Almada.","SPF00154218","SPF00154218",NA,"-39.696111","-14.735",NA,NA,NA,NA
"5","2021-03-15 18:29:51-03","USP","SPF","168868","PreservedSpecimen","Plantae",NA,NA,"Rutaceae","Neoraputia","micrantha","Neoraputia micrantha","Kallunki","Kallunki, JA","paratype","Fiaschi, P","2732","2005","03","03",NA,"Brasil","Bahia","Almadina","Serra dos Sete Paus, Rodovia de Almadina para Ibitupã, entrada à esquerda ca. 5 km. Fazenda Cruzeiro do Sul, ca. 8 km da entrada do ramal.","-39.696111","-14.735",NA,NA,NA,"Árvore ca. 12 m alt. Flores com cálice verde-claro pálido, corola branco-esverdeada.; Floresta ombrófila antropizada.","SPF00168868",NA,NA,"-39.696111","-14.735","2008",NA,NA,NA
"6","2020-07-23 12:21:39-03","CEPLAC","CEPEC","104208","PreservedSpecimen","Plantae",NA,NA,"Rutaceae","Neoraputia","micrantha","Neoraputia micrantha",NA,"J. A. Kallunki","Paratipo","P. Fiaschi","2732","1970","11","03",NA,"Brasil","Bahia","ALMADINA","Serra dos Sete-Paus. Rod. de Alamdina/Ibitupã, estrada a esq. Ca. 5Km. Fazenda Cruzeiro do Sul, ca. 8Km da entrada do ramal.","-39.696111","-14.735",NA,NA,NA,NA,NA,NA,NA,"39W41'46","14S44'6",NA,"30/12/2008",NA,NA
"7","2020-07-23 12:21:39-03","CEPLAC","CEPEC","72519","PreservedSpecimen","Plantae",NA,NA,"Rutaceae","Neoraputia","micrantha","Neoraputia micrantha",NA,"J. A. Kallunki","Holótipo","J. G. Jardim","1027","1997","02","28",NA,"Brasil","Bahia","ALMADINA","Rod. Almadina/Ibitupã, entrada a 7Km Serra dos Sete Paus. Ca. 12Km da entrada. Faz. Cruzeido do Sul . Inventário Fitossociologico da Bacia do Rio Almada.","-39.696111","-14.735",NA,NA,NA,NA,NA,NA,NA,"39W41'46","14S44'6",NA,"30/12/1999",NA,NA
"8","2020-07-23 12:21:39-03","CEPLAC","CEPEC","93567","PreservedSpecimen","Plantae",NA,NA,"Rutaceae","Neoraputia","micrantha","Neoraputia micrantha",NA,"J. A. Kallunki","Paratipo","J. G. Jardim","1320","1998","01","21",NA,"Brasil","Bahia","ALMADINA","Rod. Almadina/Ibitupã, entrada a ca. 5Km ao W da sede do município. Faz. Cruzeiro do Sul. Serra dos Sete Paus, ca. 8Km da entrada. Inventário Florestal e Fitossociologico. # 74.","-39.696111","-14.735",NA,NA,NA,NA,NA,NA,NA,"39W41'46","14S44'6",NA,"30/12/2008",NA,NA
"9","2020-07-23 12:21:39-03","CEPLAC","CEPEC","95168","PreservedSpecimen","Plantae",NA,NA,"Rutaceae","Neoraputia","micrantha","Neoraputia micrantha",NA,"J. A. Kallunki","Paratipo","J. G. Jardim","1425","1998","01","21",NA,"Brasil","Bahia","ALMADINA","Rod. Almadina/Ibitupã, entrada a ca. 5Km ao W da sede do muncipio. Faz. Cruzeiro do Sul. Serra dos Sete Paus, ca. 8Km da entrada. Inventário Florestal e Fitossociologico. # 429.","-39.696111","-14.735",NA,NA,NA,NA,NA,NA,NA,"39W41'46","14S44'6",NA,"30/12/2008",NA,NA
"10","2014-09-23 10:59:36-03","G","G","G00441385","S","Plantae",NA,NA,"Rutaceae","Neoraputia","micrantha","Neoraputia micrantha","Kallunki","Kallunki, J. A.","ISOTYPUS of Neoraputia micrantha Kallunki","Jardim, J. G., P. B. Monteiro, A. de Castro & J. F. dos Santos","1027","1997","02","28","AMERIQUE DU SUD","Brazil","Bahia","Almadina",NA,"-39.64138889","-14.70861111","600","600",NA,"Coordinate uncertainty: Precision undefined Image URL: No picture available on the institution's web site","G00441385",NA,NA,"-39.64138889","-14.70861111","2009",NA,"01","01"
