"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","county","dayIdentified","coordinatePrecision","geoFlag","individualCount","verbatimLongitude","verbatimLatitude","class","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","803782","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Persea","glabra","Persea glabra","van der Werff","H. H. van der Werff","isotype","R. M. Harley","27205","1988","12","11","South America","Brazil","Bahia","Agua Quente. Pico das Almas. Vale ao N-O da Serra do Pau Queimado. Próxino da Casa Folheta. Beira do Riacho Folheto.","-42","-13.48","1250","1300","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=816390' target='other'> <mi>dwc_moreinfo</mi></a>","NY00803782","NY00803782_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-01 16:32:49-03","UNICAMP","UEC","40021","S","Plantae","Magnoliopsida",NA,"Lauraceae","Persea","glabra","Persea glabra","van der Werff","Moraes, PLR",NA,"Leitão Filho, HF; Martins, FR; Semir, J; Tamashiro, JY","17375","1985","06","04",NA,"Brazil","Minas Gerais","Estrada Guinda Conselheiro da Mata Km 176.",NA,NA,NA,NA,NA,"Arvoreta, 4m, frutos imaturos cor verde.","UEC045392","UEC045392","2012","12","Conselheiro da Mata",NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-01 16:32:49-03","UNICAMP","UEC","068564","S","Plantae","Magnoliopsida",NA,"Lauraceae","Persea","glabra","Persea glabra","van der Werff","Barbosa, TDM",NA,"Fróes, RL","20022","1943","03","15",NA,"Brazil","Pará","Instituto Agronômico do Norte, Entre Bom Gosto e Olivença, Baía. Recebido do Instituto Agranômico do Norte em 14-5-1948.","-48.5043983459473","-1.4558299779892",NA,NA,NA,"Árvore.","UEC045390","UEC045390","2007","05","Belém","10","48462","auto",NA,NA,NA,NA,NA
"4","2020-11-10 04:40:00-03","MO","MOBOT","100255299","PreservedSpecimen","Plantae",NA,NA,"Lauraceae","Persea","glabra","Persea glabra","van der Werff","P. Moraes & H. van der Werff",NA,"Pedro L. R. de Moraes|H. van der Werff","Moraes 2958","2009","8","28","South America","Brazil","Bahia","Pico do Itoibira.","-41.8114013671875","-13.5789003372192",NA,NA,NA,NA,NA,NA,NA,NA,"Rio de Contas",NA,"49773","auto","1",NA,NA,NA,NA
"5","2020-11-10 04:40:00-03","MO","MOBOT","100313365","PreservedSpecimen","Plantae",NA,NA,"Lauraceae","Persea","glabra","Persea glabra","van der Werff","P. Moraes",NA,"Pedro L. R. de Moraes","Moraes 2585","2009","3","15","South America","Brazil","Bahia","Trilha para o Pico do Itoibira.","-41.8894444","-13.3836111",NA,NA,NA,NA,NA,NA,NA,NA,"Rio de Contas",NA,NA,NA,"1",NA,NA,NA,NA
"6","2020-11-10 04:40:00-03","MO","MOBOT","100313367","PreservedSpecimen","Plantae",NA,NA,"Lauraceae","Persea","glabra","Persea glabra","van der Werff","P. Moraes",NA,"Pedro L. R. de Moraes","Moraes 2588","2009","3","15","South America","Brazil","Bahia","Trilha para o Pico do Itoibira.","-41.8888889","-13.3766667",NA,NA,NA,NA,NA,NA,NA,NA,"Rio de Contas",NA,NA,NA,"1",NA,NA,NA,NA
"7","2015-08-13 05:50:00-03","MO","MOBOT","1809903","PreservedSpecimen","Plantae",NA,NA,"Lauraceae","Persea","glabra","Persea glabra","van der Werff",NA,"Isotype","R.M. Harley|David J.N. Hind","Harley 27205","1988","12","11","South America","Brazil","Bahia","Agua Quente. Pico das Almas. Vale ao N-O da Serra do Pau Queimado. Próximo da Casa Folheta. Beira do Riacho Folheto. Capoeira na orla da mata. Solo arenoso.","-42","-13.48333","1250.00000000","1300.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-12 16:33:20-03","USP","SPF","68757","PreservedSpecimen","Plantae",NA,NA,"Lauraceae","Persea","glabra","Persea glabra","van der Werff","Werff, H van der","holotype","Harley, RM; Hind, DJN","27205","1988","12","11",NA,"Brasil","Bahia","Pico das Almas, Vale ao N-O da Serra do Pau Queimado. Próximo da Casa Folheta. Beira do Riacho Folheto. Capoeira da orla da mata. Solo arenoso.","-42","-13.483333","1250","1300",NA,"Arbusto de até 3 m. ou árvore de até 5 m., pouco ramificado. Caules jovens róseos, glaucos. Caules mais velhos morron-amarelado. Folhas verdes, mais claras na face inferior. Caules floricífelos frequentemente em verticilos. Cálice ve","SPF00068757","SPF00068757","1990",NA,"Água Quente",NA,NA,NA,NA,"-42","-13.483333",NA,NA
"9","2019-10-07 09:23:09-03","UEFS","HUEFS","116771","PreservedSpecimen","Plantae","Angiospermae","Laurales","Lauraceae","Persea","glabra","Persea glabra","van der Werff","H.L.Ribeiro",NA,"Santos, A.K.A.","926","2006","12","14",NA,"Brasil","Bahia","Pico do Itoibira.","-41.884722","-13.370833","1930","1930",NA,"Borda da mata base do Pico do Itoibira.","HUEFS0116771","HUEFS0116771","2016","10","Rio de Contas",NA,NA,NA,NA,"41W53'5''","13S22'15''","Magnolianae",NA
"10","2019-10-07 09:23:09-03","UEFS","HUEFS","148213","PreservedSpecimen","Plantae","Angiospermae","Laurales","Lauraceae","Persea","glabra","Persea glabra","van der Werff",NA,NA,"Moraes, P.L.R.de","2585","2009","03","15",NA,"Brasil","Bahia","Trilha para o Pico do Itoibira","-41.889444","-13.383611",NA,NA,NA,NA,"HUEFS0148213","HUEFS0148213 HUEFS0148213_01 HUEFS0148213_02",NA,NA,"Rio de Contas",NA,NA,NA,NA,"41W53'22''","13S23'1''","Magnolianae",NA
"11","2019-10-07 09:23:09-03","UEFS","HUEFS","148216","PreservedSpecimen","Plantae","Angiospermae","Laurales","Lauraceae","Persea","glabra","Persea glabra","van der Werff",NA,NA,"Moraes, P.L.R.de","2588","2009","03","15",NA,"Brasil","Bahia","Trilha para o Pico do Itoibira","-41.888889","-13.376667",NA,NA,NA,NA,"HUEFS0148216","HUEFS0148216 HUEFS0148216_01 HUEFS0148216_02",NA,NA,"Rio de Contas",NA,NA,NA,NA,"41W53'20''","13S22'36''","Magnolianae",NA
"12","2019-10-07 09:23:09-03","UEFS","HUEFS","201559","PreservedSpecimen","Plantae","Angiospermae","Laurales","Lauraceae","Persea","glabra","Persea glabra","van der Werff","H.L.Ribeiro",NA,"Nascimento, F.H.F.","1178","2012","08","10",NA,"Brasil","Bahia","Margem do Rio Camburu.","-41.883333","-13.366667","1350","1350",NA,NA,"HUEFS0201559","HUEFS0201559","2016","10","Rio de Contas",NA,NA,NA,NA,"41W53'","13S22'","Magnolianae",NA
"13","2019-10-07 09:23:09-03","UEFS","HUEFS","44165","PreservedSpecimen","Plantae","Angiospermae","Laurales","Lauraceae","Persea","glabra","Persea glabra","van der Werff","H.L.Ribeiro",NA,"Nascimento, F.H.F.","342","2000","01",NA,NA,"Brasil","Bahia","Mata da base do Pico do Itoibira.","-41.883333","-13.366667","1600","1600",NA,"Floresta Alto Montana.","HUEFS0044165","HUEFS0044165","2016","10","Rio de Contas",NA,NA,NA,NA,"41W53'","13S22'","Magnolianae",NA
"14","2019-10-07 09:23:09-03","UEFS","HUEFS","74264","PreservedSpecimen","Plantae","Angiospermae","Laurales","Lauraceae","Persea","glabra","Persea glabra","van der Werff",NA,NA,"Harley, R.M.","54536","2003","01","02",NA,"Brasil","Bahia","Kaiambola, na trilha para o Pico de Itobira. Em solo escuro, úmido, com pedras quartziticas.","-41.888889","-13.381944","1437","1437",NA,NA,"HUEFS0074264","HUEFS0074264",NA,NA,"Rio de Contas",NA,NA,NA,NA,"41W53'20''","13S22'55''","Magnolianae",NA
"15","2019-10-07 09:23:09-03","UEFS","HUEFS","152387","PreservedSpecimen","Plantae","Angiospermae","Laurales","Lauraceae","Persea","glabra","Persea glabra","van der Werff",NA,NA,"Moraes, P.L.R.de","2958","2009","08","28",NA,"Brasil","Bahia","Pico do Itoibira","-41.8114013671875","-13.5789003372192",NA,NA,NA,NA,"HUEFS0152387","HUEFS0152387",NA,NA,"Rio de Contas",NA,"49773","auto",NA,NA,NA,"Magnolianae",NA
"16","2020-01-27 18:25:03-03","IAC","IAC","9809","S","Plantae",NA,NA,"Lauraceae","Persea","glabra","Persea glabra","van der Werff","P.L.R. Moraes",NA,"R.L. Fróes","20022","1943","03","15",NA,"Brasil","Bahia","Entre Bom Gosto e Olivença",NA,NA,NA,NA,NA,"Nome popular: louro",NA,NA,"2019","03",NA,"15",NA,NA,NA,NA,NA,NA,NA
