"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","typeStatus","recordedBy","continentOcean","country","stateProvince","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","year","month","day","county","locality","minimumElevationInMeters","maximumElevationInMeters","recordNumber","phylum","scientificNameAuthorship","imagecode","decimalLongitude","decimalLatitude","identifiedBy","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","class","relatedCatalogItem","order","fieldNumber","individualCount"
"1","2020-09-23 10:41:40-03","E","E","11990","PreservedSpecimen","Plantae","Meteoriaceae","Zelometeorium","patens","Zelometeorium patens","isotype","Moritz, Johann Wilhelm Karl","W. Tropical South America","VE","Tovar","herbarium specimen of unspecif","BGBASE:17124","<a href=http://data.rbge.org.uk/herb/E00011990 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00011990",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:41:40-03","E","E","11989","PreservedSpecimen","Plantae","Meteoriaceae","Zelometeorium","patens","Zelometeorium patens","isotype","Humboldt, Friedrich W.H. & Bonpland, A.J.A.","E. Tropical South America","BR","New Granada","herbarium specimen of unspecif","BGBASE:17123","<a href=http://data.rbge.org.uk/herb/E00011989 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00011989","1904","12","27","Andes","Between Almaguer & Pasto.","1463","1829",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:41:40-03","E","E","11988","PreservedSpecimen","Plantae","Meteoriaceae","Zelometeorium","patens","Zelometeorium patens","isotype","Humboldt, Friedrich W.H. & Bonpland, A.J.A.","E. Tropical South America","BR","New Granada","herbarium specimen of unspecif","BGBASE:17122","<a href=http://data.rbge.org.uk/herb/E00011988 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00011988","1904","12","27","Andes","Between Almaguer & Pasto.","1463","1829",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-09-23 10:41:40-03","E","E","348790","PreservedSpecimen","Plantae","Meteoriaceae","Zelometeorium","patens","Zelometeorium patens","isotype","Humboldt, Friedrich W.H. & Bonpland, A.J.A.","E. Tropical South America","BR","New Granada","herbarium specimen of unspecif","BGBASE:444594","<a href=http://data.rbge.org.uk/herb/E00348790 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00348790",NA,NA,NA,"Andes","In convallibus Andium Gralnatensium inter Almaguer et Pasto.","1463","1829","19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","01273596","PreservedSpecimen","Plantae","Hypnaceae","Hypnum","patens","Hypnum patens","type","F. W. H. A. von Humboldt","South America","Colombia",NA,"packeted",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1512132' target='other'> <mi>dwc_moreinfo</mi></a>","NY01273596",NA,NA,NA,NA,"(New Granada)",NA,NA,"19","Bryophyta","Hook.","NY01273596_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","01273595","PreservedSpecimen","Plantae","Hypnaceae","Hypnum","patens","Hypnum patens","type","F. W. H. A. von Humboldt","South America","Colombia",NA,"packeted",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1512112' target='other'> <mi>dwc_moreinfo</mi></a>","NY01273595",NA,NA,NA,NA,"(New Granada)",NA,NA,"19","Bryophyta","Hook.","NY01273595_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","2244355","PreservedSpecimen","Plantae","Meteoriaceae","Zelometeorium","patens","Zelometeorium patens",NA,"D. M. Vital","South America","Brazil","São Paulo","packeted",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2409547' target='other'> <mi>dwc_moreinfo</mi></a>","NY02244355","1984","09","29","Iporanga","Serra Paranapiacaba, Caverna Santana.","200",NA,"12583","Bryophyta","(Hook.) Manuel",NA,"-48.7","-24.57",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","2244348","PreservedSpecimen","Plantae","Meteoriaceae","Zelometeorium","patens","Zelometeorium patens",NA,"S. P. Churchill","South America","Ecuador","Napo","packeted",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2409540' target='other'> <mi>dwc_moreinfo</mi></a>","NY02244348","1985","07","29",NA,"At Anangu, south shore of Rio Napo, ca. 75 km east of Puerto Francisco de Orellana (Coca).","245","325","13864","Bryophyta","(Hook.) Manuel",NA,"-76.38","0.53","W. C. Steere",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","2244367","PreservedSpecimen","Plantae","Meteoriaceae","Zelometeorium","patens","Zelometeorium patens",NA,"S. P. Churchill","South America","Colombia","Caquetá","packeted",NA,"[Coordinate Range: 2 30-33N. 75 00-74 30W.] <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2409559' target='other'> <mi>dwc_moreinfo</mi></a>","NY02244367","1990","11","25",NA,"Transecto Neiva-San Vicente del Caguan. Quebrada Chorreras, entre Guayabel a Los Andes.","1300",NA,"16887","Bryophyta","(Hook.) Manuel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","02704250","PreservedSpecimen","Plantae","Meteoriaceae","Zelometeorium","patens","Zelometeorium patens",NA,"M. A. Lewis","South America","Bolivia","Santa Cruz","packeted",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2991363' target='other'> <mi>dwc_moreinfo</mi></a>","NY02704250","1985","07","27","José Miguel de Velasco","along logging road that parallels the Ñuflo de Chavez-Velasco frontier about 30 km W of the Río Paragua. A featureless, unmapped area of gallet forest with some selective logging between San Martín and Hill Palestina. In general area of the Río Guarayos. Ca. 95 km N of Santa Rosa de la Roca.","350",NA,"85-994","Bryophyta","(Hook.) Manuel",NA,"-63.5","-15.17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
