"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","typeStatus","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","class","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","fieldNumber","individualCount","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","1015565","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Dryopteridaceae","Polybotrya","rosenstockiana","Polybotrya rosenstockiana","Brade","R. Engelmann","R. Engelmann","RE6","2004","10","29","South America","Brazil","Rio de Janeiro","Teresópolis","Parque Nacional da Serra dos Orgãos. Plot 1.","-42.9881","-22.4517","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1107982' target='other'> <mi>dwc_moreinfo</mi></a>","NY01015565","NY01015565_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","1842934","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Dryopteridaceae","Polybotrya","rosenstockiana","Polybotrya rosenstockiana","Brade",NA,"A. C. Brade","16579","1940","07","15","South America","Brazil","Rio de Janeiro",NA,"Serra dos Orgãos, Corrego Beija-flor",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2080732' target='other'> <mi>dwc_moreinfo</mi></a>","NY01842934","NY01842934_01","isotype","1300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","808436","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Dryopteridaceae","Polybotrya","speciosa","Polybotrya speciosa","Schott","B. K. Canestraro","F. C. Hoehne","28765",NA,NA,NA,"South America","Brazil","São Paulo",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=801778' target='other'> <mi>dwc_moreinfo</mi></a>","NY00808436","NY00808436_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2017-05-17 10:21:00-03","NY","NYBG","02687375","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Dryopteridaceae","Polybotrya","speciosa","Polybotrya speciosa",NA,NA,"R. Engelmann","RE1320","2010","11","01","South America","Brazil","Rio de Janeiro","Teresópolis","Trilha do Rancho Frio. Parque Nacional da Serra dos Órgãos","-43.008889","-22.460833","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2964569' target='other'> <mi>dwc_moreinfo</mi></a>","NY02687375","NY02687375_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","02478998","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Dryopteridaceae","Polybotrya","speciosa","Polybotrya speciosa","Schott",NA,"B. K. Canestraro","457","2012","10","06","South America","Brazil","Rio de Janeiro","Teresópolis","Trilha suspensa. Próximo ao córrego Beija-flor. Parque Nacional da Serra dos Órgãos.","-42.9858","-22.4606","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2692165' target='other'> <mi>dwc_moreinfo</mi></a>","NY02478998","NY02478998_01",NA,"1192",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","2422651","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Dryopteridaceae","Polybotrya","speciosa","Polybotrya speciosa","Schott",NA,"J. Prado","2016","2008","12","10","South America","Brazil","São Paulo",NA,"Estação Biológica de Boracéia, margem do Rio Guaratuba","-45.88","-23.67","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2669839' target='other'> <mi>dwc_moreinfo</mi></a>","NY02422651","NY02422651_01",NA,"850",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","884613","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Dryopteridaceae","Polybotrya","speciosa","Polybotrya speciosa","Schott","B. K. Canestraro","F. C. Hoehne","s.n.","1932","01","28","South America","Brazil","São Paulo","São Paulo","Nativa no Parque do Estado e Jardim Botânico.","-46.621883","-23.654505","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=962086' target='other'> <mi>dwc_moreinfo</mi></a>","NY00884613","NY00884613_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","808425","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Dryopteridaceae","Polybotrya","speciosa","Polybotrya speciosa","Schott","R. C. Moran","F. C. Hoehne","28765","1936","01","28","South America","Brazil","São Paulo",NA,"Parque do Estado","-46.621883","-23.654505","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=801449' target='other'> <mi>dwc_moreinfo</mi></a>","NY00808425","NY00808425_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","02478999","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Dryopteridaceae","Polybotrya","speciosa","Polybotrya speciosa","Schott",NA,"B. K. Canestraro","457","2012","10","06","South America","Brazil","Rio de Janeiro","Teresópolis","Trilha suspensa. Próximo ao córrego Beija-flor. Parque Nacional da Serra dos Órgãos.","-42.9858","-22.4606","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2692169' target='other'> <mi>dwc_moreinfo</mi></a>","NY02478999","NY02478999_01",NA,"1192",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","2240845","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Dryopteridaceae","Polybotrya","speciosa","Polybotrya speciosa","Schott",NA,"J. Prado","2016","2008","12","10","South America","Brazil","São Paulo",NA,"Estação Biológica de Boracéia, margem do Rio Guaratuba","-45.88","-23.67","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2669733' target='other'> <mi>dwc_moreinfo</mi></a>","NY02240845","NY02240845_01",NA,"850",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","02697505","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Dryopteridaceae","Polybotrya","speciosa","Polybotrya speciosa","Schott",NA,"C. Mynssen","1362","2012","09","19","South America","Brazil","Rio de Janeiro","Rio de Janeiro","Sumaré. Parque Nacional da Tijuca","-43.234722","-22.9525","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2978135' target='other'> <mi>dwc_moreinfo</mi></a>","NY02697505","NY02697505_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","808421","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Dryopteridaceae","Polybotrya","speciosa","Polybotrya speciosa","Schott","R. C. Moran","L. Riedel","s.n.",NA,NA,NA,"South America","Brazil",NA,NA,"Brasilia",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=801439' target='other'> <mi>dwc_moreinfo</mi></a>","NY00808421","NY00808421_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","02479011","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Dryopteridaceae","Polybotrya","speciosa","Polybotrya speciosa","Schott",NA,"B. K. Canestraro","454","2012","10","06","South America","Brazil","Rio de Janeiro","Teresópolis","Trilha suspensa, Parque Nacional da Serra dos Órgãos.","-42.8692","-22.4556","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2692208' target='other'> <mi>dwc_moreinfo</mi></a>","NY02479011","NY02479011_01",NA,"1160",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","808420","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Dryopteridaceae","Polybotrya","speciosa","Polybotrya speciosa","Schott","R. C. Moran","A. C. Brade","9843","1929","10","30","South America","Brazil","Rio de Janeiro",NA,"Therexopolis: Serra Cavallo",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=801429' target='other'> <mi>dwc_moreinfo</mi></a>","NY00808420","NY00808420_01",NA,"1000","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
