"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","coordinatePrecision","geoFlag","typeStatus","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","class","individualCount","fieldNumber","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","00933434","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Mimosa","laticifera","Mimosa laticifera","Rizzini & A.Mattos","R. C. Barneby","H. S. Irwin","26298","1970","02","07","South America","Brazil","Minas Gerais","Paracatú","Serra da Anta, summit of chapada, ca. 4 km N.W. of Paracatú","-46.8727778","-17.22555","700","700","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1009465' target='other'> <mi>dwc_moreinfo</mi></a>","NY00933434","NY00933434_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00933412","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Mimosa","laticifera","Mimosa laticifera","Rizzini & A.Mattos","R. C. Barneby","M. L. Fonseca","295","1995","06","06","South America","Brazil","Goiás","Vila Propício","Chapada dos Veadeiros - Estrada de Chao, ca. 30 Km de Goianesia para Vila Propicio. Parcelas 3 e 4.","-48.9083","-15.415",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1009473' target='other'> <mi>dwc_moreinfo</mi></a>","NY00933412","NY00933412_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00933410","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Mimosa","laticifera","Mimosa laticifera","Rizzini & A.Mattos","A. P. Duarte","A. P. Duarte","7397","1963","05","01","South America","Brazil","Minas Gerais",NA,"Margem do rio Jequitaí, Varzea da Palma, até próximo de Burity Grande",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1009451' target='other'> <mi>dwc_moreinfo</mi></a>","NY00933410","NY00933410_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00933411","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Mimosa","laticifera","Mimosa laticifera","Rizzini & A.Mattos","R. C. Barneby","G. G. Hatschbach","44744","1982","03","16","South America","Brazil","Minas Gerais",NA,"Rod. BR-040; 20 km O de Joao Pinheiro",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1009471' target='other'> <mi>dwc_moreinfo</mi></a>","NY00933411","NY00933411_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00933432","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Mimosa","laticifera","Mimosa laticifera","Rizzini & A.Mattos","R. C. Barneby","D. R. Hunt","5860","1966","06","07","South America","Brazil","Mato Grosso","Nova Xavantina","Barra do Garças- Xavantina road, 10 km south of Xavantina","-52.3531","-14.6733","600","1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1009440' target='other'> <mi>dwc_moreinfo</mi></a>","NY00933432","NY00933432_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00933430","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Mimosa","laticifera","Mimosa laticifera","Rizzini & A.Mattos","R. C. Barneby","P. W. Richards","6409","1968","07","14","South America","Brazil","Mato Grosso",NA,"Plot 4, P/C transect, Xavantina","-52.23","-14.63",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1009435' target='other'> <mi>dwc_moreinfo</mi></a>","NY00933430","NY00933430_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","00933426","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Mimosa","laticifera","Mimosa laticifera","Rizzini & A.Mattos","R. C. Barneby","G. G. Hatschbach","32023","1973","05","17","South America","Brazil","Mato Grosso","Jaciara","Rod. Campo Grande- Cuiaba (mun. Juciara)","-54.9681","-15.9656",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1009423' target='other'> <mi>dwc_moreinfo</mi></a>","NY00933426","NY00933426_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","00933428","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Mimosa","laticifera","Mimosa laticifera","Rizzini & A.Mattos","G. G. Hatschbach","G. G. Hatschbach","29426","1972","04","12","South America","Brazil","Mato Grosso do Sul","Nova Andradina","Douradinho","-53.3431","-22.2333",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1009425' target='other'> <mi>dwc_moreinfo</mi></a>","NY00933428","NY00933428_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","00933415","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Mimosa","laticifera","Mimosa laticifera","Rizzini & A.Mattos","R. C. Barneby","T. B. Cavalcanti","2012","1996","07","11","South America","Brazil","Goiás","Santa Cruz de Goiás","Estrada de acesso ao corrego Brumadinho; atraves da Fazenda Santa Barbara. Area de influencia","-48.5","-17.33","450","450","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1009492' target='other'> <mi>dwc_moreinfo</mi></a>","NY00933415","NY00933415_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","00933404","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Mimosa","laticifera","Mimosa laticifera","Rizzini & A.Mattos","R. C. Barneby","J. A. Ratter","R825","1968","04","03","South America","Brazil","Mato Grosso",NA,"7 km SW of Xavantina","-52.33","-14.73","500","500","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1009426' target='other'> <mi>dwc_moreinfo</mi></a>","NY00933404","NY00933404_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","00933414","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Mimosa","laticifera","Mimosa laticifera","Rizzini & A.Mattos","R. C. Barneby","E. P. Heringer","6269","1981","02","18","South America","Brazil","Distrito Federal","Brasília","Bacia do Rio São Bartolomeu.","-47.9294","-15.7797",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1009488' target='other'> <mi>dwc_moreinfo</mi></a>","NY00933414","NY00933414_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","00933427","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Mimosa","laticifera","Mimosa laticifera","Rizzini & A.Mattos","R. C. Barneby","G. G. Hatschbach","66543","1997","08","08","South America","Brazil","Mato Grosso do Sul","Nova Andradina","Rod. BR-267, 6 km S de Casa Verde","-53.3431","-22.2333",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1009424' target='other'> <mi>dwc_moreinfo</mi></a>","NY00933427","NY00933427_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","00933437","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Mimosa","laticifera","Mimosa laticifera","Rizzini & A.Mattos","R. C. Barneby","G. M. Magalhaes","19010","1963","05","28","South America","Brazil","Minas Gerais","Santa Vitória","8 km N da cidade. Isolada entre di. B. Hidrog. Paranaiba","-50.1214","-18.8386",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1009482' target='other'> <mi>dwc_moreinfo</mi></a>","NY00933437","NY00933437_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","00933436","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Mimosa","laticifera","Mimosa laticifera","Rizzini & A.Mattos","R. C. Barneby","G. M. Magalhaes","19010","1963","05","28","South America","Brazil","Minas Gerais","Santa Vitória","8 km N da cidade. Isolada entre di. B. Hidrog. Paranaiba","-50.1214","-18.8386",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1009478' target='other'> <mi>dwc_moreinfo</mi></a>","NY00933436","NY00933436_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","00933438","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Mimosa","laticifera","Mimosa laticifera","Rizzini & A.Mattos","R. C. Barneby","A. Macedo","437","1945","03","12","South America","Brazil","Minas Gerais","Ituiutaba",NA,"-49.465","-18.9692",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1009483' target='other'> <mi>dwc_moreinfo</mi></a>","NY00933438","NY00933438_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","00933406","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Mimosa","laticifera","Mimosa laticifera","Rizzini & A.Mattos","R. C. Barneby","J. A. Ratter","R105","1967","07","12","South America","Brazil","Mato Grosso",NA,"c 6 km SW of Xavantina","-52.33","-14.73",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1009431' target='other'> <mi>dwc_moreinfo</mi></a>","NY00933406","NY00933406_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","00933409","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Mimosa","laticifera","Mimosa laticifera","Rizzini & A.Mattos","R. C. Barneby","G. G. Hatschbach","56505","1992","04","03","South America","Brazil","Minas Gerais","Jequitaí","Rod. BR-365, próximo do trevo para Jequitaí","-44.4456","-17.2358",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1009456' target='other'> <mi>dwc_moreinfo</mi></a>","NY00933409","NY00933409_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","00933407","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Mimosa","laticifera","Mimosa laticifera","Rizzini & A.Mattos","R. C. Barneby","H. S. Irwin","16832","1966","06","09","South America","Brazil","Mato Grosso",NA,"Ca. 20 km. S. of Xavantina. Drainage of the Upper Rio Araguaia.","-52.32","-14.82","400","400","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1009438' target='other'> <mi>dwc_moreinfo</mi></a>","NY00933407","NY00933407_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-03-15 16:37:00-03","NY","NYBG","00933431","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Mimosa","laticifera","Mimosa laticifera","Rizzini & A.Mattos","R. C. Barneby","D. Philcox","4652","1968","04","01","South America","Brazil","Mato Grosso","Barra do Garças","10 km W. of km 90, Xavantina-Aragarças road. Vale dos Sonhos","-52.23","-14.63",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1009437' target='other'> <mi>dwc_moreinfo</mi></a>","NY00933431","NY00933431_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
