"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","coordinatePrecision","geoFlag","monthIdentified","verbatimLongitude","verbatimLatitude","class","relatedCatalogItem","infraspecificEpithet","typeStatus","dayIdentified","fieldNumber","individualCount","relationshipType","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","1014113","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Convolvulaceae","Ipomoea","subrevoluta","Ipomoea subrevoluta","Choisy","J. I. de A. Falcao","G. G. Hatschbach","23761","1970","02","17","South America","Brazil","Mato Grosso do Sul","Aquidauana","Serra de Maracaju.","-55.7869","-20.4711","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1107815' target='other'> <mi>dwc_moreinfo</mi></a>","NY01014113","NY01014113_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","1014112","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Convolvulaceae","Ipomoea","subrevoluta","Ipomoea subrevoluta","Choisy","D. F. Austin","M. Macedo","697","1978","05","06","South America","Brazil","Mato Grosso","Poconé","Transpantaneira Highway, near Rio Pixaim on left side.","-56.6067","-16.2567","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1107814' target='other'> <mi>dwc_moreinfo</mi></a>","NY01014112","NY01014112_01 NY01014112_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","01922772","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Convolvulaceae","Ipomoea","subrevoluta","Ipomoea subrevoluta","Choisy",NA,"J. M. Pires","48887","1960","10","18","South America","Brazil","Amapá",NA,"Rio Urucaua.","-51.433","3.533","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2156970' target='other'> <mi>dwc_moreinfo</mi></a>","NY01922772","NY01922772_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2016-09-27 04:18:00-03","NY","NYBG","494106","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Convolvulaceae","Ipomoea","subrevoluta","Ipomoea subrevoluta",NA,"M. Colella","R. Goodland","1064","1963","10","23","South America","Guyana",NA,NA,"Rupununi. Moreru Lake",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=127522' target='other'> <mi>dwc_moreinfo</mi></a>","NY00494106",NA,"106.7","106.7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","486490","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Convolvulaceae","Ipomoea","subrevoluta","Ipomoea subrevoluta","Choisy","D. F. Austin","J. C. Lindeman","4391","1967","01","23","South America","Brazil","Paraná","Altônia","Vicinity of Pôrto Byington. Forest on bank of Rio Paraná","-53.9017","-23.8744","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=127523' target='other'> <mi>dwc_moreinfo</mi></a>","NY00486490","NY00486490_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","01090747","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Convolvulaceae","Ipomoea","subrevoluta","Ipomoea subrevoluta","Choisy","J. R. I. Wood","G. T. Prance","26063","1979","06","07","South America","Brazil","Mato Grosso",NA,"Fazenda Acurizal, Rio Paraguai","-57.53","-17.87","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1225221' target='other'> <mi>dwc_moreinfo</mi></a>","NY01090747","NY01090747_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2016-09-27 16:45:00-03","NY","NYBG","494107","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Convolvulaceae","Ipomoea","subrevoluta","Ipomoea subrevoluta",NA,"D. F. Austin","R. Romero-Castañeda","6334","1957","07","01","South America","Colombia","Chocó",NA,"Río Cacarica, en sus orillas",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=127524' target='other'> <mi>dwc_moreinfo</mi></a>","NY00494107",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","494105","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Convolvulaceae","Ipomoea","subrevoluta","Ipomoea subrevoluta","Choisy","D. F. Austin","K. Finlay","2947","1865","12","23","South America","Trinidad and Tobago",NA,NA,"Trinidad. Oropuche Lagoon",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=127525' target='other'> <mi>dwc_moreinfo</mi></a>","NY00494105",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","494104","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Convolvulaceae","Ipomoea","subrevoluta","Ipomoea subrevoluta","Choisy","M. H. Nee","T. J. Killeen","2403","1987","03","23","South America","Bolivia","Santa Cruz","Ñuflo de Chávez","Est. Viera, 2 km S of Concepcion","-62.08","-16.13","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=127521' target='other'> <mi>dwc_moreinfo</mi></a>","NY00494104",NA,"480","480",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-11-13 09:19:23-03","UFRJ","RFA","9532","PreservedSpecimen","Plantae",NA,NA,"Convolvulaceae","Ipomoea","subrevoluta","Ipomoea subrevoluta","Choisy","J.I. Falcão","G.G. Hatschbach","23761","1970","02","17",NA,"Brasil","Mato Grosso do Sul","Aquidauana","Serra de Maracaju","-55.7872009277344","-20.4710998535156",NA,"Volúvel, flor lilás","RFA28109",NA,NA,NA,"1970","212961","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-30 12:37:33-03","EAO","IAN","64276","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Convolvulaceae","Ipomoea","subrevoluta","Ipomoea subrevoluta","Choisy","Austin, DF","Fróes, RL; Black, GA","27258","1951","07","05","Southern America","Brasil","Amapá",NA,"Rio Maccacoarí.","-52.916667","-0.916667",NA,NA,"IAN064276","IAN064276 IAN064276_e",NA,NA,"1980",NA,NA,"12","-52.916667","-0.916667",NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-30 12:37:33-03","EAO","IAN","75638","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Convolvulaceae","Ipomoea","subrevoluta","Ipomoea subrevoluta","Choisy","Austin, DF","Black, GA; Cordeiro, E","14927","1952","06","12","Southern America","Brasil",NA,NA,"Rio Guaporé, Furo do Curijau.",NA,NA,NA,NA,"IAN075638",NA,NA,NA,"1980",NA,NA,"12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-30 12:37:33-03","EAO","IAN","77317","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Convolvulaceae","Ipomoea","subrevoluta","Ipomoea subrevoluta","Choisy","Austin, DF","Black, GA","15421","1952","07","05","Southern America","Brasil",NA,NA,"Cacaual Grande, baixio entre os canais Fernando Costa e Vicente Chermont de Miranda.",NA,NA,NA,NA,"IAN077317",NA,NA,NA,"1980",NA,NA,"12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-30 12:37:33-03","EAO","IAN","77412","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Convolvulaceae","Ipomoea","subrevoluta","Ipomoea subrevoluta","Choisy","Austin, DF","Black, GA","15611","1952","07","10","Southern America","Brasil",NA,NA,"Cacaual Grande; Canal Maroja Neto.",NA,NA,NA,NA,"IAN077412",NA,NA,NA,"1980",NA,NA,"12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-30 12:37:33-03","EAO","IAN","167505","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Convolvulaceae","Ipomoea","subrevoluta","Ipomoea subrevoluta","Choisy",NA,"Souza, HJR","24","1998","03","07","Southern America","Brasil","Pará","Altamira","Sítio do Sr. Raimundo, furo do Terra (Alto Xingu).","-52.2064018249512","-3.20333003997803",NA,"Arbusto; flores lilás, com pequenos botões, inflorescência tipo rácemo.","IAN167505",NA,NA,NA,NA,"748499","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
