"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","fieldNumber","individualCount","phylum","order","class"
"1","2019-05-02 10:53:34-03","IBt","SP-BRYOPHYTA","134096","S","Plantae","Geocalycaceae","Leptoscyphus","gibbosus","Leptoscyphus gibbosus","(Taylor) Mitt.","Peralta, D.F.","2009","11","Vital, D.M.","9821","1981","05","21","Southern America","BRASIL","São Paulo","Cananéia","Ilha do Cardoso","-47.939722","-25.016389","-47.939722","-25.016389","20","20","associado a Lepidolejeunea bidentula (Steph.) Schust. On a bent tree trunk, in a well illuminated low forest, restinga","SP070797",NA,NA,NA,NA,NA
"2","2008-05-27 22:02:00-03","MO","MOBOT","90212370","PreservedSpecimen","Plantae","Lophocoleaceae","Leptoscyphus","gibbosus","Leptoscyphus gibbosus","(Taylor) Mitt.","S. Churchill",NA,NA,"S. P. Churchill","Churchill 24403","2005","12","5","South America","Ecuador","Zamora-Chinchipe",NA,"Región de la Cordillera del Cóndor. Cuenca del Río Wawaime, área propuesta para la mina de cobre (EcuaCorriente), 9.4 km SO de Tundayme. Bosque premontano, arbustos de lado. <24395-24411>","-78.435","-3.57861",NA,NA,"1340.00000000",NA,NA,NA,"05-38",NA,NA,NA,NA
"3","2018-10-25 14:00:00-03","MO","MOBOT","101077720","PreservedSpecimen","Plantae","Lophocoleaceae","Leptoscyphus","gibbosus","Leptoscyphus gibbosus","(Taylor) Mitt.",NA,NA,NA,"Laura V. Campos","Campos Salazar 363","2005","10","22","South America","Colombia","Tolima","Roncesvalles","Vereda La Yerbabuena, cerca a la laguna Las Garzas.","-75.7333333","4.0666667",NA,NA,"3500.00000000",NA,NA,NA,NA,"1",NA,NA,NA
"4","2017-03-10 15:23:00-03","MO","MOBOT","100958624","PreservedSpecimen","Plantae","Lophocoleaceae","Leptoscyphus","gibbosus","Leptoscyphus gibbosus","(Taylor) Mitt.","M. Fulford",NA,NA,"Julian A. Steyermark|G.C.K. Dunsterville|E. Dunsterville","Steyermark 92453","1964","1","1","South America","Venezuela","Bolívar",NA,"Cerro Venamo (parte suroeste). Cerca de los Límites con la Guayana Inglesa. Bosque muscoso enano montañoso sobre la fila arriba de la ladera escarpada de arenisca.","-61.4","5.95",NA,NA,"1400.00000000","1450.00000000",NA,NA,NA,"1",NA,NA,NA
"5","2017-05-04 17:21:00-03","MO","MOBOT","100969810","PreservedSpecimen","Plantae","Lophocoleaceae","Leptoscyphus","gibbosus","Leptoscyphus gibbosus","(Taylor) Mitt.","A. Schäfer-Verwimp",NA,NA,"Alfons Schäfer-Verwimp|et al.","Schäfer-Verwimp 24296","2004","8","15","South America","Ecuador","Napo",NA,"Papallacta-Pass zwischen Quito und Baeza, Res. Ecologica Cayambe-Coca, Paramo de La Virgen.","-78.15","-0.3666667",NA,NA,"3980.00000000",NA,NA,NA,NA,"1",NA,NA,NA
"6","2019-11-24 04:36:00-03","MO","MOBOT","101077711","PreservedSpecimen","Plantae","Lophocoleaceae","Leptoscyphus","gibbosus","Leptoscyphus gibbosus","(Taylor) Mitt.",NA,NA,NA,"Jaime Uribe-M.|Jaime Aguirre","Uribe-Meléndez 338","1989","6","10","South America","Colombia","Risaralda",NA,"Parque Natural Regional Ucumarí, camino a Los Chorros.","-75.4833333","4.7",NA,NA,"2500.00000000",NA,NA,NA,NA,"1",NA,NA,NA
"7","2018-10-25 13:52:00-03","MO","MOBOT","101077713","PreservedSpecimen","Plantae","Lophocoleaceae","Leptoscyphus","gibbosus","Leptoscyphus gibbosus","(Taylor) Mitt.",NA,NA,NA,"S.R. Gradstein","Gradstein 8418","1992","7","25","South America","Colombia","Risaralda",NA,"West side of Cordillera Occidental, trail Jeguadas - Puerto de Oro, west of Mistrato.","-75.9166667","5.3",NA,NA,"1500.00000000",NA,NA,NA,NA,"1",NA,NA,NA
"8","2018-04-10 15:37:00-03","MO","MOBOT","780395","PreservedSpecimen","Plantae","Lophocoleaceae","Leptoscyphus","gibbosus","Leptoscyphus gibbosus","(Taylor) Mitt.","John J. Atwood",NA,NA,"Ronald L. Liesner|Julian A. Steyermark|Bruce K. Holst","Liesner 21146","1986","5","27","South America","Venezuela","Bolívar",NA,"Piar. Amaruay-Tepui. Summit, center of western side. Small savanna surrounded by dwarf forest. Alt. 1030 m. 5º55'N, 62º15'W.","-62.25","5.9166667",NA,NA,"1030.00000000",NA,NA,NA,"86-38","1",NA,NA,NA
"9","2009-09-21 20:24:00-03","MO","MOBOT","90103428","PreservedSpecimen","Plantae","Lophocoleaceae","Leptoscyphus","gibbosus","Leptoscyphus gibbosus","(Taylor) Mitt.","J. Vana",NA,NA,"B. Løjtnant|Ulf Molau","Løjtnant 11140","1979","3","18","South America","Ecuador","Napo",NA,"North-facing slopes of Laguna Parcacocha.","-78.15","-0.26666",NA,NA,"4000.00000000","4100.00000000",NA,NA,NA,NA,NA,NA,NA
"10","2021-03-01 11:56:36-03","UFPE","UFP","84661d","PreservedSpecimen","Plantae","Geocalycaceae","Leptoscyphus","gibbosus","Leptoscyphus gibbosus","(Taylor) Mitt.","Reis, LC","2016","10","Reis, LC","TM09","2014","09","18",NA,"Brasil","Bahia","Una",NA,"-39.053611","-15.166389","-39.053611","-15.166389","30","80","Coletada sobre tronco em decomposição","UFP84661d",NA,NA,"Marchantiophyta","Jungermanniales",NA
