"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","typeStatus","identifiedBy","class","yearIdentified","monthIdentified","coordinatePrecision","geoFlag","dayIdentified","verbatimLongitude","verbatimLatitude","fieldNumber","maximumElevationInMeters","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","02554210","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Pteridaceae","Ormopteris","cymbiformis","Ormopteris cymbiformis","(J.Prado) T. Barbará","J. Prado","1404","2002","01","06","South America","Brazil","Minas Gerais","Gouveia","BR 259 Gouveia-Curvelo, afloramento rochoso no lado direito da estrada indo para Curvelo, lado oposto à entrada para o Morro do Camelinho.","-43.8753","-18.7303","1199","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2811252' target='other'> <mi>dwc_moreinfo</mi></a>","NY02554210","NY02554210_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","02554209","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Pteridaceae","Ormopteris","cymbiformis","Ormopteris cymbiformis","(J.Prado) T. Barbará","J. Prado","1410","2002","01","08","South America","Brazil","Minas Gerais","Gouveia","BR 259 Gouveia-Presidente Juscelino, Fazenda Contagem (antiga faz. do sr. Everaldo) afloramento rochoso no lado direito da estrada indo para P. Juscelino.","-43.8861","-18.58","1212","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2811251' target='other'> <mi>dwc_moreinfo</mi></a>","NY02554209","NY02554209_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","73927","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Pteridaceae","Pellaea","cymbiformis","Pellaea cymbiformis","E.J.Prado","A. Furlan","CFCR3271","1982","04","02","South America","Brazil","Minas Gerais",NA,"Gouveia: km. 66 da estrada Curvelo-Diamantina. Estrada para o Morro do Camilinho, a 9 km. do asfalto. Serra do Brejo Grande","-43.917","-9.3",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=552683' target='other'> <mi>dwc_moreinfo</mi></a>","NY00073927","NY00073927_01","isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-11-04 11:21:18-03","ESALQ","ESA","112743","PreservedSpecimen","Plantae","Pteridophyta",NA,"Pteridaceae","Ormopteris","cymbiformis","Ormopteris cymbiformis","(J.Prado) Barbará","Romão, G.O.","2420.0","2009","11","28",NA,"Brasil","Minas Gerais","Santana do Pirapama",NA,NA,NA,NA,NA,NA,"ESA112743",NA,NA,"Della, A.P.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-12-21 16:37:35-03","IAP","PACA-AGP","91004","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Pteridaceae","Pellaea","cymbiformis","Pellaea cymbiformis","Prado","Furlan, A.",NA,"1982","04","09",NA,"Brasil","MG","Gouveia","Serra do Brejo Grande.","-43.7407989501953","-18.4543991088867",NA,NA,"HASU 15126 Habitat: Entre pedras e pedregulhos; expostos ao sol.","PACA091004",NA,NA,"A. Salino","Filicopsida","2006","04","37970","auto",NA,NA,NA,NA,NA,NA
"6","2019-11-21 14:54:29-03","UFJF","CESJ","26908","PreservedSpecimen","Plantae","Polypodiopsida",NA,"Pteridaceae","Ormopteris","cymbiformis","Ormopteris cymbiformis","(J. Prado) T. Barbará","R.F. Novelino","639","1989","03","12","América do Sul","Brasil","Minas Gerais","Santana do Riacho","Serra do Cipó","-43.7144012451172","-19.1688995361328",NA,NA,"Local das voçorocas.","CESJ026908",NA,NA,"V.A.O. Dittrich",NA,"2019","02","26557","auto",NA,NA,NA,NA,NA,NA
"7","2020-03-12 10:29:33-03","UFOP","OUPR","33612","PreservedSpecimen","Plantae",NA,NA,"Pteridaceae","Ormopteris","cymbiformis","Ormopteris cymbiformis","(J.Prado) T.Barbará","Pedrosa, L.G.","1469","2019","03","23",NA,"Brasil","Minas Gerais","Ouro Preto","Arredores de Santo Antônio do Leite.","-43.5080986022949","-20.2875003814697",NA,NA,"Erva, 15cm. Fértil. Cerrado.",NA,NA,NA,"Pedrosa, L.G.",NA,"2019","03","44599","auto","23",NA,NA,NA,NA,NA
"8","2020-12-21 16:42:23-03","MBM","MBM","165640","PreservedSpecimen","Plantae",NA,NA,"Pteridaceae","Pellaea","cymbiformis","Pellaea cymbiformis","J. Prado","Furlan, A.; Rossi, L.; Menezes, N.L.; Hensold, N.; Longhi-Wagner, H.M.; Isejima,; Rossi, L.; Menezes, N.L.; Hensold, N.; Longhi-Wagner, H.M.; Isejima, E.M.","CFCR3271","1982","04","09","Southern America","Brazil","Minas Gerais","Gouveia","Serra do Brejo Grande, Km 66 da estrada Curvelo-Diamantina. Estrada para o Morro do Camilinho. 9 km do asfalto.","-43.916667","-18.516667",NA,NA,"Folhas rígidas.; Planta entre pedras e pedregulhos, exposta ao sol.","MBM165640","MBM165640","ISOTYPE","Prado, J.",NA,"1993","12",NA,NA,"15","-43.916667","-18.516667",NA,NA,NA
"9","2016-03-09 18:11:26-03","MNHN","RECOLNAT_MNHN_P","P00904576","PreservedSpecimen",NA,NA,NA,"Pteridophyta","Pellaea","cymbiformis","Pellaea cymbiformis","J. Prado","Prado, J.|Barbara-Blubaugh, T.",NA,"2002","1","6",NA,"Brasil",NA,NA,"Minas Gerais: Municipio de Gouveia, BR 259 Gouveia-Curvelo, afloramento rochoso no lado direito da estrada indo para Curvelo, lado oposto à entrada para o Morro do Camelinho","-43.87528","-18.73028","1199","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00904576' target='other'> <mi>dwc_moreinfo</mi></a>","P00904576","P00904576_01",NA,"Prado",NA,NA,NA,NA,NA,NA,NA,NA,"1405",NA,NA
"10","2020-09-29 14:53:46-03","UFPR","UPCB","77911","PreservedSpecimen","Plantae","Polypodiophyta",NA,"Pteridaceae","Pellaea","cymbiformis","Pellaea cymbiformis","J.Prado","Prado, J. | Barbara-Blubaugh, T.","1410","2002","01","08",NA,"Brasil","Minas Gerais","Gouveia","BR 259, entre P. Juscelino e Gouveia, afloramento rochoso no lado esquerdo da estrada indo para gouveia.","-43.958611","-18.593889",NA,NA,"Crescendo em campo rupestre,em solo arenoso (rico em húmus), junto com Velloziaceae, expostas ao sol. Área recém queimada..",NA,NA,NA,"Prado, J.",NA,"2002","01",NA,NA,"08","-43.958611","-18.593889",NA,NA,NA
