"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","county","yearIdentified","verbatimLongitude","verbatimLatitude","monthIdentified","dayIdentified","class","coordinatePrecision","geoFlag","individualCount","typeStatus","relatedCatalogItem","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","1017547","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Mitracarpus","rigidifolius","Mitracarpus rigidifolius","Standl.","J. H. Kirkbride Jr.","R. M. Harley","16651","1974","03","04","South America","Brazil","Bahia","Serra do Curral Feio. 16 km NW of Lagoinha (5.5 km SW of Delfino) on side road to Minas do Mimoso.","-41.33","-10.37","950","1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1216215' target='other'> <mi>dwc_moreinfo</mi></a>","NY01017547","NY01017547_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","1006102","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Mitracarpus","rigidifolius","Mitracarpus rigidifolius","Standl.","R. M. Salas","D. Philcox","3848","1968","01","01","South America","Brazil","Mato Grosso","Km. 46 N. of Xavantina on Cachimbo road.","-52.23","-14.63","500","500","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1105362' target='other'> <mi>dwc_moreinfo</mi></a>","NY01006102","NY01006102_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","885403","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Mitracarpus","rigidifolius","Mitracarpus rigidifolius","Standl.","E. B. Souza","A. M. Amorim","2966","1999","04","26","South America","Brazil","Bahia","BA 246, que liga Várzea Nova a Morro do Chapéu. Coletas a ca. de 12 km de Morro do Chapéu.","-41.1558","-11.5503",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=989483' target='other'> <mi>dwc_moreinfo</mi></a>","NY00885403","NY00885403_01","Morro do Chapéu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","1018602","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Mitracarpus","rigidifolius","Mitracarpus rigidifolius","Standl.","E. B. Souza","A. Freire Fierro","1753a","1990","10","03","South America","Brazil","Bahia",NA,"-41.03","-11.1",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1261278' target='other'> <mi>dwc_moreinfo</mi></a>","NY01018602","NY01018602_01","Morro do Chapéu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","1017546","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Mitracarpus","rigidifolius","Mitracarpus rigidifolius","Standl.","J. H. Kirkbride Jr.","R. M. Harley","16826","1974","03","06","South America","Brazil","Bahia","Serra do Curral Feio. 22 km NW of Lagoinha (which is 5.5 km SW of Delfino) on side road to Minas do Mimoso.","-41.33","-10.33","980","980","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1216213' target='other'> <mi>dwc_moreinfo</mi></a>","NY01017546","NY01017546_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","01405448","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Mitracarpus","rigidifolius","Mitracarpus rigidifolius","Standl.","E. B. de Souza","H. S. Irwin","32662","1971","02","20","South America","Brazil","Bahia","Serra doTombador, ca. 22 km W of Morro do Chapéu","-41.1558","-11.5503","1000","1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1516448' target='other'> <mi>dwc_moreinfo</mi></a>","NY01405448","NY01405448_01","Morro do Chapéu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","1033075","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Mitracarpus","rigidifolius","Mitracarpus rigidifolius","Standl.","R. M. Salas","I. Silberbauer-Gottsberger","310-2273","1973","02","02","South America","Brazil","Bahia","5 km Oeste de Morro de Chapéu.","-41.1558","-11.5503",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1210661' target='other'> <mi>dwc_moreinfo</mi></a>","NY01033075","NY01033075_01","Morro do Chapéu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","1017548","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Mitracarpus","rigidifolius","Mitracarpus rigidifolius","Standl.","J. H. Kirkbride Jr.","R. M. Harley","17015","1974","03","08","South America","Brazil","Bahia","Serra do Curral Feio. 16 km NW of Lagoinha (5.5 km SW of Delfino) on side road to Minas do Mimoso.","-41.33","-10.33","950","1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1216223' target='other'> <mi>dwc_moreinfo</mi></a>","NY01017548","NY01017548_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","1017534","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Mitracarpus","rigidifolius","Mitracarpus rigidifolius","Standl.","J. H. Kirkbride Jr.","H. S. Irwin","32435","1971","02","17","South America","Brazil","Bahia","Serra do Tombador, wooded margins of Rio Ferro Doido, ca. 18 km E. of Morro do Chapéu","-41.1561111","-11.5493","1100","1100","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1216185' target='other'> <mi>dwc_moreinfo</mi></a>","NY01017534","NY01017534_01","Morro do Chapéu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2019-10-09 11:23:46-03","UFBA","ALCB","021556","PreservedSpecimen","Plantae","Dicotyledon",NA,"Rubiaceae","Mitracarpus","rigidifolius","Mitracarpus rigidifolius","Standl.","Souza, EB","Gusmão, EF de","89","1975","05","17","Southern America","Brasil","Bahia","Piemonte da Diamantina","-41.066667","-11.583333",NA,NA,NA,"Muito ramificado com flores alvas e folhas filiformes. Frequentemente a uma altura de 800 a 900m.",NA,NA,"Morro do Chapéu","2007","-41.066667","-11.583333",NA,NA,NA,NA,NA,NA,NA,NA,NA
