"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","class","relatedCatalogItem","typeStatus","individualCount","fieldNumber"
"1","2021-03-15 16:37:00-03","NY","NYBG","02636531","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Dichanthelium","aequivaginatum","Dichanthelium aequivaginatum","(Swallen) Zuloaga","F. O. Zuloaga","S. C. de Sant'Ana","719","1998","10","12","South America","Brazil","Bahia","Canavieiras","Cerca de 19 km de Santa Luzia, na estrada que liga Santa Luzia/Canavieiras","-39.1978562","-15.5102246","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=572277' target='other'> <mi>dwc_moreinfo</mi></a>","NY02636531","NY02636531_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","652635","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Dichanthelium","aequivaginatum","Dichanthelium aequivaginatum","(Swallen) Zuloaga","L. C. Majure","S. A. Mori","13309","1980","02","29","South America","Brazil","Bahia","Palmeiras","Pai Inácio. BR 242, km 232, cerca de 15 km ao NE de Palmeiras","-41.5194","-12.4388","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=479035' target='other'> <mi>dwc_moreinfo</mi></a>","NY00652635","NY00652635_01","1000","1200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2016-09-29 13:48:00-03","NY","NYBG","652636","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Dichanthelium","aequivaginatum","Dichanthelium aequivaginatum",NA,"L. C. Majure","D. Clarke","1012","1996","02","05","South America","Guyana","Cuyuni-Mazaruni",NA,"Waleliwatipu (Aymato), N of Paruima; in vic. of camp","-61.02","5.88","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=479031' target='other'> <mi>dwc_moreinfo</mi></a>","NY00652636",NA,"1090","1090",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","02862416","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Dichanthelium","aequivaginatum","Dichanthelium aequivaginatum","(Swallen) Zuloaga",NA,"D. Sucre","5349","1969","06","16","South America","Brazil","Rio de Janeiro","Rio de Janeiro","Estado da Guanabara, Restinga de Jacarepaguá. Do lado noroeste da pedra de Itaúna (ph 5-6).","-43.2075004577637","-22.9027996063232","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3272134' target='other'> <mi>dwc_moreinfo</mi></a>","NY02862416","NY02862416_01",NA,NA,"57442","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","652632","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Panicum","aequivaginatum","Panicum aequivaginatum","Swallen",NA,"L. A. Mattos Silva","3378","1996","03","29","South America","Brazil","Bahia","Una","Povoado de Comandatuba. Fazenda Bolandeira","-39.0753","-15.2933","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=479037' target='other'> <mi>dwc_moreinfo</mi></a>","NY00652632","NY00652632_01","10","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","02618403","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Panicum","aequivaginatum","Panicum aequivaginatum","Swallen",NA,"G. H. H. Tate","281","1927","11","07","South America",NA,NA,NA,"British Guiana and northern Brazil. Mt. Roraima: Philipp Camp",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2916663' target='other'> <mi>dwc_moreinfo</mi></a>","NY02618403",NA,"1585.0","1828.8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","652631","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Panicum","aequivaginatum","Panicum aequivaginatum","Swallen","F. O. Zuloaga","S. A. Mori","14257","1981","06","10","South America","Brazil","Bahia","Lençóis","Along BR242, ca 15 km NW of Lençois at km 225","-41.3897","-12.5633","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=479032' target='other'> <mi>dwc_moreinfo</mi></a>","NY00652631","NY00652631_01","900","900",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","652633","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Panicum","aequivaginatum","Panicum aequivaginatum","Swallen",NA,"R. P. Belém","1692","1965","09","08","South America","Brazil","Bahia",NA,"Margem da Rodovia Camacan - Canavieiras, 32 km W de Canavieiras","-39.1821063","-15.5102013","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=479036' target='other'> <mi>dwc_moreinfo</mi></a>","NY00652633","NY00652633_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","652634","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Panicum","aequivaginatum","Panicum aequivaginatum","Swallen",NA,"S. A. Mori","13211","1979","12","23","South America","Brazil","Bahia","Palmeiras","Pai Inácio. BR 242, km 232, a cerca de 15 km ao NE de Palmeiras","-41.5589","-12.5292","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=479034' target='other'> <mi>dwc_moreinfo</mi></a>","NY00652634","NY00652634_01","1000","1200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","652630","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Panicum","aequivaginatum","Panicum aequivaginatum","Swallen",NA,"R. M. Harley","17383","1974","03","24","South America","Brazil","Bahia",NA,"24km. S.W. of Belmonte on road to Itapebi. Alt. ca. sea level","-39.05","-16","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=479033' target='other'> <mi>dwc_moreinfo</mi></a>","NY00652630","NY00652630_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
