"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","recordNumber","phylum","order","scientificNameAuthorship","identifiedBy","stateProvince","locality","decimalLongitude","decimalLatitude","imagecode","county","minimumElevationInMeters","maximumElevationInMeters","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","class","relatedCatalogItem","relationshipType","individualCount","fieldNumber"
"1","2020-09-23 10:38:39-03","E","E","153025","PreservedSpecimen","Plantae","Cyperaceae","Kyllinga","hortensis","Kyllinga hortensis","Saltzmann","1905","01","04","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:160202","<a href=http://data.rbge.org.uk/herb/E00153025 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00153025",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:38:39-03","E","E","151965","PreservedSpecimen","Plantae","Cyperaceae","Kyllinga","pumila","Kyllinga pumila","Buchtien, Otto","1905","03","26","W. Tropical South America","BO","herbarium specimen of unspecif","BGBASE:159979","<a href=http://data.rbge.org.uk/herb/E00151965 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00151965","698",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:38:39-03","E","E","153008","PreservedSpecimen","Plantae","Cyperaceae","Kyllinga","pumila","Kyllinga pumila","Sellow, F.",NA,NA,NA,"E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:160219","<a href=http://data.rbge.org.uk/herb/E00153008 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00153008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-09-23 10:38:39-03","E","E","151964","PreservedSpecimen","Plantae","Cyperaceae","Kyllinga","pumila","Kyllinga pumila","Buchtien, Otto",NA,NA,NA,"W. Tropical South America","BO","herbarium specimen of unspecif","BGBASE:159980","<a href=http://data.rbge.org.uk/herb/E00151964 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00151964","5109",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-09-23 10:38:39-03","E","E","151961","PreservedSpecimen","Plantae","Cyperaceae","Kyllinga","pumila","Kyllinga pumila","Balls, Edward K.","1938","12","15","W. Tropical South America","CO","herbarium specimen of unspecif","BGBASE:159983","<a href=http://data.rbge.org.uk/herb/E00151961 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00151961","5740",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-09-23 10:38:39-03","E","E","153009","PreservedSpecimen","Plantae","Cyperaceae","Kyllinga","pumila","Kyllinga pumila","Harley, R.M.","1974","03","07","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:160218","<a href=http://data.rbge.org.uk/herb/E00153009 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00153009","16935",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-09-23 10:38:39-03","E","E","151963","PreservedSpecimen","Plantae","Cyperaceae","Kyllinga","pumila","Kyllinga pumila","Smith, Herbert H.",NA,NA,NA,"W. Tropical South America","CO","herbarium specimen of unspecif","BGBASE:159981","<a href=http://data.rbge.org.uk/herb/E00151963 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00151963","222",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","01174556","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","densicaespitosus","Cyperus densicaespitosus","J. M. Poole","1979","07","03","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1395687' target='other'> <mi>dwc_moreinfo</mi></a>","NY01174556","1826","Magnoliophyta","Poales","Mattf. & Kük.","T. M. Koyama","Amazonas","Between Manaus and São Gabriel. Along Rio Cauaburi, vicinity of Cachoeira Caranguejeito.","-65.916667","-0.25","NY01174556_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","01174555","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","densicaespitosus","Cyperus densicaespitosus","G. T. Prance","1967","02","11","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1395684' target='other'> <mi>dwc_moreinfo</mi></a>","NY01174555","4317","Magnoliophyta","Poales","Mattf. & Kük.","T. M. Koyama","Roraima","Base of Serra Tepequem, Boca da Mata.","-61.75","3.75","NY01174555_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","01174554","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","densicaespitosus","Cyperus densicaespitosus","P. J. M. Maas",NA,NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1395678' target='other'> <mi>dwc_moreinfo</mi></a>","NY01174554","307","Magnoliophyta","Poales","Mattf. & Kük.",NA,"Amazonas",NA,NA,NA,"NY01174554_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
