"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","continentOcean","preparationType","previousCatalogNumber","typeStatus","phylum","order","infraspecificEpithet","class","relatedCatalogItem","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","fieldNumber","individualCount","sex"
"1","2021-04-05 14:33:19-03","UNESC","CRI","6438","PreservedSpecimen","Plantae","Asteraceae","Perezia","multiflora","Perezia multiflora","Less.","J. A. Jarenkow","J. A. Jarenkow; E. N. Garcia","3616","1997","11","02","Brasil","Rio Grande do Sul","Caçapava do Sul","Nas Guaritas.","-53.491667","-30.512778","53º29'30''W","30º30'46''S","432","432","Habitat: campo úmido Habito: erva","CRI001120","CRI001120",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:37:59-03","E","E","249403","PreservedSpecimen","Plantae","Compositae","Perezia","multiflora","Perezia multiflora",NA,NA,"Balls, Edward K.","6034","1939","02","13","AR","Provincia de Jujuy",NA,"Near Tilcara; Churru Valley",NA,NA,NA,NA,"3658","3658","<a href=http://data.rbge.org.uk/herb/E00249403 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00249403",NA,"Temperate South America","herbarium specimen of unspecif","BGBASE:266218",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:37:59-03","E","E","249376","PreservedSpecimen","Plantae","Compositae","Perezia","multiflora","Perezia multiflora",NA,NA,"Werdermann, Erich","1142",NA,NA,NA,"PE","Departamento Tacna",NA,"Cordillera Volcan Tacora, Chisslluma",NA,NA,NA,NA,"4500","4500","<a href=http://data.rbge.org.uk/herb/E00249376 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00249376",NA,"W. Tropical South America","herbarium specimen of unspecif","BGBASE:266217",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-09-23 10:37:59-03","E","E","413018","PreservedSpecimen","Plantae","Compositae","Perezia","multiflora","Perezia multiflora",NA,NA,"Bang, Miguel","736","1905","03","04","BO","Departamento La Paz",NA,"Vic. La Paz",NA,NA,NA,NA,"3048","3048","<a href=http://data.rbge.org.uk/herb/E00413018 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00413018",NA,"W. Tropical South America","herbarium specimen of unspecif","BGBASE:443092","unspecified kind of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2016-09-29 12:31:00-03","NY","NYBG","231013","PreservedSpecimen","Plantae","Asteraceae","Perezia","multiflora","Perezia multiflora achalensis","(Humb. & Bonpl.) Kuntze",NA,"G. H. E. W. Hieronymus","s.n.","1887","01","08","Argentina",NA,NA,"Sierra Acahala de Córdoba",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=406690' target='other'> <mi>dwc_moreinfo</mi></a>","NY00231013","NY00231013_01","South America","sheet",NA,"type","Magnoliophyta","Asterales","achalensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2016-09-29 17:20:00-03","NY","NYBG","779292","PreservedSpecimen","Plantae","Asteraceae","Perezia","multiflora","Perezia multiflora sonchifolia","(Baker) Vuilleum.","B. B. Vuilleumier","W. Fischer","s.n.","1914","09",NA,"Argentina","Río Negro",NA,"Vicinity of General Roca, Rio Negro.",NA,NA,NA,NA,"250","360","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=688446' target='other'> <mi>dwc_moreinfo</mi></a>","NY00779292","NY00779292_01","South America","sheet",NA,NA,"Magnoliophyta","Asterales","sonchifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","779289","PreservedSpecimen","Plantae","Asteraceae","Perezia","multiflora","Perezia multiflora sonchifolia","(Baker) Vuilleum.","B. B. Simpson","R. Reitz","5361","1957","10","24","Brazil","Santa Catarina","Sao José","Serra da Boa Vista, S. José.","-48.6272","-27.6156",NA,NA,"1200","1200","Probably R. M. Klein <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=688442' target='other'> <mi>dwc_moreinfo</mi></a>","NY00779289","NY00779289_01","South America","sheet",NA,NA,"Magnoliophyta","Asterales","sonchifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","231004","PreservedSpecimen","Plantae","Asteraceae","Perezia","multiflora","Perezia multiflora","(Bonpl.) Less.","B. B. Vuilleumier","H. H. Rusby","2668","1885","10",NA,"Bolivia",NA,NA,"Unduavi",NA,NA,NA,NA,"3657.6","3657.6","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=88685' target='other'> <mi>dwc_moreinfo</mi></a>","NY00231004","NY00231004_01","South America","sheet",NA,"isotype","Magnoliophyta","Asterales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","779293","PreservedSpecimen","Plantae","Asteraceae","Perezia","multiflora","Perezia multiflora sonchifolia","(Baker) Vuilleum.","B. B. Vuilleumier","W. G. F. Herter","486A","1928","09",NA,"Uruguay","Tacuarembó",NA,"Valle Eden",NA,NA,NA,NA,"200","200","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=688443' target='other'> <mi>dwc_moreinfo</mi></a>","NY00779293",NA,"South America","sheet",NA,NA,"Magnoliophyta","Asterales","sonchifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2016-09-27 15:54:00-03","NY","NYBG","231014","PreservedSpecimen","Plantae","Asteraceae","Perezia","multiflora","Perezia multiflora achalensis","(Humb. & Bonpl.) Kuntze",NA,"C. Galander","s.n.","1884","01","09","Argentina",NA,NA,"Pies de los Gigantes, Sierra de Córdoba",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=406691' target='other'> <mi>dwc_moreinfo</mi></a>","NY00231014","NY00231014_01 NY00231014_02","South America","sheet",NA,"type","Magnoliophyta","Asterales","achalensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","779290","PreservedSpecimen","Plantae","Asteraceae","Perezia","multiflora","Perezia multiflora sonchifolia","(Baker) Vuilleum.",NA,"M. Sobral","4294","1985","09",NA,"Brazil","Rio Grande do Sul","Caçapava do Sul","Guaritas, Caçapava do Sul","-53.4914","-30.5122",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=688444' target='other'> <mi>dwc_moreinfo</mi></a>","NY00779290","NY00779290_01","South America","sheet",NA,NA,"Magnoliophyta","Asterales","sonchifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","779291","PreservedSpecimen","Plantae","Asteraceae","Perezia","multiflora","Perezia multiflora sonchifolia","(Baker) Vuilleum.",NA,"L. B. Smith","13031","1964","11","08","Brazil","Santa Catarina","Irani","Campo de Irani","-51.83","-26.95",NA,NA,"700","900","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=688445' target='other'> <mi>dwc_moreinfo</mi></a>","NY00779291","NY00779291_01","South America","sheet",NA,NA,"Magnoliophyta","Asterales","sonchifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
