"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","class","individualCount","typeStatus","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","02137323","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Marcetia","formosa","Marcetia formosa","Wurdack","A. K. A. dos Santos","M. J. R. Rocha","345","2012","02","14","South America","Brazil","Bahia","Rio de Contas","Pico das Almas. Trilha Pico das Almas","-41.9497","-13.51692","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2190335' target='other'> <mi>dwc_moreinfo</mi></a>","NY02137323","NY02137323_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","778823","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Marcetia","formosa","Marcetia formosa","Wurdack","E. M. Woodgyer","R. M. Harley","51702","1992","03","02","South America","Brazil","Bahia","Abaíra","Garimpo do Bicota","-41.85","-13.33","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=799079' target='other'> <mi>dwc_moreinfo</mi></a>","NY00778823","NY00778823_01","1450","1450",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-01 16:34:25-03","UNICAMP","UEC","105333","S","Plantae","Magnoliopsida",NA,"Melastomataceae","Marcetia","formosa","Marcetia formosa","Wurdack","Martins, AB","Harley, RM; Stannard, BL; Pirani, JR; Furlan, A","27171","1988","12","13",NA,"Brazil","Bahia","Rio de Contas","Pico das Almas, vertente leste, trilho Fazenda Silvina - Campo do Queiroz","-41.933333","-13.533333",NA,"Arbusto até 1,7m de altura, muito ramificado; córtice dos caules destacando-se em pequenas placas; folhas discolores, brilhantes, verde na face superior; frutos vermelhos; Campo rupestre, em solo brejoso com muito <em>Sphagnum</em>","UEC080707","UEC080707","1400","1450","-41.933333","-13.533333",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-01 16:34:25-03","UNICAMP","UEC","105391","S","Plantae","Magnoliopsida",NA,"Melastomataceae","Marcetia","formosa","Marcetia formosa","Wurdack","Martins, AB","Harley, RM; Simão, RC; Hind, DJN; Forthergill, JM","25359","1988","10","24",NA,"Brazil","Bahia","Rio de Contas","Povoado de Mato Grosso, arredores","-41.833333","-13.466667",NA,"Arbusto até 2m de altura, pouco ramificado; folhas de inflorescência, cálices e caules por cima, muito viscosos; cálice verde-avermelhado; pétalas magenta, esbranquiçadas na base; filetes brancos; anteras amarelo-ouro; Campo rupestre.","UEC080719","UEC080719","1260","1260","-41.833333","-13.466667","1999","07",NA,NA,NA,NA,NA,NA,NA
"5","2021-03-01 16:34:25-03","UNICAMP","UEC","134309","S","Plantae","Magnoliopsida",NA,"Melastomataceae","Marcetia","formosa","Marcetia formosa","Wurdack","Santos, AKA","Santos, AKA; Nascimento, FHF","199","2004","01","07",NA,"Brazil","Bahia","Rio de Contas","Subida Mato Grosso para o Itaibira","-41.868333","-13.394167",NA,"Arbusto ca. 40cm; folhas viscosas discolores, face abaxial mais clara; cálice castanho a vináeo; pétalas magenta, estames amarelos, estilete róseo; Coletas na beira do riacho","UEC080709","UEC080709","1650","1650","-41.868333","-13.394167","2004","05","21",NA,NA,NA,NA,NA,NA
"6","2021-03-01 16:34:25-03","UNICAMP","UEC","134311","S","Plantae","Magnoliopsida",NA,"Melastomataceae","Marcetia","formosa","Marcetia formosa","Wurdack","Santos, AKA","Santos, AKA; Nascimento, FHF","181","2004","01","06",NA,"Brazil","Bahia","Rio de Contas","Subida para o Pico das Almas","-41.961667","-13.524722",NA,"Subarbusto com touceiras, ramos até 25cm; folhas viscosas, verdes discolores, face abaxial mais clara; cálice verde; pétalas lilás, anteras amarelas, estilete magenta com região estigmática brancas. Prensada em álcool. Foto; Coletada e","UEC080717","UEC080717","1700","1700","-41.961667","-13.524722","2004","01",NA,NA,NA,NA,NA,NA,NA
"7","2021-03-01 16:34:25-03","UNICAMP","UEC","134312","S","Plantae","Magnoliopsida",NA,"Melastomataceae","Marcetia","formosa","Marcetia formosa","Wurdack","Harley, RM; Giulietti, AM","Harley, RM; Giulietti, AM","54529","2003","01","02",NA,"Brazil","Bahia","Rio de Contas","Kaiambola, na trilha para o Pico de Itobira","-41.890556","-13.388333",NA,"Arbusto ramificado até 2m; folhas com lamina viscose e verde-brilhante na face superior, esbranquiçada na face inferior; pétalas magenta, estames amarelas; Entre pedras quartziticas, em solo arenoso","UEC080715","UEC080715","1397","1397","-41.890556","-13.388333","2003","01",NA,NA,NA,NA,NA,NA,NA
"8","2021-03-01 16:34:25-03","UNICAMP","UEC","134313","S","Plantae","Magnoliopsida",NA,"Melastomataceae","Marcetia","formosa","Marcetia formosa","Wurdack","Santos, AKA","Santos, AKA; Giulietti, AM; Andrade, MJG; Vitório, SR; et al.","135","2003","10","04",NA,"Brazil","Bahia","Rio de Contas","Trilha para o Pico das Almas","-41.939722","-13.519167",NA,"Arbusto muito ramificado, ca. 80cm alt.; folhas crassas, discolores viscosas; flores com cálice castanho-avermelhado, hipanto castanho-avermelhado; pétalas magenta; estames amarelos. Foto; Campo rupestre, solo arenoso, uma outra popula","UEC080711","UEC080711","1479","1479","-41.939722","-13.519167","2003","10",NA,NA,NA,NA,NA,NA,NA
"9","2021-03-01 16:34:25-03","UNICAMP","UEC","134328","S","Plantae","Magnoliopsida",NA,"Melastomataceae","Marcetia","formosa","Marcetia formosa","Wurdack","Santos, AKA","Santos, AKA; Silva, TRS; Andrade, MJG; Nascimento, FHF; et al.","165","2003","11","10",NA,"Brazil","Bahia","Rio de Contas","Trilha para o Campo do Queiroz","-41.777222","-13.516944",NA,"Arbusto ca. 1,2m, ramificado, ramos castanhos; folhas levemente crassas discolores; cálice vináceo; corola magenta; estames amarelos. Coletado material para DNA. Prensada em álcool. Foto","UEC080713","UEC080713","1504","1504","-41.777222","-13.516944","2003","11",NA,NA,NA,NA,NA,NA,NA
"10","2021-03-01 16:34:25-03","UNICAMP","UEC","166269","S","Plantae","Magnoliopsida",NA,"Melastomataceae","Marcetia","formosa","Marcetia formosa","Wurdack",NA,"Santos, AKA; Nascimento, FHF","818","2006","02","18",NA,"Brazil","Bahia","Rio de Contas","Trilha para o Pico das Almas.","-41.956667","-13.524444",NA,"Arbusto ca. 80 cm. folhas verdes, discolores, face abaxial mais clara. Pedicelo, hipanto e cálice vináceos. Corola magenta a rosa, filetes e ginesceu róseo, anteras amarelas. DNA. Pouco indivíduos.; Campo rupestre.","UEC036267","UEC036267","1556","1556","-41.956667","-13.524444",NA,NA,NA,NA,NA,NA,NA,NA,NA
