"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","typeStatus","recordedBy","recordNumber","continentOcean","country","stateProvince","locality","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","year","month","day","phylum","order","scientificNameAuthorship","imagecode","identifiedBy","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","class","fieldNumber","individualCount","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","relatedCatalogItem","sex"
"1","2020-09-23 10:41:47-03","E","E","285757","PreservedSpecimen","Plantae","Myrtaceae","Campomanesia","hirsuta","Campomanesia hirsuta","isotype","Gardner, George","417","E. Tropical South America","BR","Rio de Janeiro","Organ Mts.","herbarium specimen of unspecif","BGBASE:297230","<a href=http://data.rbge.org.uk/herb/E00285757 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00285757",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:41:47-03","E","E","285755","PreservedSpecimen","Plantae","Myrtaceae","Campomanesia","hirsuta","Campomanesia hirsuta","isotype","Gardner, George","417","E. Tropical South America","BR","Rio de Janeiro","Organ Mts.","herbarium specimen of unspecif","BGBASE:297229","<a href=http://data.rbge.org.uk/herb/E00285755 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00285755","1905","01","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","386789","PreservedSpecimen","Plantae","Myrtaceae","Campomanesia","hirsuta","Campomanesia hirsuta","type","G. Gardner","417","South America","Brazil",NA,"Brasilia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=463309' target='other'> <mi>dwc_moreinfo</mi></a>","NY00386789","1836",NA,NA,"Magnoliophyta","Myrtales","Gardner","NY00386789_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","386790","PreservedSpecimen","Plantae","Myrtaceae","Campomanesia","hirsuta","Campomanesia hirsuta","type","G. Gardner","II417","South America","Brazil","Rio de Janeiro","Serra dos Orgaos, ad Somidouro","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=463310' target='other'> <mi>dwc_moreinfo</mi></a>","NY00386790","1837",NA,NA,"Magnoliophyta","Myrtales","Gardner","NY00386790_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","579583","PreservedSpecimen","Plantae","Myrtaceae","Campomanesia","hirsuta","Campomanesia hirsuta",NA,"O. C. Goés","777","South America","Brazil","Rio de Janeiro","Petrópolis, Carangola","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=463308' target='other'> <mi>dwc_moreinfo</mi></a>","NY00579583","1943","11",NA,"Magnoliophyta","Myrtales","Gardner","NY00579583_01","L. R. Landrum","Petrópolis","-43.1783","-22.505",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","579580","PreservedSpecimen","Plantae","Myrtaceae","Campomanesia","hirsuta","Campomanesia hirsuta",NA,"B. D. Sucre","2410","South America","Brazil","Rio de Janeiro","Terezópolis, Estrada para Posse.","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=463307' target='other'> <mi>dwc_moreinfo</mi></a>","NY00579580","1968","02","12","Magnoliophyta","Myrtales","Gardner","NY00579580_01","L. R. Landrum","Teresópolis","-42.9656","-22.4122",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2015-07-02 14:03:08-03","JBP","HPL","11840","S","Plantae","Myrtaceae","Campomanesia","aff. hirsuta","Campomanesia aff. hirsuta",NA,"H. Lorenzi","6736",NA,"Brasil","MG","Coletada no sitio de Vista Linda de José Dermo em Achado",NA,NA,NA,NA,"2009","09","09",NA,NA,NA,NA,NA,"Santana do Paraiso","-42.5686","-19.3636","17033","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2015-07-02 14:03:09-03","JBP","HPL","6419","S","Plantae","Myrtaceae","Campomanesia","hirsuta","Campomanesia hirsuta",NA,"H. Lorenzi","6069",NA,"Brasil","RJ","Coletado na estrada que liga a rodovia Teresópolis-Além Paraíba à Nova Friburgo, entrando a direita no Km 12, e depois mais 4 km no sítio do Sr. Pereira.",NA,NA,NA,NA,"2006","02","10",NA,NA,NA,NA,"H. Lorenzi","Teresópolis","-42.9656","-22.4122","38539","auto","2006","02","10",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2015-07-02 14:03:09-03","JBP","HPL","8699","S","Plantae","Myrtaceae","Campomanesia","hirsuta","Campomanesia hirsuta",NA,"H. Lorenzi","6252",NA,"Brasil","RJ","Coletado na estrada para Nova Friburgo, na vila Le Canton, no sítio do Sr. José Pereira.",NA,NA,NA,NA,"2007","04","19",NA,NA,NA,NA,"H. Lorenzi","Teresópolis","-42.9656","-22.4122","38539","auto","2007","04","19",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2018-03-08 09:13:18-03","ASU","ASU-PLANTS","ASU0009418","PreservedSpecimen","Plantae","Myrtaceae","Campomanesia","hirsuta","Campomanesia hirsuta",NA,"A. C. Brade",NA,NA,"Brazil","Rio de Janeiro",NA,NA,NA,"Specimen from R. Scanned and printed April, 2001.; Arvore.",NA,"1932",NA,NA,"Magnoliophyta","Myrtales","Gardn.",NA,"L.R. Landrum, 2001.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
