"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","locality","preparationType","occurrenceRemarks","barcode","imagecode","stateProvince","county","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","identifiedBy","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","class","relatedCatalogItem","coordinatePrecision","geoFlag","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","3984984","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Polypodiaceae","Lellingeria","suspensa","Lellingeria suspensa","(L.) A.R.Sm. & R.C.Moran","B. Maguire","24239","1944","08","06","South America","Suriname","Tafelberg (Table Mountain), east side of North Ridge, at top.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4283202' target='other'> <mi>dwc_moreinfo</mi></a>","NY03984984","NY03984984_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2016-09-30 01:22:00-03","NY","NYBG","1686458","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Polypodiaceae","Lellingeria","suspensa","Lellingeria suspensa",NA,"F. B. Matos","1368","2007","04","14","South America","Brazil","RPPN Serra Bonita, 10 km W de Camacan na estrada para Jacarecí. 6 km SW na estrada para a RPPN e Torres de Transmissão. Trilhia que desce ao lado da pousada","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1297539' target='other'> <mi>dwc_moreinfo</mi></a>","NY01686458","NY01686458_01","Bahia","Camacan","-39.5647","-15.3931","750","750",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","02058345","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Polypodiaceae","Lellingeria","suspensa","Lellingeria suspensa","(L.) A.R.Sm. & R.C.Moran","M. S. Jaimes-Roncancio","185","2013","12","12","South America","Colombia","Parque Nacional Natural Las Orquídeas, sector Calles arriba, sitio El Macho, margen derecha de la quebrada El Macho","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2298716' target='other'> <mi>dwc_moreinfo</mi></a>","NY02058345","NY02058345_01","Antioquia","Urrao","-76.23514","6.54331","1700","1770","R. C. Moran",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","3984992","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Polypodiaceae","Lellingeria","suspensa","Lellingeria suspensa","(L.) A.R.Sm. & R.C.Moran","J. L. Luteyn","10786A","1984","05","26","South America","Colombia","To 5 km down rd. to San Fermin de Briceño, W off Pan American Hwy. Ca. 25 km N of Yarumal.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4283210' target='other'> <mi>dwc_moreinfo</mi></a>","NY03984992",NA,"Antioquia",NA,"-75.58","7.02","1525","1830",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","3984975","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Polypodiaceae","Lellingeria","suspensa","Lellingeria suspensa","(L.) A.R.Sm. & R.C.Moran","J. T. Mickel","9416","1984","07","01","South America","Trinidad and Tobago","Trinidad. Asa Wright Nature Centre, 7 mi N of Arima.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4283193' target='other'> <mi>dwc_moreinfo</mi></a>","NY03984975","NY03984975_01",NA,NA,NA,NA,"366",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","3984996","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Polypodiaceae","Lellingeria","suspensa","Lellingeria suspensa","(L.) A.R.Sm. & R.C.Moran","B.R. Chambi","414","2006","04","16","South America","Peru","Puerto Maldonado. Pantiacolla.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4283214' target='other'> <mi>dwc_moreinfo</mi></a>","NY03984996",NA,"Madre de Dios","Manú","-71.28","-12.63",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","3984979","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Polypodiaceae","Lellingeria","suspensa","Lellingeria suspensa","(L.) A.R.Sm. & R.C.Moran","K. M. Redden","2719","2004","02","13","South America","Guyana","Pakaraima Mts., Mazaruni River. 0.4 miles W of Base Camp 6.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4283197' target='other'> <mi>dwc_moreinfo</mi></a>","NY03984979",NA,"Cuyuni-Mazaruni",NA,"-60.6575","6.04536","550",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","3984981","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Polypodiaceae","Lellingeria","suspensa","Lellingeria suspensa","(L.) A.R.Sm. & R.C.Moran","A. Vasco","625","2007","04","14","South America","Colombia","Mun. Pueblo Rico. Vereda Montebello, cerca a Los Cajones, subiendo hacia la base miliar. Montane evergreen cloudforest.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4283199' target='other'> <mi>dwc_moreinfo</mi></a>","NY03984981",NA,"Risaralda",NA,"-76.10553","5.25081","2162",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","1863980","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Polypodiaceae","Lellingeria","suspensa","Lellingeria suspensa","(L.) A.R.Sm. & R.C.Moran","J. T. Mickel","9503","1984","06","04","South America","Trinidad and Tobago","Trinidad: Morne Bleu ridge from Textel station to Morne Bleu peak.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2083995' target='other'> <mi>dwc_moreinfo</mi></a>","NY01863980","NY01863980_01",NA,NA,NA,NA,"2400","2700",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","02057908","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Polypodiaceae","Lellingeria","suspensa","Lellingeria suspensa","(L.) A.R.Sm. & R.C.Moran","M. A. Sundue","3194B","2012","09","04","South America","Colombia","Corregimiento Carauta, Parque Nacional Natural Las Orquídeas, sector Tres Bocas, río Tercero, cerca a la desembocadura en el río Carauta, finca La Pradera","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1950617' target='other'> <mi>dwc_moreinfo</mi></a>","NY02057908","NY02057908_01","Antioquia","Frontino","-76.2258","6.6356","1640","1680","M. A. Sundue",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
