"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","typeStatus","yearIdentified","verbatimLongitude","verbatimLatitude","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","class","fieldNumber","individualCount","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","453992","PreservedSpecimen","Plantae","Magnoliophyta","Cucurbitales","Begoniaceae","Begonia","itaguassuensis","Begonia itaguassuensis","Brade","S. F. Smith","A. M. Amorim","1679","1995","04","07","South America","Brazil","Bahia","Una","Estrada Sao José-Una. Km 9. Ramal a direita a partir de Sao José","-39.2940831","-15.1260082","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=363324' target='other'> <mi>dwc_moreinfo</mi></a>","NY00453992","NY00453992_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","1018514","PreservedSpecimen","Plantae","Magnoliophyta","Cucurbitales","Begoniaceae","Begonia","itaguassuensis","Begonia itaguassuensis","Brade","P. Moonlight","J. G. Jardim","1733","1998","04","10","South America","Brazil","Bahia","Jussari","Rod. Jussari/Palmeira, entrada ca. 7.5 km percorrendo mais 1.7 km até a sede da Faze. Teimoso. Serra do Teimoso, Reserva Particular do Patrimônio Natural Serra do Tei moso.","-39.58","-15.17","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1260134' target='other'> <mi>dwc_moreinfo</mi></a>","NY01018514","NY01018514_01","300","450",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","585887","PreservedSpecimen","Plantae","Magnoliophyta","Cucurbitales","Begoniaceae","Begonia","itaguassuensis","Begonia itaguassuensis","Brade","P. Moonlight","W. W. Thomas","12297","2000","10","15","South America","Brazil","Bahia","Boa Nova","Fazenda Riacháo, 7.8 km east of Boa Nova","-40.158317","-14.398617","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=412442' target='other'> <mi>dwc_moreinfo</mi></a>","NY00585887","NY00585887_01","780","850",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","453996","PreservedSpecimen","Plantae","Magnoliophyta","Cucurbitales","Begoniaceae","Begonia","itaguassuensis","Begonia itaguassuensis","Brade","S. F. Smith","W. W. Thomas","9090","1992","05","03","South America","Brazil","Bahia","Aurelino Leal","11.2 km W of BR 101 & Aurelino Leal on rd to Lage do Banco. Rocky, somewhat disturbed slope forest","-39.38","-14.33","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=363325' target='other'> <mi>dwc_moreinfo</mi></a>","NY00453996","NY00453996_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","1015254","PreservedSpecimen","Plantae","Magnoliophyta","Cucurbitales","Begoniaceae","Begonia","itaguassuensis","Begonia itaguassuensis","Brade","P. Moonlight","W. W. Thomas","14221","2004","09","21","South America","Brazil","Bahia","Camacan","RPPN Serra Bonita. 9.6 km NNW of Camacan on road to Jacareci and Jussari; then 6 km up road to Serra Bonita.","-39.5653","-15.3914","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=828265' target='other'> <mi>dwc_moreinfo</mi></a>","NY01015254","NY01015254_01","820","820",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","629774","PreservedSpecimen","Plantae","Magnoliophyta","Cucurbitales","Begoniaceae","Begonia","itaguassuensis","Begonia itaguassuensis","Brade","P. Moonlight","J. G. Jardim","1497","1998","02","04","South America","Brazil","Bahia","Jussari","Rod. Jussari/Palmira. Entrada ca. 7,5 km percorrendo mais 1,7 km até a sede da Faz. Teimoso. Serra do Teimoso. RPPN Serra do Teimoso","-39.58","-15.17","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=412444' target='other'> <mi>dwc_moreinfo</mi></a>","NY00629774","NY00629774_01","300","450",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","1104796","PreservedSpecimen","Plantae","Magnoliophyta","Cucurbitales","Begoniaceae","Begonia","itaguassuensis","Begonia itaguassuensis","Brade",NA,"A. C. Brade","18200","1946","05","13","South America","Brazil","Espírito Santo","Itaguacu","Itaguassu. Jatiboca","-40.884085","-19.954583","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1296312' target='other'> <mi>dwc_moreinfo</mi></a>","NY01104796","NY01104796_01",NA,NA,"isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","118619","PreservedSpecimen","Plantae","Magnoliophyta","Cucurbitales","Begoniaceae","Begonia","itaguassuensis","Begonia itaguassuensis","Brade","A. F. Cholewa","A. C. Brade","18200","1946","05","13","South America","Brazil","Espírito Santo","Itaguaçu","Jatiboca.","-40.884085","-19.954583","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=363326' target='other'> <mi>dwc_moreinfo</mi></a>","NY00118619","NY00118619_01",NA,NA,"isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","01197985","PreservedSpecimen","Plantae","Magnoliophyta","Cucurbitales","Begoniaceae","Begonia","itaguassuensis","Begonia itaguassuensis","Brade","S. F. Smith","M. M. M. Lopes","383","2005","11","22","South America","Brazil","Bahia","Almadina","Serra do Corcovado, 13,8 km ao SW de Coaraci, na estrada para Almadina. Fazenda São José. Propietário Senhor Francisco.","-39.6033","-14.7058","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1320465' target='other'> <mi>dwc_moreinfo</mi></a>","NY01197985","NY01197985_01","650","900",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","1419101","PreservedSpecimen","Plantae","Magnoliophyta","Cucurbitales","Begoniaceae","Begonia","itaguassuensis","Begonia itaguassuensis","Brade","P. Moonlight","W. W. Thomas","13025","2002","08","02","South America","Brazil","Bahia","Camacan","Serra Bonita (Serra da Torre), 10 km N of Camacan on road to Jacareci, then 4.6 km. W on road to transmission towers","-39.5683","-15.3883","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=528314' target='other'> <mi>dwc_moreinfo</mi></a>","NY01419101","NY01419101_01","800","800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
