"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","coordinatePrecision","geoFlag","class","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","individualCount","typeStatus","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","650300","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Chusquea","attenuata","Chusquea attenuata","(Döll) L.G.Clark","L. G. Clark","W. W. Thomas","9261","1992","05","14","South America","Brazil","Bahia","Wenceslau Guimaraes","Ca. 3 km W of Nova Esperança, W edge of Reserva Estadual Wenceslau Guimaraes.","-39.72","-13.6","500","600","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=362875' target='other'> <mi>dwc_moreinfo</mi></a>","NY00650300","NY00650300_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","685219","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Chusquea","attenuata","Chusquea attenuata","(Döll) L.G.Clark","L. G. Clark","M. Kuhlmann","2843","1952","03","24","South America","Brazil","São Paulo",NA,"Paranapiacaba, Estação Biológica. Entre Paranapiacaba e Campo Grande na proximdades da conserva do Estado.",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=887516' target='other'> <mi>dwc_moreinfo</mi></a>","NY00685219","NY00685219_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","685218","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Chusquea","attenuata","Chusquea attenuata","(Döll) L.G.Clark","L. G. Clark","M. Kuhlmann","2740","1951","11","22","South America","Brazil","São Paulo",NA,"Paranapiacaba","-46.29971","-23.777841",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=887511' target='other'> <mi>dwc_moreinfo</mi></a>","NY00685218","NY00685218_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","650299","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Chusquea","attenuata","Chusquea attenuata","(Döll) L.G.Clark","L. G. Clark","W. W. Thomas","9360","1992","05","15","South America","Brazil","Bahia","Wenceslau Guimaraes","Forest of Fazenda Boa Esperança near Reserva Estadual Wesceslau Guimaraes, 8 km above Rio Vermelho, 2 km above jct rd to Taquara","-39.78","-13.6","600","800","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=362874' target='other'> <mi>dwc_moreinfo</mi></a>","NY00650299","NY00650299_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","02636703","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Chusquea","attenuata","Chusquea attenuata","(Döll) L.G.Clark","L. G. Clark","P. Fiaschi","1789","2003","11","02","South America","Brazil","Bahia","Barro Preto","Serra da Pedra Lascada 13,7Km de Barro Preto, na estrada que passa pela Fazenda São Miguel e sobe até o acesso à Serra. Caminhada ao topo da serra.","-39.5361","-14.7703",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2475238' target='other'> <mi>dwc_moreinfo</mi></a>","NY02636703","NY02636703_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00861903","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Chusquea","attenuata","Chusquea attenuata","(Döll) L.G.Clark","L. G. Clark","H. S. Irwin","29242","1971","01","27","South America","Brazil","Minas Gerais",NA,"Serra do Espinhaço, lower slopes of Serra da Caraça, ca. 10 km W. of Barão de Cocais","-43.4927778","-20.1263","1500","1500","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=938082' target='other'> <mi>dwc_moreinfo</mi></a>","NY00861903","NY00861903_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","1018645","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Chusquea","attenuata","Chusquea attenuata","(Döll) L.G.Clark","A. C. da Mota","G. Heiden","877","2007","09","26","South America","Brazil","Rio de Janeiro","Teresópolis","Parque Nacional da Serra dos Orgãos. Trilha para a Pedra do Sino, após a Cota 2000.","-42.9656","-22.4122",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1261457' target='other'> <mi>dwc_moreinfo</mi></a>","NY01018645","NY01018645_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-12-04 15:26:40-03","PUCPR","HUCP","24056","S","Plantae","Monocotiledonea",NA,"Poaceae","Chusquea","attenuata","Chusquea attenuata","(Döll) L.G. Clark.","Lozano, E","Lozano, E","446","2010","11","02",NA,"Brasil","Paraná","Campina Grande do Sul",NA,"-49.0553016662598","-25.3055992126465",NA,NA,NA,NA,"HUCP00006612","HUCP00006612","55154","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2019-12-04 15:26:40-03","PUCPR","HUCP","22356","S","Plantae","Monocotiledonea",NA,"Poaceae","Chusquea","attenuata","Chusquea attenuata","(Döll) L.G. Clark.","Lozano, E","Lozano, E; Ariati, V","446","2010","11","02",NA,"Brasil","Paraná","Campina Grande do Sul",NA,"-49.0553016662598","-25.3055992126465",NA,NA,NA,NA,NA,NA,"55154","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-11-04 12:18:36-03","ESALQ","ESA","83281","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Poaceae","Chusquea","attenuata","Chusquea attenuata","(Doell.) L.C.Clark","Clark, L.C.","Ribas, O.S. ; Cordeiro, J.","718.0","1994","11","17",NA,"Brasil","Paraná","Quatro Barras",NA,"-49.0769004821777","-25.3656005859375",NA,NA,NA,NA,"ESA083281","ESA083281","17116","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
