"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","preparationType","occurrenceRemarks","barcode","identifiedBy","county","maximumElevationInMeters","class","typeStatus","relatedCatalogItem","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","dayIdentified","infraspecificEpithet","individualCount","fieldNumber","imagecode","order"
"1","2021-03-15 16:37:00-03","NY","NYBG","1915652","PreservedSpecimen","Plantae","Bryophyta","Dicranaceae","Campylopus","densicoma","Campylopus densicoma","(Müll.Hal.) Paris","D. M. Vital","19931","1991","07","07","South America","Brazil","Minas Gerais","Parque Nacional do Itatiaia, along entry road near border with Rio de Janeiro at Km 8.5.","-44.75","-22.37","2150","packeted","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2169701' target='other'> <mi>dwc_moreinfo</mi></a>","NY01915652",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","1915665","PreservedSpecimen","Plantae","Bryophyta","Dicranaceae","Campylopus","densicoma","Campylopus densicoma","(Müll.Hal.) Paris","S. P. Churchill","17768","1991","04","23","South America","Colombia","Antioquia","ca. 5-10 km N de Belmira.","-75.67","6.68","2400","packeted","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2169714' target='other'> <mi>dwc_moreinfo</mi></a>","NY01915665","J.-P. Frahm","Belmira",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","1915650","PreservedSpecimen","Plantae","Bryophyta","Dicranaceae","Campylopus","densicoma","Campylopus densicoma","(Müll.Hal.) Paris","S. P. Churchill","18699","1995","01","10","South America","Colombia","Antioquia","Vereda San Francisco. Cordillera Central. Alto de Palomas (Paramo de Sonson).","-75.23","5.73","2775","packeted","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2169699' target='other'> <mi>dwc_moreinfo</mi></a>","NY01915650","B. H. Allen","Sonsón","3150",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","1915657","PreservedSpecimen","Plantae","Bryophyta","Dicranaceae","Campylopus","densicoma","Campylopus densicoma","(Müll.Hal.) Paris","R. R. Ireland, Jr.","23697","1988","10","27","South America","Colombia","Cundinamarca","Municipio Charala, Corregimiento Virolin, Vereda El Reloj.","-73","6","2130","packeted","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2169706' target='other'> <mi>dwc_moreinfo</mi></a>","NY01915657","J.-P. Frahm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","1915666","PreservedSpecimen","Plantae","Bryophyta","Dicranaceae","Campylopus","densicoma","Campylopus densicoma","(Müll.Hal.) Paris","E. L. Linares C.","3831","1992","08","26","South America","Colombia","Cundinamarca","Carretera Sibate-La Aguadita, puente de La Virgen, cañon de quebrada.","-74.32","4.42","2450","packeted","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2169715' target='other'> <mi>dwc_moreinfo</mi></a>","NY01915666","J.-P. Frahm","Silvania",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","01229872","PreservedSpecimen","Plantae","Bryophyta","Dicranaceae","Campylopus","densicoma","Campylopus densicoma","(Müll.Hal.) Paris","S. P. Churchill","20654","2001","06","29","South America","Bolivia","Santa Cruz","Canton Comarapa, oeste de Siberia","-64.73","-17.82","3050","packeted","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1649626' target='other'> <mi>dwc_moreinfo</mi></a>","NY01229872","S. P. Churchill","Manuel María Caballero",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","1915659","PreservedSpecimen","Plantae","Bryophyta","Dicranaceae","Campylopus","densicoma","Campylopus densicoma","(Müll.Hal.) Paris","S. P. Churchill","15551","1987","07","13","South America","Colombia","Antioquia","Vereda La Corrala.",NA,NA,"2360","packeted","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2169708' target='other'> <mi>dwc_moreinfo</mi></a>","NY01915659","J.-P. Frahm","Caldas","2400",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","518498","PreservedSpecimen","Plantae","Bryophyta","Dicranaceae","Campylopus","densicoma","Campylopus densicoma","(Müll.Hal.) Paris","W. R. Buck","39174","2001","05","22","South America","Ecuador","Azuay","Maylas Reserva Ecológica Natural, ca. 5 km SE of bridge at entrance to reserve along Gualaceo-Gral. L. Plaza Gutiérrez (Limón) Hwy","-78.67","-2.95","3265","packeted","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=493308' target='other'> <mi>dwc_moreinfo</mi></a>","NY00518498","B. H. Allen","Gualaceo","3265",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","01229873","PreservedSpecimen","Plantae","Bryophyta","Dicranaceae","Campylopus","densicoma","Campylopus densicoma","(Müll.Hal.) Paris","A. Fuentes C.","5096","2002","07","17","South America","Bolivia","La Paz","Parque Nacional Madidi, Piñalito, cerro 29 km en linea recta al este de Apolo, camino a San José","-68.2572","-14.495","2000","packeted","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1649628' target='other'> <mi>dwc_moreinfo</mi></a>","NY01229873","S. P. Churchill","Franz Tamayo","2490",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","1915663","PreservedSpecimen","Plantae","Bryophyta","Dicranaceae","Campylopus","densicoma","Campylopus densicoma","(Müll.Hal.) Paris","S. P. Churchill","14261","1986","07","08","South America","Colombia","Antioquia","Alto de Boqueron, 25 km NO de Medellin.","-75.17","6.33","2800","packeted","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2169712' target='other'> <mi>dwc_moreinfo</mi></a>","NY01915663","J.-P. Frahm","Medellín","3000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
