"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","typeStatus","minimumElevationInMeters","maximumElevationInMeters","county","yearIdentified","class","verbatimLongitude","verbatimLatitude","relatedCatalogItem","fieldNumber","coordinatePrecision","geoFlag","individualCount","monthIdentified","dayIdentified","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","00867617","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Pradosia","atroviolacea","Pradosia atroviolacea","Ducke","T. D. Pennington","B. A. Krukoff","5410","1933","08","11","South America","Brazil","Acre","Basin of Rio Purus, near mouth of Rio Macauhan, (tributary of the Rio Iaco).","-69","-9.33","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=696203' target='other'> <mi>dwc_moreinfo</mi></a>","NY00867617","NY00867617_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","01171411","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Pradosia","atroviolacea","Pradosia atroviolacea","Ducke","M. H. Terra-Araújo","R. de Lemos Fróes","323a","1941","08","22","South America","Brazil","Amazonas",NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1468811' target='other'> <mi>dwc_moreinfo</mi></a>","NY01171411",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2016-09-27 04:04:00-03","NY","NYBG","273667","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Pradosia","atroviolacea","Pradosia atroviolacea",NA,NA,"W. A. Ducke","1800","1945","11","03","South America","Colombia","Amazonas","Leticia",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=696204' target='other'> <mi>dwc_moreinfo</mi></a>","NY00273667","NY00273667_01","isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","01171404","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Pradosia","atroviolacea","Pradosia atroviolacea","Ducke","M. H. Terra-Araújo","R. de Lemos Fróes","85","1941","06","02","South America","Brazil","Amazonas",NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1468810' target='other'> <mi>dwc_moreinfo</mi></a>","NY01171404",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","01171403","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Pradosia","atroviolacea","Pradosia atroviolacea","Ducke","M. H. Terra-Araújo","R. de Lemos Fróes","85","1941","06","02","South America","Brazil","Amazonas",NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1468809' target='other'> <mi>dwc_moreinfo</mi></a>","NY01171403","NY01171403_01 NY01171403_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2016-09-27 01:57:00-03","NY","NYBG","273668","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Pradosia","atroviolacea","Pradosia atroviolacea",NA,NA,"W. A. Ducke","1800","1945","11","03","South America","Colombia","Amazonas","Leticia",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=696205' target='other'> <mi>dwc_moreinfo</mi></a>","NY00273668","NY00273668_01","type","100","100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","01404439","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Pradosia","grisebachii","Pradosia grisebachii","(Pierre) T.D.Penn.","A. Alves-Araújo","R. Vilhena","1010","1983","03","14","South America","Brazil","Maranhão","FUNAI, a 40 km da cidade do Arame.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1410439' target='other'> <mi>dwc_moreinfo</mi></a>","NY01404439","NY01404439_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","1039770","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Pradosia","grisebachii","Pradosia grisebachii","(Pierre) T.D.Penn.",NA,"P. Kukle","75","1989","11","22","South America","Brazil","Amazonas","Manaus. Distrito Agropecuário da SUFRAMA, 90 km. N de Manaus, Rodovia BR-174, Km 72, depois 6 Km Oeste da BR, Fazenda Dimona.","-60.0917441","-2.326638","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1328811' target='other'> <mi>dwc_moreinfo</mi></a>","NY01039770","NY01039770_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","00896590","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Pradosia","grisebachii","Pradosia grisebachii","(Pierre) T.D.Penn.",NA,"J. U. M. dos Santos","702","1983","02","27","South America","Brazil","Maranhão","Lugar Palmerinha, a 74 km de Tuntum.","-44.6489","-5.2583","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=966633' target='other'> <mi>dwc_moreinfo</mi></a>","NY00896590","NY00896590_01",NA,NA,NA,"Tuntum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","01404437","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Pradosia","grisebachii","Pradosia grisebachii","(Pierre) T.D.Penn.","A. Alves-Araújo","J. U. M. dos Santos","676","1983","02","23","South America","Brazil","Maranhão","margem direita do Rio Itapecuru, Serra dos Papagaios.","-43.8333","-5.8372","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1410445' target='other'> <mi>dwc_moreinfo</mi></a>","NY01404437","NY01404437_01",NA,NA,NA,"Buriti Bravo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
