"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","typeStatus","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","class","relatedCatalogItem","infraspecificEpithet","fieldNumber","individualCount","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","454420","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Monimiaceae","Mollinedia","dardanoi","Mollinedia dardanoi","Peixoto","G. G. Hatschbach","15299","1966","11","29","South America","Brazil","Paraná","Morretes","Rio Ipiranga","-48.8342","-25.4769","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=619103' target='other'> <mi>dwc_moreinfo</mi></a>","NY00454420","NY00454420_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","454423","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Monimiaceae","Mollinedia","dardanoi","Mollinedia dardanoi","Peixoto","L. Riedel",NA,"1821",NA,NA,"South America","Brazil","Rio de Janeiro","Rio de Janeiro","Copacabana","-43.184813","-22.973744","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=619106' target='other'> <mi>dwc_moreinfo</mi></a>","NY00454423","NY00454423_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00894163","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Monimiaceae","Mollinedia","dardanoi","Mollinedia dardanoi","Peixoto","H. S. Irwin","20092","1968","02","14","South America","Brazil","Minas Gerais",NA,"Serra do Cipó, ca. km 120 (ca. 145km N of Belo Horizonte).","-43.4","-18.87","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=981765' target='other'> <mi>dwc_moreinfo</mi></a>","NY00894163","NY00894163_01","S. R. Hill","1200","1200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2016-09-27 17:40:00-03","NY","NYBG","00896318","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Monimiaceae","Mollinedia","dardanoi","Mollinedia dardanoi",NA,"M. M. M. Lopes","324","2005","11","21","South America","Brazil","Bahia","Barro Preto","Serra da Pedra Lascada, 13.7 km de Barro Preto, na estrada que passa pela Fazenda São Miguel, em direção à serra.","-39.2028","-14.7703","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=970574' target='other'> <mi>dwc_moreinfo</mi></a>","NY00896318","NY00896318_01",NA,"600","900",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2016-09-27 17:40:00-03","NY","NYBG","454401","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Monimiaceae","Mollinedia","dardanoi","Mollinedia dardanoi",NA,"B. D. Sucre","3380","1968","07","31","South America","Brazil","Rio de Janeiro","Rio de Janeiro","Restinga do Grumari","-43.2075","-22.9031","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=619086' target='other'> <mi>dwc_moreinfo</mi></a>","NY00454401","NY00454401_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00894165","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Monimiaceae","Mollinedia","dardanoi","Mollinedia dardanoi","Peixoto","E. P. Heringer","7650","1960","07","05","South America","Brazil","Minas Gerais",NA,"Arredores de Belo Horizonte, Rod., RJ.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=981773' target='other'> <mi>dwc_moreinfo</mi></a>","NY00894165","NY00894165_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","565801","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Monimiaceae","Mollinedia","dardanoi","Mollinedia dardanoi","Peixoto","J. E. Leite","212","1940","11",NA,"South America","Brazil","Rio Grande do Sul","Sao Leopoldo","Arredores de Sao Leopoldo","-51.18","-29.75","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=481436' target='other'> <mi>dwc_moreinfo</mi></a>","NY00565801","NY00565801_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","454424","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Monimiaceae","Mollinedia","dardanoi","Mollinedia dardanoi","Peixoto","L. Riedel",NA,"1835",NA,NA,"South America","Brazil","Rio de Janeiro","Magé","Mandiocca","-43.0406","-22.6531","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=619061' target='other'> <mi>dwc_moreinfo</mi></a>","NY00454424","NY00454424_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2016-09-27 17:40:00-03","NY","NYBG","454400","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Monimiaceae","Mollinedia","dardanoi","Mollinedia dardanoi",NA,"R. Callejas Posada","1716","1983","11","05","South America","Brazil","Bahia","Porto Seguro","Rodovia para povoado de Trancoso, 15 km depois de Arraial d'Ajuda","-39.0644","-16.4497","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=619085' target='other'> <mi>dwc_moreinfo</mi></a>","NY00454400","NY00454400_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","196733","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Monimiaceae","Mollinedia","dardanoi","Mollinedia dardanoi","Peixoto","M. N. Alexiades","258","1989","02","09","South America","Peru","Madre de Dios","Tambopata","Comunidad Nativa de Infierno. Hermosa Chica. Study plot 1","-69.28","-12.83","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=619083' target='other'> <mi>dwc_moreinfo</mi></a>","NY00196733",NA,NA,"260","260",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
