"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","typeStatus","identifiedBy","fieldNumber","individualCount","class","maximumElevationInMeters","yearIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","sex","monthIdentified","dayIdentified"
"1","2021-03-15 16:37:00-03","NY","NYBG","02681517","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Mimosa","lithoreas","Mimosa lithoreas","Barneby","L. M. Borges","629","2012","04","13","South America","Brazil","Minas Gerais","Guimarânia","Morro das Pedras. Rodovia MG 188, Patrocínio-Coromandel, 16,5 km a partir do trevo na BR 365; estrada de terra para o povoado de Pântano, via Tabuões, 10 km da MG 188; arredores das torres de transmissão, seguindo à esquerda em bifurcação estrada e depois à direita.","-46.86511","-18.72692","1268","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2957437' target='other'> <mi>dwc_moreinfo</mi></a>","NY02681517","NY02681517_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","2889","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Mimosa","lithoreas","Mimosa lithoreas","Barneby","H. S. Irwin","25461","1970","01","28","South America","Brazil","Minas Gerais",NA,"Morro das Pedras. Ca 25 km NE of Patrocínio. Alt. 1050 m.","-43.2485756","-19.9480039",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=50215' target='other'> <mi>dwc_moreinfo</mi></a>","NY00002889","NY00002889_01","isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2015-09-27 07:14:59-03","MNHN","RECOLNAT_MNHN_P","P00710312","PreservedSpecimen",NA,NA,NA,"Fabaceae","Mimosa","lithoreas","Mimosa lithoreas","Barneby","Irwin, H.S.|Onishi, E.|da Fonseca, S.F.|Souza, R.|Reis dos Santos, R.|Ramos, J.",NA,"1970","1","28",NA,"Brésil",NA,NA,"Estado de Minas Gerais, Morro das Pedras, ca. 25km N.E. of Patrocinio.",NA,NA,"1050","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00710312' target='other'> <mi>dwc_moreinfo</mi></a>","P00710312","P00710312_01","isotype","barneby","25461",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-04-15 10:38:00-03","MO","MOBOT","101190631","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Mimosa","lithoreas","Mimosa lithoreas","Barneby","Howard S. Irwin|Eunice Onishi|S.F. da Fonsêca|R. Souza|R. Reis dos Santos|J. Ramos","Irwin 25461","1970","1","28","South America","Brazil","Minas Gerais",NA,"Morro das Pedras. Ca. 25 km N.E. of Patrocínio.",NA,NA,"1050.00000000",NA,NA,NA,NA,"Holotype",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-09-12 05:00:02-03","US","US","3031997","PreservedSpecimen","Plantae",NA,"Rosales","Fabaceae","Mimosa","lithoreas","Mimosa lithoreas","Barneby","H. S. Irwin, E. Onishi, S. F. Fonsêca, R. Souza, R. G. P. Santos & J. F. Ramos","25461","1970","1","28","South America - Neotropics","Brazil","Minas Gerais",NA,"Morro das Pedras, ca. 25 km NE of Patrocinio.",NA,NA,"1050",NA,NA,"US00170498","US00170498_01","Isotype",NA,NA,"1","Dicotyledonae","1050",NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-11-13 11:22:46-03","USP","SPF","203267","PreservedSpecimen","Plantae",NA,NA,"Leguminosae","Mimosa","lithoreas","Mimosa lithoreas","Barneby","Oliveira, JE","s.n.","1947","07","24",NA,"Brasil","Minas Gerais",NA,"Estrada de Coromandel, km 170,5.",NA,NA,NA,NA,NA,"SPF00203267",NA,NA,"Borges, LM",NA,NA,NA,NA,"2012",NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 18:27:57-03","USP","SPF","217766","PreservedSpecimen","Plantae",NA,NA,"Leguminosae","Mimosa","lithoreas","Mimosa lithoreas","Barneby","Borges, LM","621","2012","04","13",NA,"Brasil","Minas Gerais","Coromandel","Morro das Pedras, Rodovia MG 188, Patrocínio-Coromandel, 16,5 km a partir do trevo na BR 365; estrada de terra para o povoado de Pântano, via Tabuões, 9,5 km da MG 188, estrada de acesso à propriedade particular à esquerda, logo antes de uma bifurcaç","-46.870083","-18.722917","1229",NA,"Subarbusto com xilopódio. Ramos reptantes tortuosos. Folhas verde-claras, eretas; eixos mais claros. Frutos velhos marrons. Sementes bege. População abundante e infértil. Amostra em sílica.; Campo graminoso úmido adjacente a campo ru","SPF00217766",NA,NA,"Borges, LM",NA,NA,NA,"1229","2012","-46.870083","-18.722917",NA,NA,NA,NA,NA
"8","2021-03-15 18:27:57-03","USP","SPF","217767","PreservedSpecimen","Plantae",NA,NA,"Leguminosae","Mimosa","lithoreas","Mimosa lithoreas","Barneby","Borges, LM","629","2012","04","13",NA,"Brasil","Minas Gerais","Guimarânia","Morro das Pedras, Rodovia MG 188, Patrocínio-Coromandel, 16,5 km a partir do trevo na BR 365; estrada de terra para o povoado de Pântano, via Tabuões, 10 km da MG 188; arredores das torres de transmissão, seguindo à esquerda em bifurcação estrada e d","-46.865111","-18.726917","1268",NA,"Subarbusto cespitoso com xilopódio. Ramos reptantes vináceo-escuros e curtos. Folhas eretas verde-claras com eixos mais claros. Pedúnculos vináceos. Brácteas e flores creme. Frutos jovens verdes; imaturos verdes a vináceos; maduros m","SPF00217767",NA,NA,"Borges, LM",NA,NA,NA,"1268","2012","-46.865111","-18.726917",NA,NA,NA,NA,NA
"9","2019-11-01 15:00:15-03","UnB","UB","1827","PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Fabaceae","Mimosa","lithoreas","Mimosa lithoreas","Barneby","Irwin, HS; Onishi, E; Fonsêca, SF; Souza, R","25461","1970","01","28","Southern America","Brasil","Minas Gerais",NA,"Ca. 25 km NE de Patrocínio",NA,NA,"1050",NA,"Tipo.; SubArbusto. Flor lavanda-magenta; Campo úmido.","UB0037289","UB0037289","holotype","Barneby, R",NA,NA,NA,"1050",NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-05 16:10:02-03","MN","R-TIPOS","162655","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Mimosa","lithoreas","Mimosa lithoreas","Barneby","Irwin, H.S.; Fonseca, S.F.; Souza, R.; Santos, R.R.& Ramos, J.","25461","1970","01","28",NA,"Brasil","Minas Gerais","Patrocínio","Morro das Pedras","-46.9925003051758","-18.9438991546631","1050",NA,NA,"R000162655","R000162655_001","Isotypus de Mimosa lithoreas Barneby","Barneby, R.",NA,NA,NA,"1050","1984",NA,NA,"44638","auto",NA,NA,NA
