"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","dayIdentified","infraspecificEpithet","typeStatus","class","individualCount","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","547596","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Habenaria","aphylla","Habenaria aphylla","Barb.Rodr.","Batista","E. P. Heringer","11358","1967","02","20","South America","Brazil","Distrito Federal","Brasília","Goiás, Brasília, D.F., Plano Pilôto.","-47.9294","-15.7797","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=459025' target='other'> <mi>dwc_moreinfo</mi></a>","NY00547596","NY00547596_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","547597","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Habenaria","aphylla","Habenaria aphylla","Barb.Rodr.","Batista","H. S. Irwin","26225","1970","02","06","South America","Brazil","Minas Gerais","Paracatú","Ca. 12 km N of Paracatu","-46.8744","-17.2222","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=459024' target='other'> <mi>dwc_moreinfo</mi></a>","NY00547597","NY00547597_01","950","950",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","547598","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Habenaria","aphylla","Habenaria aphylla","Barb.Rodr.","G. F. J. Pabst","H. S. Irwin","12086","1966","01","18","South America","Brazil","Distrito Federal","Brasília","Ca. 25 km E of Brasilia, DF","-47.9294","-15.7797","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=459023' target='other'> <mi>dwc_moreinfo</mi></a>","NY00547598","NY00547598_01","900","900",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-30 12:52:46-03","EAO","IAN","139235","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Orchidaceae","Habenaria","aphylla","Habenaria aphylla","Barb.Rodr.","Pabst, GFJ","Heringer, EP","11002","1966","02","15","Southern America","Brasil","Distrito Federal","Brasília",NA,"-47.9296989440918","-15.7797002792358",NA,"Planta do Cerrado.","IAN139235",NA,NA,NA,"70570","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-01 16:20:15-03","UNICAMP","UEC","118002","S","Plantae","Liliopsida",NA,"Orchidaceae","Habenaria","aphylla","Habenaria aphylla","Barb.Rodr.","Batista, JAN","Batista, JAN; Lemos, ARC","1069","2000","03","12",NA,"Brazil","Minas Gerais",NA,"Parque Nacional da Serra da Canastra, Campo a margem da estrada em direção a Cachoeira Casca D'Anta, cerca de 2.1 km após a entrada para a cachoeira a partir da estrada São Roque de Minas - Sacramento. Em campo limpo mais ou menos úmido. Solo escuro.",NA,NA,NA,"Erva terrestre, ocasional. Em plena floração. Flores verdes. Sépalos verdes com as nervuras discretamente destacadas em verde mais escuro. Pétalos com a base esbranquiçada ou verde-claro e para o ápice amarelados. Labelo verde-claro. C","UEC034467","UEC034467",NA,NA,NA,NA,"2000","03",NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-11-06 09:56:52-03","UFOP","OUPR","9704","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Habenaria","aphylla","Habenaria aphylla","Barb.Rodr.","Batista, J.A.N.","Badini, J.","s.n.","1975","03","11",NA,"Brasil","Minas Gerais","Ouro Preto","Chapada, Três Moinhos","-43.5080986022949","-20.2875003814697",NA,"Campos graminosos. Erva. Flores esverdeadas",NA,NA,NA,NA,"44599","auto","2004","01",NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-11-06 09:56:52-03","UFOP","OUPR","9703","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Habenaria","aphylla","Habenaria aphylla","Barb.Rodr.","Batista, J.A.N.","Badini, J.","s.n.",NA,NA,NA,NA,"Brasil","Minas Gerais","Ouro Preto","Chapada, Três Moinhos","-43.5080986022949","-20.2875003814697",NA,"Campo. Erva. Flores amarelo-esverdeadas",NA,NA,NA,NA,"44599","auto","2004","01",NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-12-21 16:38:30-03","MBM","MBM","49650","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Habenaria","aphylla","Habenaria aphylla","Barb. Rodr.","Pabst, G.","Hatschbach, G.","15064","1966","11","06","Southern America","Brazil","Paraná","Balsa Nova","Tamanduá","-49.6356010437012","-25.5839004516602",NA,NA,"MBM049650","MBM049650",NA,NA,"27346","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-12-21 16:38:30-03","MBM","MBM","34461","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Habenaria","aphylla","Habenaria aphylla","Barb. Rodr.","Pabst, G.","Hatschbach, G.; Anderson, W.; Gates, B.; Anderson, W.; Gates, B.","36074","1975","03","11","Southern America","Brazil","Mato Grosso","Cuiabá","BR-364, próximo ao Córrego Pindaival","-56.0966987609863","-15.5960998535156",NA,NA,"MBM034461","MBM034461",NA,NA,"74875","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-10-01 14:26:01-03","JBB","HEPH","22309","S","Plantae","Monocotyledon","Asparagales","Orchidaceae","Habenaria","crucifera","Habenaria crucifera","Rchb.f. & Warm.","Batista, JAN","Salles, AEH","3964","2006",NA,NA,"Southern America","Brasil","Distrito Federal","Brasília","Estação Ecológica do Jardim Botânico de Brasília, Próximo da divisa com FAL (mata da onça)","-47.9375","-15.8125",NA,NA,NA,NA,"1046","1046",NA,NA,"2012","08","-47.9375","-15.8125",NA,NA,NA,NA,NA,NA
