"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","yearIdentified","monthIdentified","dayIdentified","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","class","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","143998","PreservedSpecimen","Plantae","Lycopodiophyta","Lycopodiales","Lycopodiaceae","Huperzia","itambensis","Huperzia itambensis","B.Øllg.","isotype","W. R. Anderson","35783","1972","02","10","South America","Brazil","Minas Gerais","Serra do Espinhaço. Summit of Pico do Itambé","2250","2250","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=399018' target='other'> <mi>dwc_moreinfo</mi></a>","NY00143998","NY00143998_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-10-20 14:17:40-03","UFOPA","HSTM","6101","PreservedSpecimen","Plantae",NA,NA,"Lycopodiaceae","Phlegmariurus","itambensis","Phlegmariurus itambensis","(B.Øllg. & P.G.Windisch) B.Øllg.",NA,"Almeida, T.E.; s.c.","4312","2006","06","15",NA,"Brasil","Minas Gerais","Parque Estadual do Pico do Itambé, subida para o Pico pela vertente do distrito de Capivari. Campos rupestres e afloramentos rochosos.","1976","1976",NA,NA,"HSTM006101",NA,"Almeida, T.E.; Field, A.R.","2016","06","17","Serro","-43.350833","-18.396667","43º21'3''W","18º23'48''S",NA,NA,NA,NA
"3","2020-12-21 16:32:03-03","MBM","MBM","133199","PreservedSpecimen","Plantae",NA,NA,"Lycopodiaceae","Huperzia","itambensis","Huperzia itambensis","B. Ollg. & Wind.",NA,"Prado, J.; et al.; et al.","s.n.","1987","07","16","Southern America","Brazil","Minas Gerais","Santo Antônio do Itambé, estrada para o Pico do Itambé",NA,NA,NA,NA,"MBM133199","MBM133199","Prado, J.",NA,NA,NA,"Santo Antônio do Itambé","-43.3067016601562","-18.465799331665",NA,NA,"19014","auto",NA,NA
"4","2015-12-09 08:59:52-02","F","FMNH-PTERIDOPHYTES","C0664041F","PreservedSpecimen","Plantae","Lycopodiophyta",NA,"Lycopodiaceae","Huperzia","itambensis","Huperzia itambensis","B. Øllg. & P. G. Windisch",NA,NA,NA,NA,NA,NA,"South America","Brazil","Minas Gerais",NA,NA,NA,NA,NA,"C0664041F","C0664041F_01",NA,NA,NA,NA,NA,"-44","-18",NA,NA,NA,NA,"Lycopsida",NA
"5","2015-12-09 08:59:53-02","F","FMNH-PTERIDOPHYTES","C0664042F","PreservedSpecimen","Plantae","Lycopodiophyta",NA,"Lycopodiaceae","Huperzia","itambensis","Huperzia itambensis","B. Øllg. & P. G. Windisch",NA,NA,NA,NA,NA,NA,"South America","Brazil","Minas Gerais",NA,NA,NA,NA,NA,"C0664042F","C0664042F_01",NA,NA,NA,NA,NA,"-44","-18",NA,NA,NA,NA,"Lycopsida",NA
"6","2020-09-12 05:00:02-03","US","US","2709565","PreservedSpecimen","Plantae",NA,"Lycopodiales","Lycopodiaceae","Huperzia","itambensis","Huperzia itambensis","B. Øllg. & P.G. Windisch","Isotype","W. R. Anderson, M. T. Stieber & J. H. Kirkbride","35783","1972","2","10","South America - Neotropics","Brazil","Minas Gerais","Serra do Espinhaco, summit of Pico do Itambe.","2250","2250",NA,NA,"US00478878","US00478878_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pteridophyte","1"
"7","2020-04-29 16:30:35-03","UFVJM","HDJF","4755","PreservedSpecimen","Plantae","Pteridophyta",NA,"Lycopodiaceae","Phlegmariurus","itambensis","Phlegmariurus itambensis","(B.Øllg. & P.G.Windisch) B.Øllg.",NA,"Faria, JEQ; Soares, CCC","7418","2017","03","27","Southern America","Brasil","Minas Gerais","Área da mineradora Córego Novo, próximo ao distrito de Rio Pardo","1306","1306",NA,NA,"HDJF004755","HDJF004755_01","Gissi, DS","2017","03",NA,"Diamantina","-43.818333","-18.0325","-43.818333","-18.0325",NA,NA,NA,NA
"8","2020-03-04 20:43:20-03","UFMG","BHCB-SL","107107","PreservedSpecimen","Plantae",NA,NA,"Lycopodiaceae","Phlegmariurus","itambensis","Phlegmariurus itambensis","(B.Øllg. & P.G.Windsch) B.Øllg.",NA,"Almeida, TE; Heringer, G; Lara, DS; Costa, ACV","900","2007",NA,NA,"América","Brasil","Minas Gerais",NA,"129","129",NA,"Rupícola em sombra de rocha, no campo rupestre",NA,NA,"Øllgaard, BO","2014","02",NA,"Bocaiúvas","-43.770139","-17.905444","-43.770139","-17.905444",NA,NA,NA,NA
"9","2020-03-04 20:43:20-03","UFMG","BHCB-SL","85859","PreservedSpecimen","Plantae",NA,NA,"Lycopodiaceae","Phlegmariurus","itambensis","Phlegmariurus itambensis","(B.Øllg. & P.G.Windsch) B.Øllg.",NA,"Salino, A; Mota, NFO; Viana, PL","9356","2003",NA,NA,"América","Brasil","Minas Gerais","Parque Estadual do Rio Preto, Na área do Pico Dois Irmãos","1850","1850",NA,"Terrestre em campo rupestre no pico, crescendo junto com Vellozia.",NA,NA,"Øllgaard, BO","2014","02",NA,"São Gonçalo do Rio Preto","-43.309972","-18.207","-43.309972","-18.207",NA,NA,NA,NA
"10","2020-03-04 20:43:20-03","UFMG","BHCB-SL","101971","PreservedSpecimen","Plantae",NA,NA,"Lycopodiaceae","Phlegmariurus","itambensis","Phlegmariurus itambensis","(B.Øllg. & P.G.Windsch) B.Øllg.",NA,"Almeida, TE; Assis, FC; Heringer, G; Viana, MM; Teles, AM; Corrêa, VF","575","2006",NA,NA,"América","Brasil","Minas Gerais",NA,"193","193",NA,"Rupícola no campo rupestre",NA,NA,"Almeida, TE","2006","10",NA,"Santo Antônio do Itambé","-43.344167","-18.397778","-43.344167","-18.397778",NA,NA,NA,NA
