"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","yearIdentified","monthIdentified","county","verbatimLongitude","verbatimLatitude","class","relatedCatalogItem","fieldNumber","coordinatePrecision","individualCount","geoFlag"
"1","2021-03-15 16:37:00-03","NY","NYBG","00000667","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Lamiaceae","Hyptis","pinheiroi","Hyptis pinheiroi","Harley","isotype","R. M. Harley","16689","1974","03","04","South America","Brazil","Bahia","Serra do Curral Feio. 16 km NW of Lagoinha (5.5 km SW of Delfino) on side road to Minas do Mimoso.","-41.33","-10.37","950","1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=596460' target='other'> <mi>dwc_moreinfo</mi></a>","NY00000667","NY00000667_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-10-09 11:17:58-03","UFBA","ALCB","113092","PreservedSpecimen","Plantae","Dicotyledon",NA,"Lamiaceae","Leptohyptis","pinheiroi","Leptohyptis pinheiroi","(Harley) Harley & J.F.B. Pastore",NA,"Guedes, ML; Costa, TF; Alunos de Botânica III","21202","2014","01","18","Southern America","Brasil","Bahia","Piemonte da Diamantina, Capão do Pinho, Vila Ecológica Catinguara.","-41.016667","-11.6","840","840",NA,"caule estriado, folhas cartáceas, discolores. Inflorescência terminal, flores lilases.",NA,NA,"Guedes, ML","2018","01","Morro do Chapéu","-41.016667","-11.6",NA,NA,NA,NA,NA,NA
"3","2019-10-09 11:17:58-03","UFBA","ALCB","035607","PreservedSpecimen","Plantae","Dicotyledon",NA,"Lamiaceae","Leptohyptis","pinheiroi","Leptohyptis pinheiroi","(Harley) Harley & J.F.B. Pastore",NA,"Harley, RM; Giulietti, AM; Nic Lughadha, E; Gasson, P","PCD6137","1997","03","09","Southern America","Brasil","Bahia","Piemonte da Diamantina, Delfino, Estrada Velha Delfino-Mimoso de Minas, 22 km de Delfino","-41.311944","-10.401944","922","922",NA,"1,0 m. Brácteas verdes, cálice vináceo, corola lilás. Flores perfumadas. Frequente.; Solo arenoso branco.",NA,NA,"Antar, GM","2018","03","Senhor do Bonfim","-41.311944","-10.401944",NA,NA,NA,NA,NA,NA
"4","2020-02-08 09:32:36-03","NBC","NL-BOTANY","U 0002556","PreservedSpecimen","Plantae",NA,"Lamiales","Labiatae","Hyptis","pinheiroi","Hyptis pinheiroi","Harley","isotype","Harley RM; et al.",NA,"1974","03","04","Southern America","Brazil","Bahia","Estado de BahiaSerra do Curral Feio16km. North West of Lagoinha (5.5km. S.W. of Delfino) on side road to Minas do Mimoso.","-41.333333","-10.366667",NA,NA,NA,"Small stream with marsh on white sand and surrounding cerrado on sandstone rock exposures.<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200002556 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0002556","NL-U0002556",NA,NA,NA,NA,"-41.333333","-10.366667","Magnoliopsidae","488820 B",NA,NA,NA,NA
"5","2021-03-01 16:32:09-03","UNICAMP","UEC","131996","S","Plantae","Magnoliopsida",NA,"Lamiaceae","Hyptis","pinheiroi","Hyptis pinheiroi","Harley",NA,"Queiroz, LP; Oliveira, RP; Silva, MM; Correia, CMB","5372","1999","04","11",NA,"Brazil","Bahia","Serra do Curral Feio, Localmente referida como Serrada Empreitada; Cachoeirinha, à beira do rio Tabuleiro, ca. 10 Km NW de Delfino na estrada que sai pelo depósito de lixo.","-41.216667","-10.35",NA,NA,NA,"Arbusto ramificado, de 1.2 m de altura, aromático. Folhas coriáceas com face abaxial cinéreia. Flores com cálice verde, lacínios vináceos, corola lilás com fauce esbranquiçada, filetes e estilete liláses e anteras vináceas.; Campo rupe","UEC098702","UEC098702","Harley, RM","2001","05","Umburanas","-41.216667","-10.35",NA,NA,NA,NA,NA,NA
"6","2012-12-10 14:42:50-02","MNHN","RECOLNAT_MNHN_P","P00737250","PreservedSpecimen",NA,NA,NA,"Lamiaceae","Hyptis","pinheiroi","Hyptis pinheiroi","Harley","isotype","Harley, R.M.",NA,"1974","3","4",NA,"Brésil",NA,"Estado de Bahia : Serra do Curral Feio, 16 km. North West of Lagoinha (5.5km. S.W. of Delfino) on side road to Minas do Mimoso. Small stream with marsh on white sand and surrounding cerrado on sanostone rock exposures",NA,NA,"950","1000","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00737250' target='other'> <mi>dwc_moreinfo</mi></a>","P00737250","P00737250_01","Harley",NA,NA,NA,NA,NA,NA,NA,"16689",NA,NA,NA
"7","2020-12-11 11:36:54-03","UFMG","BHCB","89179","PreservedSpecimen","Plantae","Dicotyledon",NA,"Lamiaceae","Leptohyptis","pinheiroi","Leptohyptis pinheiroi","(Harley) Harley & J.F.B.Pastore",NA,"Queiroz, LP de; Oliveira, RP; Silva, MM da; Correia, C","5372","1999","04","11","Southern America","Brasil","Bahia","Serra do Curral Feio (localmente referida como serra da Empreitada), cachoeirinha à beira do rio Tabuleiro, ca. de 10 Km NW de Delfino na estrada que sai pelo depósito de lixo.","-41.216667","-10.35",NA,NA,NA,"Arbusto ramificado de ca. 1,2m alt., aromático. Folhas coriáceas com face abaxial cinérea. Flores com cálice verde, lacínios vináceos, corola lilás com fauce esbranquiçada, filetes e estiletes lilases e anteras vináceas.; Campo Rupest","BHCB041535",NA,NA,"2017","06","Umburanas","-41.216667","-10.35",NA,NA,NA,NA,NA,NA
"8","2015-08-13 05:50:00-03","MO","MOBOT","100509227","PreservedSpecimen","Plantae",NA,NA,"Lamiaceae","Hyptis","pinheiroi","Hyptis pinheiroi","Harley","Holotype","R.M. Harley|et al.","Harley 16689","1974","3","4","South America","Brazil","Bahia","Delfino, Serra do Curral Feio, 16 km NW of Lagoinha on the side of road to Minas do Mimoso.","-41.3264007568359","-10.7327995300293","950.00000000","1000.00000000",NA,NA,NA,NA,NA,NA,NA,"Umburanas",NA,NA,NA,NA,NA,"54853","1","auto"
"9","2021-03-04 11:05:31-03","UFRB","HURB","8203","PreservedSpecimen","Plantae",NA,NA,"Lamiaceae","Hyptis","cf. pinheiroi","Hyptis cf. pinheiroi","R.M. Harley",NA,"Guedes, M.L.; et al.","21202","2014","01","18",NA,"Brasil","Bahia","Capão do Pinho; Vila Ecológica Catinguara","-41.016667","-11.6","840","840",NA,NA,"HURB000008203",NA,"M.L. Guedes","2014","05","Morro do Chapéu","41°01'W","11°36'S",NA,NA,NA,NA,NA,NA
"10","2019-11-13 11:20:47-03","USP","SPF","38600","PreservedSpecimen","Plantae",NA,NA,"Lamiaceae","Hyptis","pinheiroi","Hyptis pinheiroi","Harley","isotype","Harley, RM; Renvoize, SA; Erskine, CM; Brighton, CA; Pinheiro, R","16689","1974","03","04",NA,"Brasil","Bahia","16 km North of Lagoinha (5,5 km SW of Delfino) on side road to Minas do Mimoso. small stream with marsh on white sand and surrounding cerrado on sandstone rock exposures.","-41.333333","-10.366667","950","1000",NA,NA,"SPF00038600",NA,NA,NA,NA,NA,"-41.333333","-10.366667",NA,NA,NA,NA,NA,NA
