"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","class","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","continentOcean","country","stateProvince","occurrenceRemarks","barcode","phylum","identifiedBy","recordNumber","year","month","day","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","imagecode","infraspecificEpithet","typeStatus","coordinatePrecision","individualCount","geoFlag","yearIdentified","monthIdentified","relatedCatalogItem"
"1","2020-02-08 08:54:48-03","NBC","NL-BOTANY","U 0110903","PreservedSpecimen","Plantae","Magnoliopsidae","Caryophyllales","Cactaceae","Micranthocereus","polyanthus","Micranthocereus polyanthus","(Werderm.) Backeb.","Horst L","Southern America","Brazil","Bahia","<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200110903 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0110903",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-01 16:27:13-03","UNICAMP","UEC","114976","S","Plantae",NA,NA,"Cactaceae","Micranthocereus","polyanthus","Micranthocereus polyanthus","(Werderm.) Backeb.","Aona, LYS; Belinello, R",NA,"Brazil","Bahia","1m de altura, ramificando ma base, espinhos alongados na base até 9,5 cm de comprimento. Medula mucilaginosa, aréola 8 - 9 mm, fruto pink.","UEC041150","Magnoliopsida","Aona, LYS","729","2000","08","19","Caetité","9 Km de estrada de terra para Brejinho das Ametistas, estrada para Sítio São João. Afloramento dentro de mata.","-42.466389","-14.131389","-42.466389","-14.131389","900","900","UEC041150",NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-01 16:27:13-03","UNICAMP","UEC","198816","S","Plantae",NA,NA,"Cactaceae","Micranthocereus","polyanthus","Micranthocereus polyanthus","(Werderm.) Backeb.","Mendes, DB; Machado, M",NA,"Brazil","Bahia","Área arenosa entre afloramentos de granito","UEC156445","Magnoliopsida",NA,"20","2015","11","06","Caetité","Próximo ao cemitério de brejinho das ametistas. No mesmo local também havia <em>Melochatus bahiensis, Melocatus zehnteri, Pilosocereus pachycladus, Tacinga inamoema.</em>","-42.526361","-14.266694","-42.526361","-14.266694","840","840","UEC156445",NA,NA,NA,NA,NA,NA,NA,NA
"4","2014-06-04 13:13:00-03","MO","MOBOT","100711293","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Micranthocereus","polyanthus","Micranthocereus polyanthus alvinii","M. Machado & Hofacker","M. Machado","South America","Brazil","Bahia",NA,NA,NA,NA,"Machado 32","2003","7","8","Morro do Chapéu","Cerca de las montañas de Morro de Chapéu","-41.1561012268066","-11.5500001907349",NA,NA,NA,NA,NA,"alvinii","Holotype","98143","1","auto",NA,NA,NA
"5","2021-03-30 15:58:34-03","UFRB","HURB","13641","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Micranthocereus","polyanthus","Micranthocereus polyanthus","(Werdern.) Backeb.","Mendes, D. B.; Machado, M.",NA,"Brasil","Bahia","no mesmo local também havia Cereus albicaulis, Melocactus bahiensis, Pilosocereus pachycladus, Tacinga inamoena.","HURB000013641",NA,NA,"33","2015","11","07","Condeúba","ca. 7km ao Sul de Cordeiros; na BA-148, chega-se ao povoadoAlvorada, dobrar a direita (oeste) no ponto 15º05'15S, 41º57'57W em estrada de chão após 14,7 km, área de areias brancas na base de afloramentos de arenito à esquerda da estrada","-41.079556","-15.132778","41º04'46,4W","15º07'58S","839","839","HURB000013641",NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-04 11:04:45-03","UFRB","HURB","13628","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Micranthocereus","polyanthus","Micranthocereus polyanthus","(Werderm.) Backeb.","Mendes, D. B.; Machado, M.",NA,"Brasil","Bahia","No mesmo local havia: Melocactus bahiensis, Melocactus zehntneri, Pilosocereus pachycladus, Tacinga inamoena..","HURB000013628",NA,NA,"20","2015","11","06","Caetité","Brejinho das Ametistas; próximo ao cemitério de Brejinho das Ametistas","-42.526361","-14.266694","42º31'34,9W","14º16'00,1S","840","840","HURB000013628",NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-06-15 15:29:44-03","UNESP-RC","HRCB","13941","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Micranthocereus","polyanthus","Micranthocereus polyanthus","(Werderm.) Backeb.","Taylor, N. P.",NA,"Brasil","Bahia","Widespread. Sterile at this time of year; plants with 16 - 20 ribs; tissues without wood",NA,NA,"Sena, L.Y.S.","1537","1991","02","02","Caetité",NA,"-42.4749984741211","-14.0693998336792",NA,NA,"950","950",NA,NA,NA,"53684",NA,"auto","2007","06",NA
"8","2020-06-15 15:29:44-03","UNESP-RC","HRCB","13044","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Micranthocereus","polyanthus","Micranthocereus polyanthus","(Werderm.) Backeb.","Eggli, U.",NA,"Brasil","Bahia","Solitary or mostly offsetting from the base, upright or prostrate-upright, to 0,6 m high. Spination very variable, soft-bristly to very pungent and hard, whitish, yellowish to brownish-pale grey, with",NA,NA,"Sena, L.Y.S.","1309","1988","08","27",NA,NA,NA,NA,NA,NA,"900","900",NA,NA,NA,NA,NA,NA,"2007","06",NA
"9","2020-06-15 15:29:44-03","UNESP-RC","HRCB","12047","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Micranthocereus","polyanthus","Micranthocereus polyanthus","(Werderm.) Backeb.","Zappi, D.C.",NA,"Brasil","Bahia","Plantas cespitosas 80 cm alt., epid azulada, aréolas lanosas, plântulas com cerdas na base, muito lanosas. Caules até 1m compr., 5,5 cm diam., aréolas floríferas voltadas para N e cladódios curvados p",NA,NA,"Sena, L.Y.S.","176","1989","07","26","Caetité","Brejinho das Ametistas","-42.4749984741211","-14.0693998336792",NA,NA,NA,NA,NA,NA,NA,"53684",NA,"auto","2007","06",NA
"10","2019-11-13 11:17:20-03","USP","SPF","80971","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Micranthocereus","polyanthus","Micranthocereus polyanthus","(Werderm.) Backeb.","Zappi, DC",NA,"Brasil","Bahia",NA,"SPF00080971",NA,"Aona, LYS","176","1989","07","26","Caetité",NA,"-42.4749984741211","-14.0693998336792",NA,NA,NA,NA,NA,NA,NA,"53684",NA,"auto","2007","06",NA
