"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","maximumElevationInMeters","yearIdentified","monthIdentified","dayIdentified","class","verbatimLongitude","verbatimLatitude","fieldNumber","individualCount","typeStatus","infraspecificEpithet","coordinatePrecision","geoFlag"
"1","2021-03-15 16:37:00-03","NY","NYBG","3982969","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Polypodiaceae","Alansmia","senilis","Alansmia senilis","(Fée) Moguel & M.Kessler","B.R. Chambi","270","2006","04","05","South America","Peru","Cusco","Paucartambo","Cusco, Waiquichas.","-71.58","-13.19","2600","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4279397' target='other'> <mi>dwc_moreinfo</mi></a>","NY03982969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","3982966","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Polypodiaceae","Alansmia","senilis","Alansmia senilis","(Fée) Moguel & M.Kessler","R. C. Moran","6887","2004","02","18","South America","Ecuador","Carchi",NA,"Estación Biológica La Guandera.","-77.7","0.58","3310","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4279394' target='other'> <mi>dwc_moreinfo</mi></a>","NY03982966",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","3982984","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Polypodiaceae","Alansmia","senilis","Alansmia senilis","(Fée) Moguel & M.Kessler","M. L. Grant","10768Station 109","1945","02","02","South America","Colombia","Magdalena",NA,"Cordillera Oriental. Sierra de Perijá, 8 km east-ne of Manarare, 44 km. east of Valledupar, 5 km. from the Venezuelan border.",NA,NA,"2375","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4279412' target='other'> <mi>dwc_moreinfo</mi></a>","NY03982984","NY03982984_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","3982958","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Polypodiaceae","Alansmia","senilis","Alansmia senilis","(Fée) Moguel & M.Kessler","R. C. Moran","7544","2005","02","24","South America","Ecuador","Napo","Quijos","Baeza, along road leading to radio towers behind town, near radio towers, just within gated entrance.","-77.8997","-1.4833","2500","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4279386' target='other'> <mi>dwc_moreinfo</mi></a>","NY03982958",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","3982977","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Polypodiaceae","Alansmia","senilis","Alansmia senilis","(Fée) Moguel & M.Kessler","T. B. Croat","59418","1984","11","29","South America","Venezuela","Amazonas",NA,"Cerro Neblina; canp #7, south slopes of Cañon Grande, along river below camp.","-66","0.83","1800","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4279405' target='other'> <mi>dwc_moreinfo</mi></a>","NY03982977",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","3982970","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Polypodiaceae","Alansmia","senilis","Alansmia senilis","(Fée) Moguel & M.Kessler","H. H. Smith","1035","1899","03",NA,"South America","Colombia",NA,NA,"Santa Marta. Sierra del Libano.",NA,NA,"1829","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4279398' target='other'> <mi>dwc_moreinfo</mi></a>","NY03982970","NY03982970_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","3982979","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Polypodiaceae","Alansmia","senilis","Alansmia senilis","(Fée) Moguel & M.Kessler","I. L. Wiggins","10307","1944","06","11","South America","Ecuador","Imbabura",NA,"Mt. El Corazone, 3 km. N. of Sigsipamba, at junction of Río Blanco & Quebrada Cariyacu.",NA,NA,"2926","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4279407' target='other'> <mi>dwc_moreinfo</mi></a>","NY03982979",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","3982967","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Polypodiaceae","Alansmia","senilis","Alansmia senilis","(Fée) Moguel & M.Kessler","W. D. Rodríguez-Duque","4282","2003","11","12","South America","Colombia","Antioquia",NA,"Mpio: Anorí. Vereda San Antonio, nacimientos de la Quebrada San Antonio, límites finca El Cielo y la de Don Pedro.","-75.07417","7.26628","790","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4279395' target='other'> <mi>dwc_moreinfo</mi></a>","NY03982967",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","1580364","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Polypodiaceae","Alansmia","senilis","Alansmia senilis","(Fée) Moguel & M.Kessler","D. Sanín","5089","2011","07","27","South America","Colombia","Antioquia","Frontino","Parque Nacional Natural Las Orquídeas, sector de Venados, vereda Venados Abajo, sitio La Miquera, bosque dominado por Weittinia, Alfaroa y Aiphanes, abierto y con sotobosque denso","-76.30056","6.54042","1000",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1661670' target='other'> <mi>dwc_moreinfo</mi></a>","NY01580364","NY01580364_02","R. C. Moran","1030",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","3982994","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Polypodiaceae","Alansmia","senilis","Alansmia senilis","(Fée) Moguel & M.Kessler","R. S. Williams","2603","1902","04","30","South America","Bolivia","La Paz","Franz Tamayo","Pelechuco [Pelichuco]",NA,NA,"2743","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4279422' target='other'> <mi>dwc_moreinfo</mi></a>","NY03982994","NY03982994_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
