"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","barcode","imagecode","recordNumber","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","coordinatePrecision","geoFlag","phylum","class","order","typeStatus","continentOcean","individualCount"
"1","2021-04-05 14:34:14-03","UNESC","CRI","10343","PreservedSpecimen","Plantae","Urticaceae","Pilea","hydra","Pilea hydra","P.Brack","F.S. Cabral","2017","04","11","Robson dos Santos; Alecsandro S. Klein & Vanilde C. Zanete","2001","11","19","Brasil","Santa Catarina","Praia Grande","Aparados da Serra.","-49.950556","-29.197222","49º57'2''W","29º11'50''S","CRI007761","CRI007761",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:34:14-03","UNESC","CRI","10341","PreservedSpecimen","Plantae","Urticaceae","Pilea","hydra","Pilea hydra","P.Brack","F.S. Cabral","2017","04","11","Robson dos Santos; Alecsandro S. Klein & Vanilde C. Zanete","2001","11","18","Brasil","Santa Catarina","Praia Grande","Aparados da Serra.","-49.950556","-29.197222","49º57'2''W","29º11'50''S","CRI007762","CRI007762",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:34:14-03","UNESC","CRI","3420","PreservedSpecimen","Plantae","Urticaceae","Pilea","hydra","Pilea hydra","P.Brack","F.S. Cabral","2017","04","11","Robson dos Santos","1994","12","13","Brasil","Santa Catarina","Praia Grande","Interior do Canion do Itaimbezinho.","-49.950278","-29.196667","49º57'1''W","29º11'48''S","CRI007758","CRI007758","193","47","47","Habitat: mata atlântica Habito: erva",NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:34:14-03","UNESC","CRI","11221","PreservedSpecimen","Plantae","Urticaceae","Pilea","hydra","Pilea hydra","P.Brack","F.S. Cabral","2017","04","11","L.A. Funez","2012","10","15","Brasil","Santa Catarina","Rodeio","Próximo a divisa com Benedito Novo, morro do Ipiranga.","-49.368611","-26.924167","49º22'7''W","26º55'27''S","CRI007757","CRI007757","1111","87","87","Floresta Ombrófila Densa Habitat: aderidade à rocha em pequena cachoeira Habito: erva rupícola",NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-31 13:41:39-03","MN","R","158838","PreservedSpecimen","Plantae","Urticaceae","Pilea","hydra","Pilea hydra","P.Brack","Carrijo, T.T.","2007","05","17","Smith, L.B.; Reitz, R.","1957","01","17","Brasil","Santa Catarina","Orleans",NA,"-49.2914009094238","-28.3589000701904",NA,NA,"R010026456",NA,"10244","1200","1200",NA,"31549","auto",NA,NA,NA,NA,NA,NA
"6","2019-08-27 13:33:54-03","IAP","PACA-AGP","11571","PreservedSpecimen","Plantae","Urticaceae","Pilea","hydra","Pilea hydra","Brack","P. Brack","1989","08",NA,"P. Buck SJ","1944","01",NA,"Brasil","RS","São Francisco de Paula","Fazenda Englert","-50.5835990905762","-29.4480991363525",NA,NA,"PACA011571","PACA011571",NA,NA,NA,"PARATYPUS. Habitat: in araucarieto humido Fenofase: flor","76715","auto","Magnoliophyta","Magnoliatae","Urticales","Paratipo",NA,NA
"7","2020-10-14 10:06:59-03","FURB","FURB","39300","PreservedSpecimen","Plantae","Urticaceae","Pilea","hydra","Pilea hydra","P.Brack","Cabral, F.S.","2017","04","11","Funez, L.A.","2012","10","15","Brasil","Santa Catarina","Rodeio","Próximo a divisa com Benedito Novo, morro do Ipiranga.","-49.4041667","-26.8713889","-49.4041667","-26.8713889","FURB45132","FURB45132","1111","799","799","Grande adensamento destas plantas em um único lugar cobrindo as rochas de uma pequena cachoeira. Habitat: Floresta Ombrófila Densa; aderida à rocha em pequena cachoeira Habito: erva rupícola;",NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-11-08 08:56:52-03","FURB","FURB","52498","PreservedSpecimen","Plantae","Urticaceae","Pilea","hydra","Pilea hydra","P.Brack","F.S. Cabral","2017","03","14","Funez, L.A.","2016","12","05","Brasil","Santa Catarina","Benedito Novo","Fazenda Cristal.","-49.4361111","-26.9108333","-49.4361111","-26.9108333","FURB52498","FURB52498","5997","915","915",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-06-22 11:12:00-03","MO","MOBOT","2483141","PreservedSpecimen","Plantae","Urticaceae","Pilea","hydra","Pilea hydra","P. Brack","P. Brack",NA,NA,NA,"Marcos Sobral",NA,NA,NA,"Brazil","Rio Grande do Sul",NA,"Osório. Aratinga",NA,NA,NA,NA,NA,NA,"Sobral 3755",NA,NA,NA,NA,NA,NA,NA,NA,"Holotype","South America","1"
"10","2020-08-20 15:00:21-03","UFSC","FLOR","51281","PreservedSpecimen","Plantae","Urticaceae","Pilea","hydra","Pilea hydra","P.Brack","Gaglioti, A.L.","2015","05","22","Trevisan, R.","2013","12","07","Brasil","Santa Catarina","Urubici","Parque Nacional (PARNA) São Joaquim.","-49.618611","-28.146944","49º37'7''W","28º8'49''S","FLOR0051281",NA,"1396","1344","1344",NA,NA,NA,NA,NA,"Rosales",NA,NA,NA
"11","2020-08-20 15:00:21-03","UFSC","FLOR","59077","PreservedSpecimen","Plantae","Urticaceae","Pilea","hydra","Pilea hydra","P.Brack","F.S. Cabral","2015","12",NA,"Fiaschi, P.; Jaramillo, J.C.","2015","12","06","Brasil","Santa Catarina","Urubici","Cascata do Avencal, Estrada Urubici-São Joaquim, saída à dir. Trilha de acesso à parte de baixo da cachoeira.","-49.614444","-28.038889","49º36'52''W","28º2'20''S","FLOR0059077","FLOR0059077","4580",NA,NA,"Erva rupícola, pouco antes da cascata. Inflorescência delicada, nos nós distais, de coloração verde bem claro",NA,NA,NA,NA,"Rosales",NA,NA,NA
"12","2020-08-20 15:00:21-03","UFSC","FLOR","68235","PreservedSpecimen","Plantae","Urticaceae","Pilea","hydra","Pilea hydra","P.Brack","Soares, J.F.","2019","12",NA,"Falkenberg, D.B.","1997","03","23","Brasil","Rio Grande do Sul","Maquiné","Serra do Umbu, entre Maquiné e São Francisco de Paula, a ca 30km da rodovia BR 101.","-50.2071990966797","-29.6749992370605",NA,NA,"FLOR0068235",NA,"9751","500","500","erva rupícola, 30 a 50cm alt., flores creme esverdeadas, folhas discolores, muito variáveis em tamanho. Beira de mata atlântica de encosta, em paredão rochoso","28094","auto",NA,NA,"Rosales",NA,NA,NA
"13","2020-08-20 15:00:21-03","UFSC","FLOR","27479","PreservedSpecimen","Plantae","Urticaceae","Pilea","hydra","Pilea hydra","P.Brack","Soares, J.F.","2019","12",NA,"Jarenkow, J.A.","1993","02","25","Brasil","Rio Grande do Sul","Morrinhos do Sul","Perdida.","-49.934700012207","-29.3649997711182",NA,NA,"FLOR0027479",NA,"2331",NA,NA,"erva terrícola, inflorescência esbranquiçada. Duplicata de PEL 14079 Habitat: borda de mata atlântica de encosta, em local sombrio e úmido","12766","auto",NA,NA,"Rosales",NA,NA,NA
"14","2021-02-08 12:46:07-03","UFRGS","ICN","063889","S","Plantae","Urticaceae","Pilea","hydra","Pilea hydra","Brack","Brack, P",NA,NA,NA,"Sobral, M","1984","02","02","Brasil","RS","Osório","Aratinga estrada Tainhas Itati","-50.2696990966797","-29.8866996765137",NA,NA,"ICN00000584","ICN00000584 ICN00000584_1 ICN00000584_2","3755","700","700","beira de estrada","27350","auto","Dicotyledon",NA,NA,"Holotypus","América do Sul",NA
"15","2021-02-08 12:46:07-03","UFRGS","ICN","067148","S","Plantae","Urticaceae","Pilea","hydra","Pilea hydra","Brack","Brack, P",NA,NA,NA,"Brack, P","1986","06","29","Brasil","RS","São Francisco de Paula","Tainhas","-50.5835990905762","-29.4480991363525",NA,NA,"ICN00000582","ICN00000582 ICN00000582_1","s.n.","700","700","Espécie ameaçada de extinção (Criticamente em perigo).; Em fundo de cascata.","76715","auto","Dicotyledon",NA,NA,"Paratypus","América do Sul",NA
"16","2021-02-08 12:46:07-03","UFRGS","ICN","063885","S","Plantae","Urticaceae","Pilea","hydra","Pilea hydra","Brack","Brack, P",NA,NA,NA,"Sobral, M",NA,NA,NA,"Brasil","SC","Praia Grande","Faxinalzinho","-49.9502983093262","-29.1966991424561",NA,NA,"ICN00000583","ICN00000583 ICN00000583_1","2860",NA,NA,"Espécie ameaçada de extinção (Criticamente em perigo).; Erva com flores brancas.; sobre pedras; beira da mata.","21549","auto","Dicotyledon",NA,NA,"Paratypus","América do Sul",NA
"17","2021-02-08 12:46:07-03","UFRGS","ICN","067149","S","Plantae","Urticaceae","Pilea","hydra","Pilea hydra","Brack","Cabral, FS","2017","05","17","Brack, P; et al.","1986","06","28","Brasil","RS","Osório","Aratinga","-50.2696990966797","-29.8866996765137",NA,NA,NA,NA,"s.n.","800","800","Espécie ameaçada de extinção (Criticamente em perigo).; Erva; no fundo de uma cascatinha na beira de estrada.","27350","auto","Dicotyledon",NA,NA,NA,"América do Sul",NA
"18","2021-02-08 12:46:07-03","UFRGS","ICN","065478","S","Plantae","Urticaceae","Pilea","hydra","Pilea hydra","Brack","Brack, P",NA,NA,NA,"Stehmann, JR","1986","03","08","Brasil","SC","Praia Grande","Cânion Faxinalzinho","-49.9502983093262","-29.1966991424561",NA,NA,NA,NA,"s.n.",NA,NA,"Espécie ameaçada de extinção (Criticamente em perigo).","21549","auto","Dicotyledon",NA,NA,NA,"América do Sul",NA
"19","2021-02-08 12:46:07-03","UFRGS","ICN","114963","S","Plantae","Urticaceae","Pilea","hydra","Pilea hydra","Brack","Cabral, FS","2017","05","17","Brack, P","1988","04","17","Brasil","SC","Praia Grande","Faxinalzinho","-49.9502983093262","-29.1966991424561",NA,NA,NA,NA,"71",NA,NA,NA,"21549","auto","Dicotyledon",NA,NA,NA,"América do Sul",NA
"20","2021-02-08 12:46:07-03","UFRGS","ICN","067145","S","Plantae","Urticaceae","Pilea","hydra","Pilea hydra","Brack","Cabral, FS","2017","05","17","Brack, P","1986","06","29","Brasil","RS","Osório","Barra do Ouro estrada Barra do Ouro-Riozinho","-50.2696990966797","-29.8866996765137",NA,NA,NA,NA,"s.n.","700","700","Espécie ameaçada de extinção (Criticamente em perigo).","27350","auto","Dicotyledon",NA,NA,NA,"América do Sul",NA
