"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","preparationType","occurrenceRemarks","barcode","maximumElevationInMeters","identifiedBy","yearIdentified","class","imagecode","verbatimLongitude","verbatimLatitude","typeStatus","individualCount","monthIdentified","dayIdentified","county","coordinatePrecision","geoFlag"
"1","2021-03-15 16:37:00-03","NY","NYBG","03929600","PreservedSpecimen","Plantae","Pteridophyta","Hymenophyllales","Hymenophyllaceae","Trichomanes","macilentum","Trichomanes macilentum","Bosch","J. M. Beitel","85044","1985","01","27","South America","Venezuela","Amazonas","Dpto. Rio Negro. Cerro de la Neblina Expedition. Neblína Base Camp on Rto Barlo (=Río Mawarínuma), se of camp, along path from airport to Boom plot and In Boom plot.","-66.1611","0.8306","140","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4215290' target='other'> <mi>dwc_moreinfo</mi></a>","NY03929600",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","03929601","PreservedSpecimen","Plantae","Pteridophyta","Hymenophyllales","Hymenophyllaceae","Trichomanes","macilentum","Trichomanes macilentum","Bosch","J. M. Beitel","85242","1985","02","21","South America","Venezuela","Amazonas","Dpto. Río Negro. Cerro de La Neblina Expedition. Neblina Base Camp on Rio Barío (=Rio Mawarinuma), left bank, southeast of Base Camp, along small, black-water stream that runs past abandoned airport clearing.","-66.1611","0.8306","140","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4215320' target='other'> <mi>dwc_moreinfo</mi></a>","NY03929601",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","03929598","PreservedSpecimen","Plantae","Pteridophyta","Hymenophyllales","Hymenophyllaceae","Trichomanes","macilentum","Trichomanes macilentum","Bosch","M. J. Jansen-Jacobs","1601","1989","09","15","South America","Guyana",NA,"Kamoa River. forest Between camp and Toucan Mountain.","-58.83","1.53","260","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4215215' target='other'> <mi>dwc_moreinfo</mi></a>","NY03929598",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","03929599","PreservedSpecimen","Plantae","Pteridophyta","Hymenophyllales","Hymenophyllaceae","Trichomanes","macilentum","Trichomanes macilentum","Bosch","J. M. Beitel","85020","1985","01","24","South America","Venezuela",NA,"Dpto. Rio Negro. Cerro de la Neblina Expedition. Vic. of San Carlos de Rio Negro, road SE of airport past cemetery to Solano.",NA,NA,"100","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4215234' target='other'> <mi>dwc_moreinfo</mi></a>","NY03929599","150",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-30 12:50:56-03","EAO","IAN","50084","PreservedSpecimen","Plantae","Fern",NA,"Hymenophyllaceae","Trichomanes","macilentum","Trichomanes macilentum","Bosch","Pires, JM","1909","1947",NA,NA,"Southern America","Brasil","Amazonas","Rio Uaupés.",NA,NA,NA,NA,NA,"IAN050084",NA,"Brade, AK","1961",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-02-08 10:41:59-03","NBC","NL-BOTANY","L.3648092","PreservedSpecimen","Plantae",NA,"Hymenophyllales","Hymenophyllaceae","Trichomanes","macilentum","Trichomanes macilentum","Bosch","Spruce R",NA,"1850","12","01","Southern America","Brazil",NA,"in vicinibus Barra Prov Rio Negro.",NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.3648092 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L3648092",NA,NA,NA,"Pteropsida","NL-L3648092",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-02-08 10:41:59-03","NBC","NL-BOTANY","L.3720796","PreservedSpecimen","Plantae",NA,"Hymenophyllales","Hymenophyllaceae","Trichomanes","macilentum","Trichomanes macilentum","Bosch","Edwards PJ",NA,"1979","04","15","Southern America","Guyana",NA,"Stream gully c 1 mile E of camp 3. Upper Mazaruni District, eastern slopes of Eboropu Mountain, 3-5 miles upstream on Saydak Creek from its junction with Kako river.","-60.675","5.691667",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.3720796 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L3720796",NA,NA,NA,"Pteropsida","NL-L3720796","-60.675","5.691667",NA,NA,NA,NA,NA,NA,NA
"8","2020-02-08 10:41:59-03","NBC","NL-BOTANY","U.1022483","PreservedSpecimen","Plantae",NA,"Hymenophyllales","Hymenophyllaceae","Trichomanes","macilentum","Trichomanes macilentum","Bosch","Flora Falcon",NA,"1979","05","23","Southern America","Venezuela",NA,"Flora del Estado Falcon. Sierra de San Luis, Montaña de Paraguariba, 3 km E de Cerro Galicia.",NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1022483 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1022483",NA,NA,NA,"Pteropsida","NL-U1022483",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-02-08 10:41:59-03","NBC","NL-BOTANY","U.1022543","PreservedSpecimen","Plantae",NA,"Hymenophyllales","Hymenophyllaceae","Trichomanes","macilentum","Trichomanes macilentum","Bosch","Sanchez S M",NA,"1988","09","26","Southern America","Colombia",NA,"Amazonas, rio Caquetá, margen derecha (bajando). frente de la Isla el Tigre 1.5km.",NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1022543 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1022543",NA,NA,NA,"Pteropsida","NL-U1022543",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2016-02-02 14:38:20-02","BGBM","B","B 20 0105053","S","Plantae",NA,NA,"Hymenophyllaceae","Trichomanes","macilentum","Trichomanes macilentum","Bosch","R. Spruce",NA,"1850","12",NA,"Middle and South America","Brazil",NA,"in vicinibus Barra, Prov. Rio Negro.",NA,NA,NA,NA,"<a href=http://herbarium.bgbm.org/object/B200105053 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","B200105053",NA,NA,NA,NA,"B200105053",NA,NA,"isotype",NA,NA,NA,NA,NA,NA
"11","2015-09-03 16:51:59-03","MNHN","RECOLNAT_MNHN_P","P01304279","PreservedSpecimen",NA,NA,NA,"Pteridophyta","Trichomanes","macilentum","Trichomanes macilentum","Bosch","Zeller",NA,NA,NA,NA,NA,"Brasil",NA,"Para",NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01304279' target='other'> <mi>dwc_moreinfo</mi></a>","P01304279",NA,NA,NA,NA,"P01304279_01 P01304279_02",NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2015-09-03 17:26:26-03","MNHN","RECOLNAT_MNHN_P","P01482722","PreservedSpecimen",NA,NA,NA,"Pteridophyta","Trichomanes","macilentum","Trichomanes macilentum","Bosch","Glaziou, A.",NA,"1866","9","16",NA,"Brésil",NA,"Corcovado",NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01482722' target='other'> <mi>dwc_moreinfo</mi></a>","P01482722",NA,NA,NA,NA,"P01482722_01 P01482722_02",NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2008-05-27 22:02:00-03","MO","MOBOT","3388879","PreservedSpecimen","Plantae",NA,NA,"Hymenophyllaceae","Trichomanes","macilentum","Trichomanes macilentum","Bosch","G. Romero","Romero 2133b","1989","10","20","South America","Venezuela","Amazonas","Sabana de arena blanca al N de San Juan de Ucata, anegadiza, con pequeños afloramientos graníticos (lajas), hasta bosque medio anegadizo al S y SE de la sabana.","-67.81666","4.33333","70.00000000",NA,NA,NA,"80.00000000","Smith",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2014-02-25 05:40:00-03","MO","MOBOT","3386257","PreservedSpecimen","Plantae",NA,NA,"Hymenophyllaceae","Trichomanes","macilentum","Trichomanes macilentum","Bosch","Ángel Fernández|Gerardo Aymard","Fernández 4872","1988","11",NA,"South America","Venezuela","Bolívar","Municipio Raul Leoni bosque de altiplanicie en orilla de Quebrada parte N del Macizo Guanacoco.","-63.88333","4.95","770.00000000",NA,NA,NA,NA,"Moran",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2011-06-09 18:03:00-03","MO","MOBOT","3386323","PreservedSpecimen","Plantae",NA,NA,"Hymenophyllaceae","Trichomanes","macilentum","Trichomanes macilentum","Bosch","Gerardo Aymard","Aymard C. 9249","1991","4","25","South America","Venezuela","Amazonas","Dept Casiquiare. Caño San Miguel. Sector Las Tinajas. Arbustales (Bana) con bosques bajos sobre suelos Quarzsisamet.","-66.75","2.65","160.00000000",NA,NA,NA,NA,"Smith",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2015-02-19 21:38:00-02","MO","MOBOT","3386559","PreservedSpecimen","Plantae",NA,NA,"Hymenophyllaceae","Trichomanes","macilentum","Trichomanes macilentum","Bosch","Joseph M. Beitel","Beitel 85242","1985","2","21","South America","Venezuela","Amazonas","Neblina Base Camp on rio Bario (=Rio Mawarinuma), left bank, southeast of Base Camp, along small, black-water stream that runs past abandoned airport clearing, tropical lowland evergreen forest.","-66.16111","0.83055","140.00000000",NA,NA,NA,NA,"Smith",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2011-06-09 18:03:00-03","MO","MOBOT","3386595","PreservedSpecimen","Plantae",NA,NA,"Hymenophyllaceae","Trichomanes","macilentum","Trichomanes macilentum","Bosch","Gerardo Aymard","Aymard C. 9038","1991","4","20","South America","Venezuela","Amazonas","Dept. Casiquiare. Caño San Miguel. bosques medios de tierra firme, en colina residual.","-66.83333","2.65","160.00000000",NA,NA,NA,NA,"Smith",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2015-02-19 21:38:00-02","MO","MOBOT","3386735","PreservedSpecimen","Plantae",NA,NA,"Hymenophyllaceae","Trichomanes","macilentum","Trichomanes macilentum","Bosch","Joseph M. Beitel","Beitel 85044","1985","1","27","South America","Venezuela","Amazonas","Neblina Base Camp on Rio Bario (= Rio Mawarinuma), so of camp, edge of unfinished airport clearing, tropical lowland evergreen forest along small blackwater stream.","-66.16111","0.83055","140.00000000",NA,NA,NA,NA,"Smith",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2014-02-25 05:40:00-03","MO","MOBOT","3386999","PreservedSpecimen","Plantae",NA,NA,"Hymenophyllaceae","Trichomanes","macilentum","Trichomanes macilentum","Bosch","Elio Sanoja|Ángel Fernández|Manuel Yánez","Sanoja 3364","1989","10",NA,"South America","Venezuela","Amazonas","Dpto. Atures. Serrania Batata, 2km al NE de Salto Colorado, Caño Colorado sobre corazas lateriticas, 55 km km SE Puerto Ayacucho.","-67.13333","5.55","550.00000000",NA,NA,NA,NA,"Smith",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2010-11-22 06:24:00-02","MO","MOBOT","3389274","PreservedSpecimen","Plantae",NA,NA,"Hymenophyllaceae","Trichomanes","macilentum","Trichomanes macilentum","Bosch","Lars P. Kvist|Ximena Londoño|O.C. Steele|S. Tiwari","Kvist 159","1987","10","9","South America","Guyana",NA,"Potaro-Siparuni Region: Potaro River, 6 km bleow Kaieteur Falls, 2 below Tukeit. Low, unstratified, low diversity forest, few lianas.","-59.45","5.21666","100.00000000",NA,NA,NA,NA,"Lellinger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2014-02-25 05:40:00-03","MO","MOBOT","3389450","PreservedSpecimen","Plantae",NA,NA,"Hymenophyllaceae","Trichomanes","macilentum","Trichomanes macilentum","Bosch","Ángel Fernández","Fernández 2433","1986","3",NA,"South America","Venezuela","Bolívar","Municipio Raul Leoni. rio Caroni, 8-22 km aguas abajo de Uriman. Bosque al Este de Bokini.","-62.7","5.4","420.00000000",NA,NA,NA,NA,"Smith",NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA
