"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","barcode","imagecode","typeStatus","recordNumber","continentOcean","minimumElevationInMeters","maximumElevationInMeters","preparationType","previousCatalogNumber","occurrenceRemarks","phylum","order","infraspecificEpithet","coordinatePrecision","geoFlag","class","relatedCatalogItem","relationshipType","fieldNumber","individualCount","sex"
"1","2021-04-05 14:24:46-03","UNESC","CRI","3654","PreservedSpecimen","Plantae","Amaranthaceae","Chamissoa","altissima","Chamissoa altissima","(Jacq.) Kunth","M. Sobral","1997","06","01","B. E. Irgang; R. Kubo & R. Magalhães & R. Záchia","1996","06","07","Brasil","Rio Grande do Sul","Tenente Portela","Parque do Turvo.","-53.758611","-27.371667","53º45'31''W","27º22'18''S","CRI000219","CRI000219",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:35:53-03","E","E","296888","PreservedSpecimen","Plantae","Amaranthaceae","Chamissoa","altissima","Chamissoa altissima",NA,NA,NA,NA,NA,"Steinbach, José","1929","02","06","BO","Departamento Cochabamba",NA,"Prov. Chapare, Socotal.",NA,NA,NA,NA,"E00296888",NA,"isolectotype","9047","W. Tropical South America","1500","1500","herbarium specimen of unspecif","BGBASE:317843","<a href=http://data.rbge.org.uk/herb/E00296888 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","493697","PreservedSpecimen","Plantae","Amaranthaceae","Chamissoa","altissima","Chamissoa altissima altissima","(Jacq.) Kunth","C. C. Townsend",NA,NA,NA,"S. A. Mori","1979","04","06","Brazil","Bahia","Camacan","Ramal para a Torre da Embratel na Serra Boa, ao N de Sao Joao da Panelinha","-39.4993633","-15.3049346",NA,NA,"NY00493697",NA,NA,"11697","South America",NA,NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=249219' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Caryophyllales","altissima",NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","476462","PreservedSpecimen","Plantae","Amaranthaceae","Chamissoa","altissima","Chamissoa altissima","(Jacq.) Kunth","T. M. Pedersen",NA,NA,NA,"D. C. Daly","1996","05","05","Brazil","Acre","Mâncio Lima","Parque Nacional Serra do Divisor","-73.5678","-7.4686",NA,NA,"NY00476462",NA,NA,"8849","South America",NA,NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=435355' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Caryophyllales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2016-09-29 10:25:00-03","NY","NYBG","493706","PreservedSpecimen","Plantae","Amaranthaceae","Chamissoa","altissima","Chamissoa altissima rubella","Suess.","S. H. Sohmer",NA,NA,NA,"L. B. Smith","1957","02","24","Brazil","Santa Catarina","Itapiranga","Linha Coqueiro by Rio Peperiquaçu","-53.7119","-27.1694",NA,NA,"NY00493706",NA,NA,"11786","South America","200","300","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=290444' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Caryophyllales","rubella",NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","196891","PreservedSpecimen","Plantae","Amaranthaceae","Chamissoa","altissima","Chamissoa altissima","(Jacq.) Kunth","R. B. Foster",NA,NA,NA,"V. Pesha Baca","1991","06","28","Peru","Madre de Dios","Tambopata","Rio Tambopata. Comunidad Nativa de Infierno. Hermosa Chica. Centro Ñape","-69.28","-12.83",NA,NA,"NY00196891",NA,NA,"193","South America","260","260","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=435353' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Caryophyllales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","493691","PreservedSpecimen","Plantae","Amaranthaceae","Chamissoa","altissima","Chamissoa altissima","(Jacq.) Kunth","J. V. Godoi",NA,NA,NA,"S. Romaniuc Neto","1992","06","02","Brazil","São Paulo","Moji-Guaçu","Estaçao Experimental de Mogu-Guaçu, Reserva Biologica, Mata da Figueira",NA,NA,NA,NA,"NY00493691",NA,NA,"1316","South America",NA,NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=435361' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Caryophyllales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","493715","PreservedSpecimen","Plantae","Amaranthaceae","Chamissoa","altissima","Chamissoa altissima rubella","Suess.","S. H. Sohmer",NA,NA,NA,"A. F. M. Glaziou",NA,NA,NA,"Brazil",NA,NA,NA,NA,NA,NA,NA,"NY00493715",NA,NA,NA,"South America",NA,NA,"sheet",NA,"donné par Mme SIMARD, sa fille, en 1907 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=290458' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Caryophyllales","rubella",NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","493713","PreservedSpecimen","Plantae","Amaranthaceae","Chamissoa","altissima","Chamissoa altissima rubella","Suess.","S. H. Sohmer",NA,NA,NA,"J. C. Lindeman","1966","03","29","Brazil","Paraná","Terra Boa","N. of Boa Esperança, ca. 30 km E. of Cianorte","-52.4442","-23.7683",NA,NA,"NY00493713",NA,NA,"821","South America","290","290","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=290448' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Caryophyllales","rubella",NA,NA,NA,NA,NA,NA,NA,NA
"10","2016-09-27 15:50:00-03","NY","NYBG","324473","PreservedSpecimen","Plantae","Amaranthaceae","Chamissoa","altissima","Chamissoa altissima rubella","Suess.",NA,NA,NA,NA,"J. Steinbach","1929","02","06","Bolivia","Cochabamba","Chapare","Locotal-Jacinto",NA,NA,NA,NA,"NY00324473","NY00324473_01","isolectotype","9047","South America","1500","1500","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=290460' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Caryophyllales","rubella",NA,NA,NA,NA,NA,NA,NA,NA
