"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","coordinatePrecision","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","geoFlag","continentOcean","preparationType","barcode","imagecode","class","fieldNumber","individualCount","typeStatus","relatedCatalogItem"
"1","2019-06-10 10:10:38-03","FZB-BH","CVJBFZB","3612","S","Plantae","Magnoliophyta","Piperales","Piperaceae","Peperomia","oreophila","Peperomia oreophila","Henschen","Carlos Alberto Ferreira Júnior","2016","09","02","Carlos Alberto Ferreira Júnior; Juliana Ordones e Bruna Costa","CAF1579","2015","11","21","Brasil","Minas Gerais","Catas Altas","Serra do Caraça - Afloramento rochoso no caminho para Cascatona","-43.4075012207031","-20.0746994018555","43º29'33.6","20º06'05.3","11966","1287","1287","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","559529","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Peperomia","oreophila","Peperomia oreophila","Henschen","R. Callejas Posada",NA,NA,NA,"R. M. Harley","22504","1980","05","24","Brazil","Bahia","Palmeiras","Serras dos Lençois, just N of the main Seabra-Itaberaba road. E6","-41.47","-12.45",NA,NA,NA,"900","1100","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=70599' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet","NY00559529","NY00559529_01",NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","559534","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Peperomia","oreophila","Peperomia oreophila","Henschen","R. Callejas Posada",NA,NA,NA,"R. M. Harley","19736","1977","03","19","Brazil","Bahia",NA,"Serra das Almas","-41.95","-13.55",NA,NA,NA,"1600","1850","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=70600' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet","NY00559534","NY00559534_01",NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","559530","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Peperomia","oreophila","Peperomia oreophila","Henschen",NA,NA,NA,NA,"R. M. Harley","19736","1977","03","19","Brazil","Bahia","Rio de Contas","Middle & Upper slopes of the Pico das Almas, ca. 25 km WNW of the Vila do Rio de Contas","-41.95","-13.55",NA,NA,NA,"1600","1850","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=70612' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet","NY00559530","NY00559530_01",NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","559532","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Peperomia","oreophila","Peperomia oreophila","Henschen","R. Callejas Posada",NA,NA,NA,"R. M. Harley","26379","1988","11","11","Brazil","Bahia","Rio de Contas","Pico das Almas. Vertente leste. Campo do Queiroz","-41.95","-13.53",NA,NA,NA,"1500","1500","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=70605' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet","NY00559532","NY00559532_01",NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","559524","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Peperomia","oreophila","Peperomia oreophila","Henschen",NA,NA,NA,NA,"A. S. Lima","6012","1940","12","19","Brazil","São Paulo","Salesópolis","Boracéa, Estaçao Experimental de Boracéa","-45.886229","-23.65179",NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=70610' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet","NY00559524","NY00559524_01",NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","559531","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Peperomia","oreophila","Peperomia oreophila","Henschen","R. Callejas Posada",NA,NA,NA,"R. M. Harley","25792","1988","10","30","Brazil","Bahia","Rio de Contas","Pico das Almas: vertente leste. trilho Faz. Silvina - Queiroz","-41.93","-13.53",NA,NA,NA,"1350","1450","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=70604' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet","NY00559531","NY00559531_01",NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","559536","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Peperomia","oreophila","Peperomia oreophila","Henschen","R. Callejas Posada",NA,NA,NA,"S. A. Mori","13534","1980","03","21","Brazil","Bahia","Rio de Contas","Serras das Almas. A 5 km ao NW de Rio de Contas","-41.8114","-13.5792",NA,NA,NA,"1000","1200","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=70602' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet","NY00559536","NY00559536_01",NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","01240731","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Peperomia","oreophila","Peperomia oreophila","Henschen","G. Mathieu",NA,NA,NA,"W. W. Thomas","12843","2002","03","10","Brazil","Bahia","Morro do Chapéu","Summit of Morro do Chapéu, 8.3 km SW of town of Morro do Chapéu (1 km S of town on road to Utinga, then SW 4.7 km on road to Cafarnaum, then right 2.6 km on road to summit).","-41.207483","-11.590633",NA,NA,NA,"1300","1300","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=225262' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet","NY01240731","NY01240731_01",NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","559533","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Peperomia","oreophila","Peperomia oreophila","Henschen","R. Callejas Posada",NA,NA,NA,"R. M. Harley","26270","1988","11","24","Brazil","Bahia","Rio de Contas","Pico das Almas. Cume","-41.97","-13.53",NA,NA,NA,"1850","1850","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=70606' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet","NY00559533","NY00559533_01",NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","559525","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Peperomia","oreophila","Peperomia oreophila","Henschen","R. Callejas Posada",NA,NA,NA,"R. M. Harley","22504","1980","05","24","Brazil","Bahia","Palmeiras","Serras dos Lençois, just N of the main Seabra-Itaberaba road. E6","-41.47","-12.45",NA,NA,NA,"900","1100","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=70597' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet","NY00559525","NY00559525_01",NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","1280766","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Peperomia","oreophila","Peperomia oreophila","Henschen","R. Callejas Posada",NA,NA,NA,"R. M. Harley","20974","1980","03","26","Brazil","Bahia","Mucugê","Serra do Sincorá, ca. 15 km NW of Mucugé on the road to Guiné & Palmeiras","-41.47","-12.97",NA,NA,NA,"1300","1500","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1620328' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet","NY01280766","NY01280766_01",NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","559523","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Peperomia","oreophila","Peperomia oreophila","Henschen",NA,NA,NA,NA,"H. de Magalhaes","s.n.","1896","01",NA,"Brazil","Minas Gerais",NA,"Serra de Ibitipoca",NA,NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=70609' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet","NY00559523","NY00559523_01",NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","01197932","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Peperomia","oreophila","Peperomia oreophila","Henschen","G. Mathieu",NA,NA,NA,"P. Fiaschi","2693","2004","12","04","Brazil","Bahia","Rio de Contas","Trilha de acesso ao Pico das Almas","-41.8114","-13.5792",NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1317728' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet","NY01197932","NY01197932_01",NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","559528","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Peperomia","oreophila","Peperomia oreophila","Henschen",NA,NA,NA,NA,"R. M. Harley","19736","1977","03","19","Brazil","Bahia","Rio de Contas","Middle & Upper slopes of the Pico das Almas, ca. 25 km WNW of the Vila do Rio de Contas","-41.95","-13.55",NA,NA,NA,"1600","1850","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=70611' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet","NY00559528","NY00559528_01",NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","559537","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Peperomia","oreophila","Peperomia oreophila","Henschen","C. C. Townsend",NA,NA,NA,"R. M. Harley","15421","1974","01","23","Brazil","Bahia","Rio de Contas","Serra do Rio de Contas. Upper caldeira on slopes of the Pico das Almas. 25 km WNW of the town of Rio de Contas","-41.92","-13.53",NA,NA,NA,"1600","1600","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=70608' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet","NY00559537","NY00559537_01",NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","559535","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Peperomia","oreophila","Peperomia oreophila","Henschen","R. Callejas Posada",NA,NA,NA,"R. M. Harley","22790","1980","05","30","Brazil","Bahia","Morro do Chapéu","Morro do Chapeu, ca. 8 km SW of the town of Morro do Cahpeu to the west of the road to Utinga. D6","-41.2","-11.58",NA,NA,NA,"1000","1000","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=70601' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet","NY00559535","NY00559535_01",NA,NA,NA,NA,NA
