"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","individualCount","class"
"1","2021-03-15 16:37:00-03","NY","NYBG","328799","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Chaptalia","hermogenis","Chaptalia hermogenis","M.D.Moraes","isotype","M. Dias de Moraes","367","1996","09","05","South America","Brazil","São Paulo","Barra Bonita","Eldorado. Núcleo Caverna do Diablo, Parque Estadual de Jacupiranga, on nearest hill on the East side of the headquarters","-48.3919","-24.6447","600","600","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=135689' target='other'> <mi>dwc_moreinfo</mi></a>","NY00328799","NY00328799_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-11-04 11:01:25-03","ESALQ","ESA","25082","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Asteraceae","Chaptalia","hermogenis","Chaptalia hermogenis","M.D.Moraes",NA,"Souza, V.C.; Rodrigues, R.R.; Arzolla, F.A.R.P.; Ivanauskas, N.M.; Souza, J.P.; Scalon, V.R.; Farah, F.T.; Mazine, F.F.; Sanches, I.D.; Paiva, G.A.; Campos, L.M.; Dias, A.S.; Pereira, V.; Cordeiro, L.E.; Rodrigues, A.G.; Guskuma, M.","8987.0","1995","09","02",NA,"Brasil","São Paulo","Eldorado","Parque Estadual de Jacupiranga, Núcleo da Caverna do Diabo, Trilha para o Mirante dos Angicos. 24*30'06S, 48*24'32W. Área de rochas calcáreas. Mata Atlântica com transição para campo de altitude.","-48.0999984741211","-24.5200004577637",NA,NA,NA,"Erva; folhas castanho-acinzentadas na face inferior; invólucro castanho-claro; flores alvas. Transição campo de altitude - mata.","ESA025082","ESA025082","Souza, V.C.","38804","auto",NA,NA,NA,NA,NA,NA
"3","2016-02-02 14:37:54-02","BGBM","B","B 10 0272042","S","Plantae",NA,NA,"Compositae","Chaptalia","hermogenis","Chaptalia hermogenis","M.D.Moraes","isotype","M. D. Moraes & F. A. R. D. P. Arzolla","367","1996","09","05","Middle and South America","Brazil",NA,NA,"São Paulo: Eldorado, Núcleo Caverna do Diabo,Parque Estadual de Jacupiranga, on nearest hill on the E side of the headquaters; montane forest in the Atlantic Rain Forest Region.",NA,NA,"600","600",NA,"Herbario UEC-Universidade Estadual de Campinas <a href=http://herbarium.bgbm.org/object/B100272042 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","B100272042","B100272042 B100272042_1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-01 16:23:39-03","UNICAMP","UEC","97211","S","Plantae","Magnoliopsida",NA,"Asteraceae","Chaptalia","hermogenis","Chaptalia hermogenis","M.D.Moraes","holotypus","Moraes, MD; Arzolla, FARDP","367","1996","09","05",NA,"Brazil","São Paulo","Jacupiranga","Núcleo Caverna do Diabo, Parque estadual de Jacupiranga, on nearest hill on the E side of the headquarters.","-48.391944","-24.644722","600","600",NA,"Florets white.; Plant found in a montane forest in the Atlantic Rain Forest region. It grows on steep slope near the summit of hills at an altitude of ca. 600m, in rather scattered populations in partial shade, on litter accumulation o","UEC055626","UEC055626","Moraes, MD",NA,NA,"-48.391944","-24.644722",NA,NA,NA,NA
"5","2021-03-01 16:23:39-03","UNICAMP","UEC","77406","S","Plantae","Magnoliopsida",NA,"Asteraceae","Chaptalia","hermogenis","Chaptalia hermogenis","M.D.Moraes",NA,"Cordeiro, I; Barros, MAB","s.n.","1994","05","18",NA,"Brazil","São Paulo","Eldorado","Parque Estadual de Jacurupiranga. Mata pluvial montana, arredores da Caverna do Diabo, topo do morro.","-48.408889","-24.501667",NA,NA,NA,"Erva em roseta, crescendo em fenda de rochas; indumento ocráceo sobre os pecíolos, face abaixal das folhas, pedúnculos e brácteas involucrais do capítulo; flores alvas.; Vegetação arbustiva. Plantas com ramos tortuosos, solo raso, form","UEC084339","UEC084339","Moraes, M",NA,NA,"-48.408889","-24.501667","2010","10",NA,NA
"6","2021-03-01 16:23:39-03","UNICAMP","UEC","97215","S","Plantae","Magnoliopsida",NA,"Asteraceae","Chaptalia","hermogenis","Chaptalia hermogenis","M.D.Moraes","isotype","Moraes, MD; Arzolla, FARDP","367","1996","09","05",NA,"Brazil","São Paulo","Eldorado","Núcleo da Caverna do Diabo, Parque Estadual de jacupiranga, on nearest hill on the E side of the headquarters","-48.391944","-24.644722","600","600",NA,"Florets white.; Plant found in a montane forest in the Atlantic Rain Forest region. It grows on steep slope near the summit of hills, in rather scattered populations in partial shade, on litter accumulation or on a thin layer of soil o","UEC097215","UEC097215","Moraes, MD",NA,NA,"-48.391944","-24.644722",NA,NA,NA,NA
"7","2021-03-01 16:23:39-03","UNICAMP","UEC","97216","S","Plantae","Magnoliopsida",NA,"Asteraceae","Chaptalia","hermogenis","Chaptalia hermogenis","M.D.Moraes","paratype","Moraes, MD","66","1995","07","14",NA,"Brazil","São Paulo","Eldorado","Núcleo da Caverna do Diabo","-48.383333","-24.633333","600","600",NA,"Florets white; Plant found in a montane forest in the Atlantic Rain Forest region. It grows on steep slope near the summit of hills, in rather scattered populations in partial shade, on litter accumulation or on a thin layer of soil ov","UEC097216","UEC097216","Moraes, MD",NA,NA,"-48.383333","-24.633333",NA,NA,NA,NA
"8","2020-12-21 16:15:22-03","MBM","MBM","238078","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Chaptalia","hermogenis","Chaptalia hermogenis","M.D. Moraes","ISOTYPE","Moraes, M.D.; Arzolla, FARDP; Arzolla, FARDP","367","1996","09","05","Southern America","Brazil","São Paulo","Eldorado","Parque Estadual de Jacupiranga, Núcleo Caverna do Diabo, on nearest hill on the E side of the headquarters","-48.391944","-24.644722",NA,NA,NA,"Florets white. Plant found in a montane forest in the Atlantic Rain Forest region. It grows on steep slope near the summit of jills., in rather scattered populations in partial shade, on litter accumulation or on a thin layer of soil","MBM238078","MBM238078","Moraes, M.D.",NA,NA,"-48.391944","-24.644722",NA,NA,NA,NA
"9","2020-12-11 11:32:37-03","UFMG","BHCB","103981","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Chaptalia","hermogenis","Chaptalia hermogenis","M.D.Moraes",NA,"Teles, AM; Salino, A; Assis, FC; Heringer, G; Melo, LCN; Viana, PL; Almeida, TE; Santos, L","284","2006","11","23","Southern America","Brasil","Minas Gerais","Alto Caparaó","Parque Nacional do Caparaó, Trilha para o Pico do Cristal, próximo das lagoas.","-41.8683013916016","-20.4333000183105",NA,NA,NA,"Plantas do Brasil. Campo de altitude, área úmida. Erva ereta, ca. 0,25m. Capítulo com flores brancas. PLANTA PRENSADA EM ÁLCOOL.",NA,NA,NA,"21645","auto",NA,NA,NA,NA,NA,NA
"10","2011-05-19 11:04:00-03","MO","MOBOT","100379195","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Chaptalia","hermogenis","Chaptalia hermogenis","M.D. Moraes",NA,"Marta Dias de Moraes","Moraes 367","1996","9","5","South America","Brazil","São Paulo",NA,"Eldorado,Nucleo Caverna do Diabo,Parque Estadual de Jacupiranga",NA,NA,NA,NA,NA,NA,NA,NA,"John Pruski, 2011 (MO)",NA,NA,NA,NA,NA,NA,"1",NA
