"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","typeStatus","infraspecificEpithet","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","class","relatedCatalogItem","verbatimLongitude","verbatimLatitude","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","00898285","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Eriocaulaceae","Comanthera","elegans","Comanthera elegans","(Bong.) L.R.Parra & Giul.","L. Echternacht","Y. E. J. Mexia","5735","1931","05","02","South America","Brazil","Minas Gerais","Diamantina","Serra do Rio Grande","-43.6003","-18.2494","1260","1260","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=968317' target='other'> <mi>dwc_moreinfo</mi></a>","NY00898285","NY00898285_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00898283","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Eriocaulaceae","Comanthera","elegans","Comanthera elegans","(Bong.) L.R.Parra & Giul.","L. Echternacht","H. S. Irwin","28211","1970","03","24","South America","Brazil","Minas Gerais","Diamantina","Serra do Espinhaço, ca. 3 km N. of São João da Chapada","-43.7833","-18.0833","1200","1200","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=968262' target='other'> <mi>dwc_moreinfo</mi></a>","NY00898283","NY00898283_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00898866","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Eriocaulaceae","Comanthera","elegans","Comanthera elegans","(Bong.) L.R.Parra & Giul.","L. Echternacht","A. F. M. Glaziou","20012","1894",NA,NA,"South America","Brazil",NA,NA,NA,NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=977992' target='other'> <mi>dwc_moreinfo</mi></a>","NY00898866","NY00898866_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00898286","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Eriocaulaceae","Comanthera","elegans","Comanthera elegans","(Bong.) L.R.Parra & Giul.","L. Echternacht","B. Maguire","49135","1960","08","09","South America","Brazil","Minas Gerais",NA,"Just west of Serra, road from Concepcao to Diamantina.",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=968318' target='other'> <mi>dwc_moreinfo</mi></a>","NY00898286","NY00898286_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00898282","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Eriocaulaceae","Comanthera","elegans","Comanthera elegans","(Bong.) L.R.Parra & Giul.","L. Echternacht","H. L. de M. Barreto","9674","1937","11","09","South America","Brazil","Minas Gerais","Diamantina","Bom Successo- Extração","-43.6003","-18.2494",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=968259' target='other'> <mi>dwc_moreinfo</mi></a>","NY00898282","NY00898282_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00898281","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Eriocaulaceae","Comanthera","elegans","Comanthera elegans","(Bong.) L.R.Parra & Giul.","L. Echternacht","G. M. Magalhaes","2074","1942","05","05","South America","Brazil","Minas Gerais","Serro","Alto do Pico do Itambé","-43.3792","-18.6047",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=968256' target='other'> <mi>dwc_moreinfo</mi></a>","NY00898281","NY00898281_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","00898287","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Eriocaulaceae","Comanthera","elegans","Comanthera elegans","(Bong.) L.R.Parra & Giul.","L. Echternacht","L. O. Williams","6911","1945","05","03","South America","Brazil","Minas Gerais","Serro","Serra da Pedra Redonda, 4 km. west of Sêrro","-43.3792","-18.6047",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=968319' target='other'> <mi>dwc_moreinfo</mi></a>","NY00898287","NY00898287_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","00898284","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Eriocaulaceae","Comanthera","elegans","Comanthera elegans","(Bong.) L.R.Parra & Giul.","L. Echternacht","A. F. M. Glaziou","20012","1892","04","04","South America","Brazil","Minas Gerais","Diamantina","Diamantina au Morro das Cristaes","-43.6003","-18.2494",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=968270' target='other'> <mi>dwc_moreinfo</mi></a>","NY00898284","NY00898284_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","02071981","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Eriocaulaceae","Comanthera","elegans","Comanthera elegans","(Bong.) L.R.Parra & Giul.",NA,"Collector unspecified","s.n.",NA,NA,NA,"South America","Brazil",NA,NA,NA,NA,NA,NA,NA,"sheet","Material sent in by Hub Floral Manufacturing Company. Cultivated. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2210726' target='other'> <mi>dwc_moreinfo</mi></a>","NY02071981","NY02071981_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","00898280","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Eriocaulaceae","Comanthera","elegans","Comanthera elegans","(Bong.) L.R.Parra & Giul.","L. Echternacht","N. Hensold","674","1982","04","11","South America","Brazil","Minas Gerais","Diamantina","2 km from BR-367 between Diamantina and Gouvêia on the road to Conselheiro Mata.","-43.6889","-18.27","1400","1400","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=968253' target='other'> <mi>dwc_moreinfo</mi></a>","NY00898280","NY00898280_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","00102625","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Eriocaulaceae","Eriocaulon","elegans","Eriocaulon elegans","Bong.",NA,"L. Riedel","s.n.",NA,NA,NA,"South America","Brazil",NA,NA,"Terra da Lapa",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=50086' target='other'> <mi>dwc_moreinfo</mi></a>","NY00102625","NY00102625_01","isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","00103642","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Eriocaulaceae","Syngonanthus","elegans","Syngonanthus elegans elanatus","Ruhland",NA,"G. Gardner","5283","1836",NA,NA,"South America","Brazil",NA,NA,"Brasilia",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=470555' target='other'> <mi>dwc_moreinfo</mi></a>","NY00103642","NY00103642_01","isolectotype","elanatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2020-01-28 13:11:10-03","MCN-PUC-MINAS","HPUC-MG","ANG2196","S","Plantae",NA,NA,"Eriocaulaceae","Comanthera","elegans","Comanthera elegans",NA,"Lívia Echternacht",NA,NA,"2014","04","18",NA,"Brasil","Minas Gerais","Serro","Ausente","-43.3793983459473","-18.604700088501",NA,NA,NA,NA,NA,NA,NA,NA,"2015","03","25","37754","auto",NA,NA,NA,NA,NA,NA
