"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","coordinatePrecision","geoFlag","phylum","continentOcean","individualCount"
"1","2020-12-20 21:16:31-03","UFV","VIC","052707","PreservedSpecimen","Plantae","Calophyllaceae","Kielmeyera","rupestris","Kielmeyera rupestris","Duarte","H.V. Pinto Junior","2019","05","17","H.V. Pinto Junior; Muller, L.A.C.; Sperandio, T.; Favoreto, F.","499","2019","01","21","Brasil","Espírito Santo","Águia Branca","Região dos 3 Pontões, Inselberg granítico","-41.187406","-19.627544","-41.187406","-19.627544","260","260","Planta com +/- 3m, ilha de vegetação, flores brancas com estames amarelos, abundante, sol.","VIC052707","VIC052707",NA,NA,NA,NA,NA
"2","2021-03-24 17:08:55-03","UFES","SAMES","1198","PreservedSpecimen","Plantae","Clusiaceae","Kielmeyera","rupestris","Kielmeyera rupestris","Duarte","de Paula,L.F.A.",NA,NA,NA,"Menezes, L.F.T.; Pinto Junior, H.V.; Covre, C.; Ribeiro, I.F.","2170",NA,NA,NA,"Brasil","Espírito Santo","Nova Venécia","Sítio Santa Rita. Propriedade do Sr. Paulo Sales.","-40.4006004333496","-18.710599899292","-407341667.0","-192922222.0",NA,NA,"Flores brancas e frutos. Habito: Árvore","SAMES01198",NA,"42400","auto",NA,NA,NA
"3","2021-03-01 16:27:34-03","UNICAMP","UEC","184955","S","Plantae","Calophyllaceae","Kielmeyera","rupestris","Kielmeyera rupestris","Duarte","Trad, RJ","2015","03","15","Trad, RJ; Trad, MFDJ","351","2014","03","20","Brazil","Espírito Santo","Nova Venécia","Parque Estadual da Pedra do Elefante. Sobre as pedras que formam a base do elefante.","-40.4525","-18.762222","-40.4525","-18.762222","169","169","Árvore ca. 8 m. Botões florais verdes e brancos. Flor com sépalas verdes e pétalas brancas; odor adocicado. Látex.; Inselberg","UEC105574","UEC105574",NA,NA,"Magnoliopsida",NA,NA
"4","2021-03-01 16:27:34-03","UNICAMP","UEC","184956","S","Plantae","Calophyllaceae","Kielmeyera","rupestris","Kielmeyera rupestris","Duarte","Trad, RJ","2015","03","15","Trad, RJ; Trad, MFDJ","350","2014","03","20","Brazil","Espírito Santo","Nova Venécia","Parque Estadual da Pedra do Elefante. Sobre as pedras que formam a base do elefante.","-40.4525","-18.762222","-40.4525","-18.762222","169","169","Árvore ca. 8 m. Botões florais verdes e brancos. Flor com sépalas verdes e pétalas brancas; odor adocicado. Látex.; Inselberg","UEC105575","UEC105575",NA,NA,"Magnoliopsida",NA,NA
"5","2021-03-01 16:27:34-03","UNICAMP","UEC","184995","S","Plantae","Calophyllaceae","Kielmeyera","rupestris","Kielmeyera rupestris","Duarte","Trad, RJ","2015","03","15","Trad, RJ; Trad, MFDJ","349","2014","03","20","Brazil","Espírito Santo","Nova Venécia","Parque Estadual da Pedra do Elefante. Sobre as pedras que formam a base do elefante.","-40.4525","-18.762222","-40.4525","-18.762222","169","169","Árvore ca. 8 m. Botões florais verdes e brancos. Flor com sépalas verdes e pétalas brancas; odor adocicado. Látex.; Inselberg","UEC105582","UEC105582",NA,NA,"Magnoliopsida",NA,NA
"6","2021-03-01 16:27:34-03","UNICAMP","UEC","185015","S","Plantae","Calophyllaceae","Kielmeyera","rupestris","Kielmeyera rupestris","Duarte","Trad, RJ","2015","03","15","Trad, RJ; Trad, MFDJ","348","2014","03","20","Brazil","Espírito Santo","Nova Venécia","Parque Estadual da Pedra do Elefante. Sobre as pedras que formam a base do elefante.","-40.452778","-18.761667","-40.452778","-18.761667","169","169","Árvore ca. 8 m. Botões florais verdes e brancos. Flor com sépalas verdes e pétalas brancas; odor adocicado. Látex.; Inselberg","UEC105611","UEC105611",NA,NA,"Magnoliopsida",NA,NA
"7","2021-03-01 16:27:34-03","UNICAMP","UEC","197942","S","Plantae","Calophyllaceae","Kielmeyera","rupestris","Kielmeyera rupestris","Duarte","Trad, RJ","2018","03",NA,"Kollmann, L; et al.","10692","2008","02","19","Brazil","Espírito Santo","Nova Venécia","área de proteção ambiental da pedra do elefante. Inselbergue","-40.4006004333496","-18.710599899292",NA,NA,"400","664","arvoreto 5m no sol, rupícola, flores brancas","UEC124252","UEC124252","42400","auto","Magnoliopsida",NA,NA
"8","2020-04-27 16:09:13-03","UFES","VIES","38810","S","Plantae","Calophyllaceae","Kielmeyera","rupestris","Kielmeyera rupestris","Duarte","R.J. Trad","2018","11",NA,"Pena, N.T.L.; Alves-Araújo, A. & Souza, W.O.","569","2015","12","21","Brasil","Espírito Santo","Nova Venécia","APA Pedra do Elefante.","-40.4006004333496","-18.710599899292",NA,NA,NA,NA,NA,"VIES038810","VIES038810","42400","auto",NA,NA,NA
"9","2016-07-13 10:52:00-03","MO","MOBOT","100917553","PreservedSpecimen","Plantae","Calophyllaceae","Kielmeyera","rupestris","Kielmeyera rupestris","Duarte","R.J. Trad",NA,NA,NA,"R.J. Trad|M.F.D.J. Trad","Trad 350","2014","3","20","Brazil","Espírito Santo","Nova Venécia","Parque Estadual da Pedra do Elefante. Sobre as pedras que formam a base do elefante.","-40.4525","-18.7622222",NA,NA,"169.00000000",NA,NA,NA,NA,NA,NA,NA,"South America","1"
"10","2018-04-18 10:47:00-03","MO","MOBOT","101040210","PreservedSpecimen","Plantae","Calophyllaceae","Kielmeyera","rupestris","Kielmeyera rupestris","Duarte","R.J. Trad",NA,NA,NA,"R.J. Trad|M.F.D.J. Trad","Trad 348","2014","3","20","Brazil","Espírito Santo","Nova Venécia","Parque Estadual da Pedra do Elefante. Sobre as pedras que formam a base do elefante.","-40.4527778","-18.7616667",NA,NA,"169.00000000",NA,NA,NA,NA,NA,NA,NA,"South America","1"
